"id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","is_dominant_lineage"
4732648,"[4732604]",250000,Inf,1,1,0,0,1522,"[70]fHcSuNcJofcGHcocqQHwfqKCebBLFJDgudnnGuSunberrnNaNPDgRvsNbaqoOIgdMmRfLH",FALSE
4732647,"[4720117]",250000,Inf,1,1,0,0,1548,"[71]fHcSuNcwofcGHcocqQHwfqKCebkJGjdCjjlAitzIgbRANrbaAHMwvlOPNomHQggrCNoxfLH",FALSE
4732646,"[4729622]",250000,Inf,1,1,0,0,1559,"[72]fHcSuNcJofcGHcocqQHwfqKCabkJGbHtDOtCjzBNgJRNyzKKMcuOlGatGNjuQCGEqNoQlfLH",FALSE
4732645,"[4732341]",250000,Inf,1,1,0,0,1548,"[68]fHcSxNcJofcGHcNcqQHwfqKCebbxEissyOczEaOCNOrrxHLyFgnEcNrNcqJyHBINufLH",FALSE
4732643,"[4729684]",250000,Inf,1,1,0,0,1556,"[68]fHcCSxNcJofcGHcNaqQHwfqKCebIpFixsyOhzEbOkNOxgxoyFgJEPzrNbgGyHhBNufLH",FALSE
4732641,"[4729684]",250000,Inf,1,1,0,0,1556,"[67]fHcSxNcJofcGHcNcqQHwfqKCebIpFixsyOhaEbOkNOxgxoyFgJEPzrNbgGyHhBNufLH",FALSE
4732638,"[4726474]",250000,Inf,1,1,0,0,1532,"[67]fHcSxNcJofcGHcNcqQHwfqKCebbscqgzgrQGrSCwFMwyFrHgkREbBvSvgusxntAOfLH",FALSE
4732637,"[4732636]",250000,Inf,1,1,0,0,1502,"[71]fHcSqNcJofcGHcocqQewfqKCebRxBaSBdFLneIRDnbPBgbntHxwDexkBMDAibcdFdSmRfLH",FALSE
4732633,"[4732550]",250000,Inf,1,1,0,0,1521,"[73]fHcSuNcJofcGHJocqQHwfqKCebOxrGrdltCnHCKOwnSjbgnjDaAlcGexLozAxqdFLIzSwRfLH",FALSE
4732632,"[4718390]",250000,Inf,1,1,0,0,1590,"[72]fHcSxNcJofNGHcNcqQHwfqKCebOrrlOHSCRpjkqhIJQsuHNDpGmAogJbJrQllxuoBpFPAfLH",FALSE
4732631,"[4729622]",250000,Inf,1,1,0,0,1559,"[71]fHcSuNcJofcGHcocqQHwfqKCabkJGbHtDOtCjzBNgJRNyzKKMcuOlGstGNjuQCGEqNolfLH",FALSE
4732630,"[4729617]",250000,Inf,2,2,0,0,1501,"[71]fHcSuNcJofcGHcocqQHwfqKCebRxBaSBdFLneIRDnbPBgbntHxwDexkBvDAsbcdFdSmRfLH",FALSE
4732629,"[4732474]",250000,Inf,1,1,0,0,1567,"[70]fHcuNcJofcGpcocqQHwfqKCabtQJGeHtvMKCmqloHMRNtzaxqzudIcajGmuSdbhHNovfLH",FALSE
4732628,"[4732562]",250000,Inf,1,1,0,0,1551,"[66]fHcSxocJofcGHcNcqQHwqKCebJGhmKDBoyJrxeNEsdhstOMvhGQKRhrnaCgEaBlfLH",FALSE
4732624,"[4732487]",249999,Inf,1,1,0,0,1559,"[67]fHcSxNcJofcGHcNcqQHwfqKCebbxpybOIOcRzaOydDoKHnFgIecjqvBdgaohLpEzfLJ",FALSE
4732622,"[4732487]",249999,Inf,2,2,0,0,1559,"[66]fHcSxNcJofcGHcNcqQHwfqKCebbxpybOIOcRzaOydDoKHnFgIecjqvdgaohLpEzfLH",FALSE
4732621,"[4731675]",249999,Inf,1,1,0,0,1546,"[67]fHcSsNcJofcGHcNcqQHwfqKCebbKxbEHyJvnjAralapAsHcJaArpKpwNFAMwQiwhfLH",FALSE
