"depth","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"0","4",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"1","4",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"2","4",100,0.437,0.8,0,1,1,1,1,2.57,5,1,51.43,53,49,1.57,4,0,52.43,54,50,0,0,0,0,0,0,100,"Small","Small"
"3","4",100,0.438,0.8,0,1,1,1,1,2.38,5,1,16.62,18,14,1.38,4,0,17.62,19,15,0,0,0,0,0,0,100,"Small","Small"
"4","4",100,0.439,0.8,0,1,1,1,1,2.43,5,1,17.57,19,15,1.43,4,0,18.57,20,16,0,0,0,0,0,0,100,"Small","Small"
"5","4",100,0.46,0.8,0,1,1,1,1,2.52,5,1,20.48,22,18,1.52,4,0,21.48,23,19,0,0,0,0,0,0,100,"Small","Small"
"6","4",100,0.501,0.8,0,1,1,1,1,2.77,5,1,30.23,32,28,1.77,4,0,31.23,33,29,0,0,0,0,0,0,100,"Small","Small"
"7","4",100,0.471,0.8,0,1,1,1,1,2.59,5,1,29.41,31,27,1.59,4,0,30.41,32,28,0,0,0,0,0,0,100,"Small","Small"
"8","4",100,0.385,0.5,0,1,1,1,1,1.77,2,1,44.23,45,44,0.77,1,0,45.23,46,45,0,0,0,0,0,0,100,"Small","Small"
"9","4",100,0.39,0.5,0,1,1,1,1,1.78,2,1,42.22,43,42,0.78,1,0,43.22,44,43,0,0,0,0,0,0,100,"Small","Small"
"10","4",100,0.375,0.5,0,1,1,1,1,1.75,2,1,42.25,43,42,0.75,1,0,43.25,44,43,0,0,0,0,0,0,100,"Small","Small"
"11","4",100,0.37,0.5,0,1,1,1,1,1.74,2,1,42.26,43,42,0.74,1,0,43.26,44,43,0,0,0,0,0,0,101,"Small","Small"
"12","4",100,0.4,0.5,0,1,1,1,1,1.8,2,1,46.2,47,46,0.8,1,0,47.2,48,47,0,0,0,0,0,0,101,"Small","Small"
"13","4",100,0.39,0.5,0,1,1,1,1,1.78,2,1,48.22,49,48,0.78,1,0,49.22,50,49,0,0,0,0,0,0,101,"Small","Small"
"14","4",100,0.37,0.5,0,1,1,1,1,1.74,2,1,48.26,49,48,0.74,1,0,49.26,50,49,0,0,0,0,0,0,101,"Small","Small"
"15","4",100,0.35,0.5,0,1,1,1,1,1.7,2,1,49.3,50,49,0.7,1,0,50.3,51,50,0,0,0,0,0,0,101,"Small","Small"
"16","4",100,0.335,0.5,0,1,1,1,1,1.67,2,1,51.33,52,51,0.67,1,0,52.33,53,52,0,0,0,0,0,0,101,"Small","Small"
"17","4",100,0.481,0.8,0,1,1,1,1,2.73,5,1,47.27,49,45,1.73,4,0,48.27,50,46,0,0,0,0,0,0,101,"Small","Small"
"18","4",100,0.74,1,0,1.41625,1.5625,1,1.5625,1,1,1,0,0,0,0.74,1,0,0.26,1,0,0,0,0,0,0,0,101,"Small","Small"
"19","4",100,0.8,1,0,1.45,1.5625,1,1.5625,1,1,1,0,0,0,0.8,1,0,0.2,1,0,0,0,0,0,0,0,101,"Small","Small"
"20","4",100,0.82,1,0,1.46125,1.5625,1,1.5625,1,1,1,0,0,0,0.82,1,0,0.18,1,0,0,0,0,0,0,0,101,"Small","Small"
"21","4",100,0.67,1,0,1.376875,1.5625,1,1.5625,1,1,1,0,0,0,0.67,1,0,0.33,1,0,0,0,0,0,0,0,101,"Small","Small"
"22","4",100,0.1975,0.25,0,1,1,1,1,3.79,4,3,2.21,3,2,0.79,1,0,0.21,1,0,2.21,3,2,2.79,3,2,101,"Small","Small"
"23","4",100,0.1875,0.25,0,1,1,1,1,3.75,4,3,2.25,3,2,0.75,1,0,0.25,1,0,2.25,3,2,2.75,3,2,101,"Small","Small"
"24","4",100,0.38,0.5,0,1.19,1.25,1,1.25,1.76,2,1,0.24,1,0,0.76,1,0,0.24,1,0,0.24,1,0,0.76,1,0,101,"Small","Small"
"25","4",100,0.77,1,0,1.433125,1.5625,1,1.5625,1,1,1,0,0,0,0.77,1,0,0.23,1,0,0,0,0,0,0,0,102,"Small","Small"
"26","4",100,0.7,1,0,1.39375,1.5625,1,1.5625,1,1,1,0,0,0,0.7,1,0,0.3,1,0,0,0,0,0,0,0,102,"Small","Small"
"27","4",100,0.655,1,0,1.5857784,1.95312,1,1.95312,1.74,2,1,0.26,1,0,1.31,2,0,0.69,2,0,0,0,0,0,0,0,102,"Small","Small"
"28","4",100,0.53,1,0,1.446248,1.95312,1,1.25,1.66,2,1,0.34,1,0,1.06,2,0,0.94,2,0,0,0,0,0,0,0,101,"Small","Small"
"29","4",100,0.645,1,0,1.5626536,1.95312,1,1.95312,1.76,2,1,0.24,1,0,1.29,2,0,0.71,2,0,0,0,0,0,0,0,101,"Small","Small"
"30","4",100,0.59,1,0,1.5079664,1.95312,1,1.25,1.71,2,1,0.29,1,0,1.18,2,0,0.82,2,0,0,0,0,0,0,0,101,"Small","Small"
"31","4",100,0.59,1,0,1.5079664,1.95312,1,1.25,1.71,2,1,0.29,1,0,1.18,2,0,0.82,2,0,0,0,0,0,0,0,101,"Small","Small"
"32","4",100,0.575,1,0,1.5004664,1.95312,1,1.25,1.68,2,1,0.32,1,0,1.15,2,0,0.85,2,0,0,0,0,0,0,0,101,"Small","Small"
"33","4",100,0.68,1,0,1.589216,1.95312,1,1.95312,1.81,2,1,0.19,1,0,1.36,2,0,0.64,2,0,0,0,0,0,0,0,102,"Small","Small"
"34","4",100,0.705,1,0,1.6198408,1.95312,1,1.95312,1.82,2,1,0.18,1,0,1.41,2,0,0.59,2,0,0,0,0,0,0,0,102,"Small","Small"
"35","4",100,0.63,1,0,1.5551536,1.95312,1,1.95312,1.73,2,1,0.27,1,0,1.26,2,0,0.74,2,0,0,0,0,0,0,0,102,"Small","Small"
"36","4",100,0.615,1,0,1.5295288,1.95312,1,1.25,1.74,2,1,0.26,1,0,1.23,2,0,0.77,2,0,0,0,0,0,0,0,103,"Small","Small"
"37","4",100,0.645,1,0,1.5626536,1.95312,1,1.95312,1.76,2,1,0.24,1,0,1.29,2,0,0.71,2,0,0,0,0,0,0,0,103,"Small","Small"
"38","4",100,0.635,1,0,1.5621848,1.95312,1,1.95312,1.73,2,1,0.27,1,0,1.27,2,0,0.73,2,0,0,0,0,0,0,0,102,"Small","Small"
"39","4",100,0.595,1,0,1.5285912,1.95312,1,1.95312,1.68,2,1,0.32,1,0,1.19,2,0,0.81,2,0,0,0,0,0,0,0,102,"Small","Small"
"40","4",100,0.63,1,0,1.5460912,1.95312,1,1.95312,1.75,2,1,0.25,1,0,1.26,2,0,0.74,2,0,0,0,0,0,0,0,102,"Small","Small"
"41","4",100,0.595,1,0,1.5059352,1.95312,1,1.25,1.73,2,1,0.27,1,0,1.19,2,0,0.81,2,0,0,0,0,0,0,0,102,"Small","Small"
"42","4",100,0.615,1,0,1.5295288,1.95312,1,1.25,1.74,2,1,0.26,1,0,1.23,2,0,0.77,2,0,0,0,0,0,0,0,102,"Small","Small"
"43","4",100,0.6,1,0,1.5129664,1.95312,1,1.25,1.73,2,1,0.27,1,0,1.2,2,0,0.8,2,0,0,0,0,0,0,0,101,"Small","Small"
"44","4",100,0.605,1,0,1.52906,1.95312,1,1.60156,1.71,2,1,0.29,1,0,1.21,2,0,0.79,2,0,0,0,0,0,0,0,100,"Small","Small"
