id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,taxon_info
4726152,[4722343],249636,inf,1,30,2,4,1535,[67]fHcSxNcJofcGHcNcqQHwfqKCebbscqJzgNaGrSCwFMwyFrCgkHEbBvSFgjsxntAOfLH
4726147,[4724706],249636,inf,1,5,0,0,1554,[67]fHcSxocJofcGHcNcqQHwfqKCebJGmmKDBoyJrjeNusdhstcnQhxGKRhEnaSgESBgfLH
4726144,[4726104],249635,inf,3,27,6,19,1520,[71]fHcSuNcJofcGHcNcqQHwfqKCabRzsMwpQskuAAIkOmDEPMFABHdBmmFnwSjcJjvaCQjgfLH
4726142,[4724599],249635,inf,2,4,0,0,1521,[71]fHcSuNcJofcGHcocqQHwfqKCebiMFsDgudnnGuMuGbjrrnNaNetMRvoNbaqoamIIcMmRfLH
4726126,[4723207],249634,inf,1,3,3,36,1502,[71]fHcSuNcJofcGHcocqQHwfqKCebRxBaGBdFObeIQNnbjBgbnwqxwSexrBMDAjbcAFdSmRfLH
4726118,[4718805],249634,inf,2,3,0,0,1522,[71]fHcSuNcJofcGHcNcqQHwfqKCabRzsMwpCHEuJxIkLmDrPMoDBHdyacFqEozcJyvICQzgfLH
4726116,[4721592],249634,inf,2,2,0,0,1551,[71]fhcSuNcJofcGHcocqQHwfqKCebkJGPdCjjlLitzIgGRANrbaHHHevlJPNoQHGgghsNyifLH
4726108,[4716380],249633,inf,4,12,1,12,1519,[71]fHcSuNcJofcGHcNcqQHwfqKCabRzsMwpQHkuAAIkOmDEPMBABHdBmmFnwSjcJjvaCQjgfLH
4731397,[4729745],249931,inf,1,2,1,1,1552,[67]fHcSxNcJofcGHcNcqQHwfqKCebAzmuihtOcrpaICGQrGxoyFdgHlGrBdqxiomHsifLH
4726098,[4726095],249633,inf,1,2,0,0,1547,[67]fHcSxNcJofcGHcNcqQHwfqKCebbrnOjblIOcRqOoSDKKHSFgOecrqpBduEthEiEufLH
4726095,[4721911],249633,inf,1,4,1,1,1546,[67]fHcSxNcJofcGHcNcqQHwfqKCebbrnOAblIOcRqOoSDKKHSFgOecrqpBduEthEiEufLH
4731740,[4724176],249950,inf,1,1,0,0,1550,[67]fHcSxocJofcGHcMcqQHwfqKCebJGhmKDBoyJrxeNEsdhstOMvhGGKRhrnaCgEaBlfLH
4726087,[4720564],249632,inf,1,1,0,0,1536,[67]fHcSxNcJofcGHcNcqQHwfqKCebnscqNzONtFrFCmFkwysrFgkMazBvSvgDsKSJAIfLH
4726077,[4720564],249631,inf,3,5,0,0,1536,[67]fHcSxNcJofcGHcNcqQHwfqKCebnscqNzONtFrFCmFkwasrFgkMazBvSvgDsKSJAOfLH
4726062,[4726036],249631,inf,2,10,2,2,1554,[71]fHcSuNcJofcGHcocqQHwfqKCebkJGPdCqjlLitzBgGRANrbaHxHevlJPNoQHGgghsNycfLH
4726059,[4725891],249631,inf,1,1,0,0,1555,[70]fHcSuNcJofcGHcocqQHwfqKCebkJGPdQqjlLitzIgGRANrMHHHevlJPNoQHGgghsNycfLH
4732477,[4732476],249991,inf,2,5,0,0,1537,[66]fHcSxNcJofcGHcNcqQHwfqKCebJiqNzgNtFrFCmFkwysrFgkMazBvSvgDsKSJAOfLH
4727249,[4723468],249696,inf,2,28,7,27,1548,[71]fHcSxNcJofcGHcNcqQHwfqKCebdbmlPjsOzOczvpaQCJcOSCrxlyFbmELwBLtqiouBxufLH
4730409,[4730393],249872,inf,1,1,0,0,1566,[70]fHcSuNcJofcGHcocqQHwfqKCbjqhMttlzbajmbogySNdzaxhFudItaGdmIuQtLQcNolfLH
4726011,[4722111],249628,inf,2,11,1,2,1550,[71]fHcSuNcJofcGHcocqQHwfqKCebEInuRaApGxDvlEhJzuNzddtsyushptOzGbRbjQzbwHfLH
4726008,[4722111],249628,inf,3,7,1,2,1550,[72]fHcSuNcJofcGHcocqQHwfqKCebEInuRaApGxDvlEhJzuNzdQtsyushptOzDsbRbjQzbwHfLH
4726003,[4725498],249628,inf,2,9,0,0,1555,[71]fHcSuNcJofcGHcocqQHwfqKCebkJGPrCjjlLitzIgGRANrbaSHHeklJPNoQHGggwPNxifLH
4725992,[4725991],249627,inf,1,1,0,0,1553,[68]fHcSxocJofcGHcNcqQHwfqKCebtJGhmRDvodJrxeNEsphstOnvhGGKmhrnaCgEaBlnLH
4725976,[4706383],249626,inf,1,2,0,0,1541,[67]fHcSxNcJofcGHcNcqQHwfqKCebAbmKihssOcriavCGprrxlyFdgEGrBdqxioxBsufLH
4725975,[4720525],249626,inf,1,2,1,1,1550,[71]fHcSuNcJofcGHcocqQHwfqKCabkuGbHtmoNCjmBogJRNqpabhIuOlcatPNEuQtGEqNolfLH
4731114,[4723589],249915,inf,1,3,1,5,1501,[71]fHcSuNcJofcGHcocqQHwfqKCebRxBawBdCLneIQDnbPBgbnwHxwPexkBMDAsbcdFdSmRfLH
4729786,[4719362],249836,inf,2,2,0,0,1533,[67]fHcSxNcJofcGHcNcqQHqfqKCebbIcqgzgNQGrSCwFMwyFrHgnHEbBvSvgusxntAOfLH
4731009,[4727852],249909,inf,1,1,0,0,1547,[71]fHcSuNcJofcGHcocqQHwfqKCebewGEaiapGkwapoOvsNuJbSDQGCueFptvzGwsjzxzoifLH
4729970,[4723207],249847,inf,1,1,0,0,1502,[70]fHcSuNcJofLGHcocqQHwfqKCebRxBaSBdFObeIQNnbjBgbnwxwSexkBMDAjbcAFdSmRfLH
4729005,[4721393],249794,inf,5,10,1,4,1550,[71]fHcSuNcJofcGHcocqQHwfqKCebHRGKFzeOGIpbCuELGlwwSwNhnolqptONdjtMpwPLoifLH
4725952,[4725950],249625,inf,1,22,2,4,1543,[71]fHcSuNcJofcGHcocqQHwfqKCebHOGKHzjiGIptCRELGlwbyeyGulqptPmwwtMpHiBxKifLH
4725946,[4725128],249625,inf,1,1,0,0,1547,[67]fHcSxNcJofcGHcNcqQHwfqKCebbKxbqHyJCljAbaiapAsHcJaArpKceNFJMdQiwMfLH
4725928,[4723657],249623,inf,2,38,4,16,1553,[67]fHcSxocJofcGHcNcqQHwfqKCebJGmmKDBiyJrjeNusdhstOnQhxGKRhEnaSgESBlfLH
4725913,[4725884],249623,inf,1,2,0,0,1549,[67]fHcSxNcJoCcGHcNcqQHwfqKCebnbDmPOsyOHzaaCcOIrxlyebnEIwBdtqipoSBBufLH
4725912,[4725884],249623,inf,1,3,0,0,1549,[67]fHcSxNcJofcGHcNcqQHwfqKCebnbqmPOsyOHzaaCcOIrxlyebnEIwBdtqipoSBBufLH
4725906,[4725884],249622,inf,3,5,1,2,1549,[67]fHcSxNcJofcGHcNcqQHwfqKCebnbDmPOsyOHzaaCcOIrxlyebnEIwBdtqipoSBBnfLH
4725894,[4723657],249622,inf,1,2,0,0,1553,[67]fHcSsocJofcGHcNcqQHwfqKCebJGmmKDBoyJrjeNusdhstOnQhxGKRhEnaSgESBlfLH
4732168,[4732137],249975,inf,3,4,3,3,1552,[71]fHcSuNcJofcGHcocqQHwfqKCebkJGkdljjlAitzIybRANrbaAHMwvlOPNomHJggECEpifLH
4728548,[4714691],249767,inf,3,7,0,0,1541,[67]fHcSxNcJofcGHcNcqQHwfqKCebAbmKiosHOtzlavCcprrxlyFdnEGwBdqxioxGsufLR
4725865,[4724645],249620,inf,1,1,0,0,1540,[69]fHcSxNcJofcGHcNcqQHCfqKCebAcgqNCgPdoSDuqMwnGrgoJLkdEjBqQMvoDsIokpufLH
4725861,[4724645],249620,inf,1,1,0,0,1540,[69]fHcSxNcJofcGHcNGqQHwfqKCebAcgqNCgPdoSDuqMwnGrgoJLkdEjBqQMvoDsIokpufLH
4725837,[4724701],249618,inf,1,1,0,0,1521,[71]fHcSuNcJofcGHcocqQHwfqKCebiMFsDgudnnGuMunbjornNaNeDjRvoNbaqodmIIcQmRfLk
4729809,[4728231],249838,inf,1,1,0,0,1554,[70]HcSuNcJofcGycocqQHwfqKCvbEInHRadpGxkJlBihJzuBjdQtsyusHBtozGbbjQzbwHfLH
4725823,[4725702],249618,inf,1,21,3,4,1545,[67]fHcSxNcJofcGHcNcqQHwfqKCebbKxbEHSJvnjAraiSpAsHcJaArpKpPNFJMoQiwhfLH
4725822,[4722847],249618,inf,1,2,0,0,1554,[67]fHcSxNcJofcGHcNcqQHwfqKCebbxmbRKInEltgDMbpJrrAhpMFMPIxCtDrhFupQhfLH
4732082,[4722766],249970,inf,1,1,0,0,1552,[72]fHcSuNcJofcGHcLcqQHwfqKEabQJGbHtmoFNCjmBogJRNqpabhIuOlcatPNEaQtGEqNolfLH
4729079,[4726685],249797,inf,1,1,0,0,1514,[71]fHcSuNcJofcGHcocqQHwfqKCecqjnulrhlROJIFkANKAcorzpSikGOpgeeINMJtLJQjOfLy
4725820,[4724701],249617,inf,1,24,5,10,1521,[71]fHcSuNcJofcGHcocqQHwfqKCebiMFsDQudnnGuMunbjrrnNaNeDjRvoNbaqodmIIcMmRfLH
4725817,[4725128],249617,inf,1,1,0,0,1547,[67]fHcSxNcJofcGHcNcqQHwfqKCebbKxbqHyJCljAbaiaLAsHcJaArpKceNFJMdQiwhfLH
4727895,[4727707],249731,inf,1,1,1,1,1557,[69]fHcSxocJofcGHcNcqQHwfqKCebJGsmkKDBoyEJrjeNusdhstOnQhxGKRhEraSgESBgfLH
4727827,[4727491],249728,inf,1,1,1,1,1520,[71]fHcSvNcJofcGHcocqQHwfqKCebuzDbDBddnEFdKMhbRpnbnaglwExvowDKqescbSdbmRsLH
4725787,[4725528],249615,inf,1,1,0,0,1554,[71]fHcSuNcJofcGHcocqQHwfqKoebEInuRaEpGxkJlBEhJzuBodQtsyusHBtozGbbjnzbwHfLH
4725767,[4720519],249614,inf,1,3,0,0,1560,[71]fHcSuNcJofcGHcocqQHwfqKCabtgJiIHtwglCgSBokMRNtzLxqgudIcaGGmLMtbqqNolfLH
4725753,[4725585],249613,inf,1,5,0,0,1556,[72]fHcSuNcJofcGHcocqQHwfqKCebEpnuRaApGxkJlgEhJzuBSodQtsyuOHBtozGbbjQzbwHfLH
4725749,[4723696],249613,inf,1,3,1,3,1546,[67]fHcSxNcJofcGHcNcqQHwfqKCebbrnOAmIOLRqKOoxDKKHSFgOeDOqpBdgEthEiEufLH
4725744,[4724537],249613,inf,1,1,1,1,1534,[67]fHcSxNcJofcGHcNcqQHwfqKCebJscqgzgNQGrSCwFMwyFrHgkHEbBvSGguAxztAOfLH
4725716,[4721241],249612,inf,1,2,1,1,1519,[71]fHcSuNcJofcGHcocqQHwfqKCebiLJsDgudnBiuMlnbPrrnNaNPDMReoubPqoyyIddMmRfLH
4731302,[4729019],249925,inf,1,1,0,0,1552,[71]fHcSuNcJofcGHcocqQHwfqKCebHRLKFzeOGIpbCuELGlwwSwKhnolqptONdjtMpwPLoifLH
4730366,[4730349],249869,inf,1,2,0,0,1522,[72]fHcSuNcJofcpGHcocqQHwfqKCebiLFsDgudnnGuSunnerrnNaEPDgRvoNbarHyOIgdMmEfLH
4725706,[4722065],249611,inf,1,3,0,0,1547,[67]fHcSxNcJofcGHcNcqQHwfqKCebdbDmPAsyOHzaQCcOSrxlqebnEIwBdtqiphSBBufLH
4725682,[4725433],249610,inf,1,1,0,0,1520,[71]HcSuNcJofctHcocqQHwfqKHebeiLFsDgudnniuMlnbjrrnNaNPDMRDoNbPqoyyIddMmRfLj
4725654,[4725112],249608,inf,1,17,1,1,1563,[71]fHcSuNcJofcGHcocqQHwfqKCabtgGiIHtwglCgSBobMJNtzcxmgudIcaGGmuytbqqNolfLH
4731854,[4728440],249957,inf,1,1,0,0,1550,[68]fHcSxNcJLfcGHcNcqQHwfqKCebAqbmKiosOtzlnavCcvruxRKFdnEGwBdqxvoxBEufLH
4731567,[4729959],249940,inf,1,1,0,0,1557,[67]fHcSxNcJofcGHwNcqQHwfqKCebAmeNKMIsDlthNiepInHqsLMEMPynxCtDbHFuNvfLH
4732020,[4729436],249966,inf,1,1,1,1,1553,[71]fHcSuNcJofcGHcocqQHwfqKCebEKGGyhopjCwapHOtGMbbrQIsJulFpttzEAsSwzxsfifLH
4725623,[4720965],249607,inf,2,3,0,0,1518,[71]fHcSvNcJofcGHcocqQHwfqKCebuzDbDBddnEFdKMhbRpnbnoglwExvoNDKqbsabIdbmrfLH
4725593,[4724083],249605,inf,1,3,0,0,1556,[71]fHcSuNcJofcGHcocqQHwfqKCabkJGbHtDoBCjzBrgJRNqzKKMcuOliatGNEuQCGEqNolfLH
4725562,[4724083],249604,inf,2,18,0,0,1556,[71]fHcSuNcJofcGHcocqQHwfqKCabkJLbHtDoBCjzBrgJRNqzKKMcuOlGatGNEuQCGEqNolfLH
4730971,[4730867],249907,inf,1,1,0,0,1536,[66]fHcSxNcJofcGHcNcqQHwfqKCebtscqNDgNEFFwwFMwysrFgkMrQBvSvgDsyDJnofLH
4725517,[4725108],249601,inf,1,1,0,0,1528,[71]fHcSuNcuofcGHcNcqQHwfqKCabRksRwpdHEuKxIkLmDrtMoDBHdyacDqauzcJyvICQzgfLH
4725490,[4723657],249600,inf,1,1,0,0,1553,[67]fHcSxocJofcGHcNcqQHwfqKCebJGmmKDxoyyrjeNusdhstOnQhxGKRhEnaSgESBlfLH
4725489,[4723218],249600,inf,3,7,0,0,1506,[71]fHcSuNcJofcGHcocqQHwfqKCebRxBjSBdFLneIQDnbjBgFQucxcDexkBMDAjbcdCnSmRfLH
4725483,[4719039],249599,inf,1,1,0,0,1517,[71]fHcSuNcJofcGHcocqQHwfqKCebgLFsDgudnniuMlnbjrrnNaNPDMReoNbPqoyyIddMmRfLH
4725482,[4719039],249599,inf,1,2,0,0,1517,[71]fHcSuNcJofcGHcocqQHwfqKCebiLFsDgudnniuMlnbjrrnNaNPDMReoNuPqoyyIddMmRfLH
4725475,[4724706],249599,inf,1,1,1,1,1554,[67]fHcSxocJofcGHcNcqQHwfqKCebJGmmKDBoyJrjeNHsdhstOnQhxGKRhEnaSgESBgfLH
4725474,[4725472],249599,inf,4,14,4,4,1533,[68]fHcSxNcJofcGHcNcqQHwfqKCebhscqgizgAQGrSCwFMwyFrHgkHEbBvSvgusxntAOfLH
4732640,[4730560],250000,inf,1,1,0,0,1555,[66]fHcSxocJoDcGHcNcqQHwfqKCebJGmmKmBiyJrjeNusdhstOnQhxGKhEnaSgESBlfLH
4732452,[4731975],249990,inf,1,1,0,0,1555,[67]fHcSxNcJofcGHcNcqQHwfqKCebcpRixsyOhzEbOkNgrgxHyFgJEPzrNbgGSHhBNufLH
