"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","is_learning","relative_depth","is_exploratory_replay","seed","dir","true_seed"
"401","Learning",43,0.994091354651163,5.77009663028662e+87,"Learning",1890,0.86,"Error correction",TRUE,-1100,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"402","Mixed bet hedging",6,0.894724185,5.91069535548391e+74,"Mixed bet hedging",1890,0.12,"Error correction",FALSE,-1100,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"403","Error correction",0,NA,NA,"Error correction",1890,0,"Error correction",FALSE,-1100,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"404","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1890,0,"Error correction",FALSE,-1100,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"405","Other",0,NA,NA,"Other",1890,0,"Error correction",FALSE,-1100,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"406","Low activity",0,NA,NA,"Low activity",1890,0,"Error correction",FALSE,-1100,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"407","Bet-hedged learning",1,0.9709119,1.22467790973086e+62,"Bet-hedged learning",1940,0.02,"Mixed bet hedging",FALSE,-1050,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"408","Learning",43,0.994956083023256,5.25569088154558e+88,"Learning",1940,0.86,"Mixed bet hedging",TRUE,-1050,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"409","Mixed bet hedging",6,0.899120476666667,3.39539821531756e+88,"Mixed bet hedging",1940,0.12,"Mixed bet hedging",FALSE,-1050,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"410","Error correction",0,NA,NA,"Error correction",1940,0,"Mixed bet hedging",FALSE,-1050,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"411","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1940,0,"Mixed bet hedging",FALSE,-1050,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"412","Other",0,NA,NA,"Other",1940,0,"Mixed bet hedging",FALSE,-1050,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"413","Low activity",0,NA,NA,"Low activity",1940,0,"Mixed bet hedging",FALSE,-1050,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"414","Bet-hedged learning",2,0.972716355,7.70170749364805e+61,"Bet-hedged learning",1990,0.04,"Mixed bet hedging",FALSE,-1000,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"415","Learning",37,0.994723526216216,1.54168656512929e+88,"Learning",1990,0.74,"Mixed bet hedging",TRUE,-1000,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"416","Mixed bet hedging",11,0.901969197272727,1.48154297850117e+89,"Mixed bet hedging",1990,0.22,"Mixed bet hedging",FALSE,-1000,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"417","Error correction",0,NA,NA,"Error correction",1990,0,"Mixed bet hedging",FALSE,-1000,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"418","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1990,0,"Mixed bet hedging",FALSE,-1000,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"419","Other",0,NA,NA,"Other",1990,0,"Mixed bet hedging",FALSE,-1000,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"420","Low activity",0,NA,NA,"Low activity",1990,0,"Mixed bet hedging",FALSE,-1000,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"421","Bet-hedged learning",3,0.96669791,6.0011979411195e+63,"Bet-hedged learning",2040,0.06,"Mixed bet hedging",FALSE,-950,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"422","Learning",38,0.995133219473684,2.32775111754474e+88,"Learning",2040,0.76,"Mixed bet hedging",TRUE,-950,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"423","Mixed bet hedging",9,0.895087438888889,6.32380101304071e+78,"Mixed bet hedging",2040,0.18,"Mixed bet hedging",FALSE,-950,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"424","Error correction",0,NA,NA,"Error correction",2040,0,"Mixed bet hedging",FALSE,-950,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"425","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2040,0,"Mixed bet hedging",FALSE,-950,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"426","Other",0,NA,NA,"Other",2040,0,"Mixed bet hedging",FALSE,-950,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"427","Low activity",0,NA,NA,"Low activity",2040,0,"Mixed bet hedging",FALSE,-950,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"428","Bet-hedged learning",8,0.9727037825,6.33702556601772e+62,"Bet-hedged learning",2090,0.16,"Mixed bet hedging",FALSE,-900,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"429","Learning",30,0.993338980666667,4.14642952098406e+82,"Learning",2090,0.6,"Mixed bet hedging",TRUE,-900,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"430","Mixed bet hedging",12,0.897463236666667,2.25423920905438e+77,"Mixed bet hedging",2090,0.24,"Mixed bet hedging",FALSE,-900,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"431","Error correction",0,NA,NA,"Error correction",2090,0,"Mixed bet hedging",FALSE,-900,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"432","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2090,0,"Mixed bet hedging",FALSE,-900,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"433","Other",0,NA,NA,"Other",2090,0,"Mixed bet hedging",FALSE,-900,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"434","Low activity",0,NA,NA,"Low activity",2090,0,"Mixed bet hedging",FALSE,-900,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"435","Bet-hedged learning",4,0.9639552525,3.35832244816313e+65,"Bet-hedged learning",2140,0.08,"Mixed bet hedging",FALSE,-850,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"436","Learning",34,0.993413633529412,2.89489040840652e+74,"Learning",2140,0.68,"Mixed bet hedging",TRUE,-850,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"437","Mixed bet hedging",12,0.895006353333333,2.1219083491438e+86,"Mixed bet hedging",2140,0.24,"Mixed bet hedging",FALSE,-850,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"438","Error correction",0,NA,NA,"Error correction",2140,0,"Mixed bet hedging",FALSE,-850,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"439","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2140,0,"Mixed bet hedging",FALSE,-850,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"440","Other",0,NA,NA,"Other",2140,0,"Mixed bet hedging",FALSE,-850,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"441","Low activity",0,NA,NA,"Low activity",2140,0,"Mixed bet hedging",FALSE,-850,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"442","Bet-hedged learning",3,0.97157014,3.84114778392567e+60,"Bet-hedged learning",2190,0.06,"Mixed bet hedging",FALSE,-800,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"443","Error correction",1,0.87763774,1.72554531201261e+67,"Error correction",2190,0.02,"Mixed bet hedging",FALSE,-800,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"444","Learning",38,0.993739958157895,2.01444996035342e+75,"Learning",2190,0.76,"Mixed bet hedging",TRUE,-800,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"445","Mixed bet hedging",8,0.90453380375,2.74195939267316e+78,"Mixed bet hedging",2190,0.16,"Mixed bet hedging",FALSE,-800,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"446","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2190,0,"Mixed bet hedging",FALSE,-800,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"447","Other",0,NA,NA,"Other",2190,0,"Mixed bet hedging",FALSE,-800,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"448","Low activity",0,NA,NA,"Low activity",2190,0,"Mixed bet hedging",FALSE,-800,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"449","Bet-hedged learning",2,0.96525561,1.06146028660866e+63,"Bet-hedged learning",2240,0.04,"Mixed bet hedging",FALSE,-750,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"450","Learning",31,0.995017718387097,2.43523136785836e+71,"Learning",2240,0.62,"Mixed bet hedging",TRUE,-750,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"451","Mixed bet hedging",17,0.897408557058823,5.47567965785934e+74,"Mixed bet hedging",2240,0.34,"Mixed bet hedging",FALSE,-750,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"452","Error correction",0,NA,NA,"Error correction",2240,0,"Mixed bet hedging",FALSE,-750,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
