"","X","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","is_learning","relative_depth","is_exploratory_replay","seed","dir","true_seed","is_necessary_exploratory_replay","first_learning_depth","depth_frac"
"955",955,"Error correction",0,NA,NA,"Error correction",2579,0,"Mixed bet hedging",FALSE,-350,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.880505291908501
"956",956,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2579,0,"Mixed bet hedging",FALSE,-350,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.880505291908501
"957",957,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",2579,0,"Mixed bet hedging",FALSE,-350,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.880505291908501
"958",958,"Other",0,NA,NA,"Other",2579,0,"Mixed bet hedging",FALSE,-350,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.880505291908501
"959",959,"Low activity",0,NA,NA,"Low activity",2579,0,"Mixed bet hedging",FALSE,-350,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.880505291908501
"960",960,"Learning",49,0.994379400816326,8.29761141561981e+88,"Learning",2629,0.98,"Mixed bet hedging",TRUE,-300,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.897575964493001
"961",961,"Mixed bet hedging",1,0.89195805,2.39751959572542e+50,"Mixed bet hedging",2629,0.02,"Mixed bet hedging",FALSE,-300,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.897575964493001
"962",962,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",2629,0,"Mixed bet hedging",FALSE,-300,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.897575964493001
"963",963,"Error correction",0,NA,NA,"Error correction",2629,0,"Mixed bet hedging",FALSE,-300,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.897575964493001
"964",964,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2629,0,"Mixed bet hedging",FALSE,-300,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.897575964493001
"965",965,"Other",0,NA,NA,"Other",2629,0,"Mixed bet hedging",FALSE,-300,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.897575964493001
"966",966,"Low activity",0,NA,NA,"Low activity",2629,0,"Mixed bet hedging",FALSE,-300,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.897575964493001
"967",967,"Learning",48,0.993892021875,5.43072518474343e+87,"Learning",2679,0.96,"Mixed bet hedging",TRUE,-250,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.914646637077501
"968",968,"Mixed bet hedging",2,0.88959075,1.12746909205865e+48,"Mixed bet hedging",2679,0.04,"Mixed bet hedging",FALSE,-250,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.914646637077501
"969",969,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",2679,0,"Mixed bet hedging",FALSE,-250,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.914646637077501
"970",970,"Error correction",0,NA,NA,"Error correction",2679,0,"Mixed bet hedging",FALSE,-250,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.914646637077501
"971",971,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2679,0,"Mixed bet hedging",FALSE,-250,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.914646637077501
"972",972,"Other",0,NA,NA,"Other",2679,0,"Mixed bet hedging",FALSE,-250,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.914646637077501
"973",973,"Low activity",0,NA,NA,"Low activity",2679,0,"Mixed bet hedging",FALSE,-250,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.914646637077501
"974",974,"Learning",46,0.994443165652174,6.98916413397468e+88,"Learning",2729,0.92,"Mixed bet hedging",TRUE,-200,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.931717309662001
"975",975,"Mixed bet hedging",4,0.8961595225,3.31912491554003e+89,"Mixed bet hedging",2729,0.08,"Mixed bet hedging",FALSE,-200,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.931717309662001
"976",976,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",2729,0,"Mixed bet hedging",FALSE,-200,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.931717309662001
"977",977,"Error correction",0,NA,NA,"Error correction",2729,0,"Mixed bet hedging",FALSE,-200,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.931717309662001
"978",978,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2729,0,"Mixed bet hedging",FALSE,-200,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.931717309662001
"979",979,"Other",0,NA,NA,"Other",2729,0,"Mixed bet hedging",FALSE,-200,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.931717309662001
"980",980,"Low activity",0,NA,NA,"Low activity",2729,0,"Mixed bet hedging",FALSE,-200,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.931717309662001
"981",981,"Learning",47,0.993867683191489,6.72857846170965e+88,"Learning",2779,0.94,"Mixed bet hedging",TRUE,-150,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.948787982246501
"982",982,"Mixed bet hedging",3,0.896182426666667,8.26225393957614e+89,"Mixed bet hedging",2779,0.06,"Mixed bet hedging",FALSE,-150,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.948787982246501
"983",983,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",2779,0,"Mixed bet hedging",FALSE,-150,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.948787982246501
"984",984,"Error correction",0,NA,NA,"Error correction",2779,0,"Mixed bet hedging",FALSE,-150,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.948787982246501
"985",985,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2779,0,"Mixed bet hedging",FALSE,-150,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.948787982246501
"986",986,"Other",0,NA,NA,"Other",2779,0,"Mixed bet hedging",FALSE,-150,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.948787982246501
"987",987,"Low activity",0,NA,NA,"Low activity",2779,0,"Mixed bet hedging",FALSE,-150,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.948787982246501
"988",988,"Learning",49,0.99404875755102,1.24534701413984e+88,"Learning",2829,0.98,"Mixed bet hedging",TRUE,-100,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.965858654831
"989",989,"Mixed bet hedging",1,0.99418931,1.99693577400237e+90,"Mixed bet hedging",2829,0.02,"Mixed bet hedging",FALSE,-100,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.965858654831
"990",990,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",2829,0,"Mixed bet hedging",FALSE,-100,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.965858654831
"991",991,"Error correction",0,NA,NA,"Error correction",2829,0,"Mixed bet hedging",FALSE,-100,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.965858654831
"992",992,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2829,0,"Mixed bet hedging",FALSE,-100,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.965858654831
"993",993,"Other",0,NA,NA,"Other",2829,0,"Mixed bet hedging",FALSE,-100,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.965858654831
"994",994,"Low activity",0,NA,NA,"Low activity",2829,0,"Mixed bet hedging",FALSE,-100,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.965858654831
"995",995,"Learning",49,0.993999700408163,3.8207450329353e+88,"Learning",2879,0.98,"Mixed bet hedging",TRUE,-50,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.9829293274155
"996",996,"Mixed bet hedging",1,0.89384734,1.57156177195887e+90,"Mixed bet hedging",2879,0.02,"Mixed bet hedging",FALSE,-50,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.9829293274155
"997",997,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",2879,0,"Mixed bet hedging",FALSE,-50,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.9829293274155
"998",998,"Error correction",0,NA,NA,"Error correction",2879,0,"Mixed bet hedging",FALSE,-50,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.9829293274155
"999",999,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2879,0,"Mixed bet hedging",FALSE,-50,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.9829293274155
"1000",1000,"Other",0,NA,NA,"Other",2879,0,"Mixed bet hedging",FALSE,-50,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.9829293274155
"1001",1001,"Low activity",0,NA,NA,"Low activity",2879,0,"Mixed bet hedging",FALSE,-50,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,0.9829293274155
"1002",1002,"Learning",50,0.9933413278,5.49179225043538e+88,"Learning",2929,1,"Learning",TRUE,0,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,1
"1003",1003,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",2929,0,"Learning",FALSE,0,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,1
"1004",1004,"Error correction",0,NA,NA,"Error correction",2929,0,"Learning",FALSE,0,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,1
"1005",1005,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2929,0,"Learning",FALSE,0,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,1
"1006",1006,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",2929,0,"Learning",FALSE,0,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,1
"1007",1007,"Other",0,NA,NA,"Other",2929,0,"Learning",FALSE,0,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,1
"1008",1008,"Low activity",0,NA,NA,"Low activity",2929,0,"Learning",FALSE,0,TRUE,476,"../../2023_05_22_01__seeds_0_500",476,TRUE,2929,1
"1009",1009,"Error correction",43,0.74866024372093,4.47233238564584e+49,"Error correction",1038,0.86,"Error correction",FALSE,-150,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.873737373737374
"1010",1010,"Learning",7,0.995777011428571,2.03545857669814e+88,"Learning",1038,0.14,"Error correction",TRUE,-150,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.873737373737374
"1011",1011,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1038,0,"Error correction",FALSE,-150,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.873737373737374
"1012",1012,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1038,0,"Error correction",FALSE,-150,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.873737373737374
"1013",1013,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1038,0,"Error correction",FALSE,-150,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.873737373737374
"1014",1014,"Other",0,NA,NA,"Other",1038,0,"Error correction",FALSE,-150,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.873737373737374
"1015",1015,"Low activity",0,NA,NA,"Low activity",1038,0,"Error correction",FALSE,-150,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.873737373737374
"1016",1016,"Bet-hedged learning",1,0.95998601,2.9052862306084e+74,"Bet-hedged learning",1088,0.02,"Error correction",FALSE,-100,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.915824915824916
"1017",1017,"Error correction",1,0.74736006,2.81528950140048e+37,"Error correction",1088,0.02,"Error correction",FALSE,-100,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.915824915824916
"1018",1018,"Learning",48,0.996004186041667,1.43104924684811e+88,"Learning",1088,0.96,"Error correction",TRUE,-100,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.915824915824916
"1019",1019,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1088,0,"Error correction",FALSE,-100,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.915824915824916
"1020",1020,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1088,0,"Error correction",FALSE,-100,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.915824915824916
"1021",1021,"Other",0,NA,NA,"Other",1088,0,"Error correction",FALSE,-100,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.915824915824916
"1022",1022,"Low activity",0,NA,NA,"Low activity",1088,0,"Error correction",FALSE,-100,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.915824915824916
"1023",1023,"Bet-hedged learning",3,0.90717761,1.42678108920645e+73,"Bet-hedged learning",1138,0.06,"Error correction",FALSE,-50,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.957912457912458
"1024",1024,"Learning",47,0.995786009787234,2.31404614380117e+87,"Learning",1138,0.94,"Error correction",TRUE,-50,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.957912457912458
"1025",1025,"Error correction",0,NA,NA,"Error correction",1138,0,"Error correction",FALSE,-50,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.957912457912458
"1026",1026,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1138,0,"Error correction",FALSE,-50,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.957912457912458
"1027",1027,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1138,0,"Error correction",FALSE,-50,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.957912457912458
"1028",1028,"Other",0,NA,NA,"Other",1138,0,"Error correction",FALSE,-50,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.957912457912458
"1029",1029,"Low activity",0,NA,NA,"Low activity",1138,0,"Error correction",FALSE,-50,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.957912457912458
"1030",1030,"Learning",50,0.9957217388,2.65265021905661e+88,"Learning",1188,1,"Learning",TRUE,0,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,1
"1031",1031,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1188,0,"Learning",FALSE,0,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,1
"1032",1032,"Error correction",0,NA,NA,"Error correction",1188,0,"Learning",FALSE,0,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,1
"1033",1033,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1188,0,"Learning",FALSE,0,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,1
"1034",1034,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1188,0,"Learning",FALSE,0,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,1
"1035",1035,"Other",0,NA,NA,"Other",1188,0,"Learning",FALSE,0,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,1
"1036",1036,"Low activity",0,NA,NA,"Low activity",1188,0,"Learning",FALSE,0,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,1
"1037",1037,"Error correction",43,0.748200158604651,7.02996878900705e+39,"Error correction",588,0.86,"Error correction",FALSE,-600,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.494949494949495
"1038",1038,"Learning",5,0.99561433,4.60797908712474e+75,"Learning",588,0.1,"Error correction",TRUE,-600,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,FALSE,1188,0.494949494949495
"1039",1039,"Mixed bet hedging",2,0.957877095,2.56423709369621e+88,"Mixed bet hedging",588,0.04,"Error correction",FALSE,-600,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.494949494949495
"1040",1040,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",588,0,"Error correction",FALSE,-600,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.494949494949495
"1041",1041,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",588,0,"Error correction",FALSE,-600,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.494949494949495
"1042",1042,"Other",0,NA,NA,"Other",588,0,"Error correction",FALSE,-600,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.494949494949495
"1043",1043,"Low activity",0,NA,NA,"Low activity",588,0,"Error correction",FALSE,-600,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.494949494949495
"1044",1044,"Error correction",48,0.7485155625,3.18630409200707e+40,"Error correction",638,0.96,"Error correction",FALSE,-550,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.537037037037037
"1045",1045,"Learning",2,0.995475995,9.26347234562896e+75,"Learning",638,0.04,"Error correction",TRUE,-550,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,FALSE,1188,0.537037037037037
"1046",1046,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",638,0,"Error correction",FALSE,-550,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.537037037037037
"1047",1047,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",638,0,"Error correction",FALSE,-550,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.537037037037037
"1048",1048,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",638,0,"Error correction",FALSE,-550,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.537037037037037
"1049",1049,"Other",0,NA,NA,"Other",638,0,"Error correction",FALSE,-550,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.537037037037037
"1050",1050,"Low activity",0,NA,NA,"Low activity",638,0,"Error correction",FALSE,-550,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.537037037037037
"1051",1051,"Error correction",48,0.748222126458333,2.38190502107498e+42,"Error correction",688,0.96,"Error correction",FALSE,-500,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.579124579124579
"1052",1052,"Learning",2,0.996089075,1.22980770057017e+80,"Learning",688,0.04,"Error correction",TRUE,-500,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,FALSE,1188,0.579124579124579
"1053",1053,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",688,0,"Error correction",FALSE,-500,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.579124579124579
"1054",1054,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",688,0,"Error correction",FALSE,-500,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.579124579124579
"1055",1055,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",688,0,"Error correction",FALSE,-500,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.579124579124579
"1056",1056,"Other",0,NA,NA,"Other",688,0,"Error correction",FALSE,-500,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.579124579124579
"1057",1057,"Low activity",0,NA,NA,"Low activity",688,0,"Error correction",FALSE,-500,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.579124579124579
"1058",1058,"Error correction",45,0.748245065555556,4.22137776713116e+88,"Error correction",738,0.9,"Error correction",FALSE,-450,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.621212121212121
"1059",1059,"Learning",5,0.995901268,1.64476739521371e+88,"Learning",738,0.1,"Error correction",TRUE,-450,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,FALSE,1188,0.621212121212121
"1060",1060,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",738,0,"Error correction",FALSE,-450,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.621212121212121
"1061",1061,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",738,0,"Error correction",FALSE,-450,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.621212121212121
"1062",1062,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",738,0,"Error correction",FALSE,-450,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.621212121212121
"1063",1063,"Other",0,NA,NA,"Other",738,0,"Error correction",FALSE,-450,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.621212121212121
"1064",1064,"Low activity",0,NA,NA,"Low activity",738,0,"Error correction",FALSE,-450,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.621212121212121
"1065",1065,"Error correction",46,0.748461165217391,1.91114718413535e+87,"Error correction",788,0.92,"Error correction",FALSE,-400,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.663299663299663
"1066",1066,"Learning",4,0.99622138,1.15604342194014e+83,"Learning",788,0.08,"Error correction",TRUE,-400,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,FALSE,1188,0.663299663299663
"1067",1067,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",788,0,"Error correction",FALSE,-400,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.663299663299663
"1068",1068,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",788,0,"Error correction",FALSE,-400,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.663299663299663
"1069",1069,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",788,0,"Error correction",FALSE,-400,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.663299663299663
"1070",1070,"Other",0,NA,NA,"Other",788,0,"Error correction",FALSE,-400,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.663299663299663
"1071",1071,"Low activity",0,NA,NA,"Low activity",788,0,"Error correction",FALSE,-400,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.663299663299663
"1072",1072,"Error correction",45,0.749058736444444,8.5998468811402e+88,"Error correction",838,0.9,"Error correction",FALSE,-350,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.705387205387205
"1073",1073,"Learning",5,0.995973604,5.36772655073646e+81,"Learning",838,0.1,"Error correction",TRUE,-350,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,FALSE,1188,0.705387205387205
"1074",1074,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",838,0,"Error correction",FALSE,-350,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.705387205387205
"1075",1075,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",838,0,"Error correction",FALSE,-350,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.705387205387205
"1076",1076,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",838,0,"Error correction",FALSE,-350,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.705387205387205
"1077",1077,"Other",0,NA,NA,"Other",838,0,"Error correction",FALSE,-350,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.705387205387205
"1078",1078,"Low activity",0,NA,NA,"Low activity",838,0,"Error correction",FALSE,-350,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.705387205387205
"1079",1079,"Error correction",43,0.748492414883721,4.00919911604243e+40,"Error correction",888,0.86,"Error correction",FALSE,-300,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.747474747474748
"1080",1080,"Learning",7,0.995890787142857,1.93282367704138e+82,"Learning",888,0.14,"Error correction",TRUE,-300,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,FALSE,1188,0.747474747474748
"1081",1081,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",888,0,"Error correction",FALSE,-300,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.747474747474748
"1082",1082,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",888,0,"Error correction",FALSE,-300,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.747474747474748
"1083",1083,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",888,0,"Error correction",FALSE,-300,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.747474747474748
"1084",1084,"Other",0,NA,NA,"Other",888,0,"Error correction",FALSE,-300,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.747474747474748
"1085",1085,"Low activity",0,NA,NA,"Low activity",888,0,"Error correction",FALSE,-300,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.747474747474748
"1086",1086,"Error correction",47,0.748607391489362,1.00523799242386e+89,"Error correction",938,0.94,"Error correction",FALSE,-250,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.78956228956229
"1087",1087,"Learning",3,0.996046506666667,3.20978567116132e+89,"Learning",938,0.06,"Error correction",TRUE,-250,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,FALSE,1188,0.78956228956229
"1088",1088,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",938,0,"Error correction",FALSE,-250,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.78956228956229
"1089",1089,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",938,0,"Error correction",FALSE,-250,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.78956228956229
"1090",1090,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",938,0,"Error correction",FALSE,-250,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.78956228956229
"1091",1091,"Other",0,NA,NA,"Other",938,0,"Error correction",FALSE,-250,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.78956228956229
"1092",1092,"Low activity",0,NA,NA,"Low activity",938,0,"Error correction",FALSE,-250,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.78956228956229
"1093",1093,"Error correction",40,0.74782651375,5.00609806864767e+68,"Error correction",988,0.8,"Error correction",FALSE,-200,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.831649831649832
"1094",1094,"Learning",10,0.996003198,6.5042333129959e+87,"Learning",988,0.2,"Error correction",TRUE,-200,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,FALSE,1188,0.831649831649832
"1095",1095,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",988,0,"Error correction",FALSE,-200,TRUE,477,"../../2023_05_22_01__seeds_0_500",477,TRUE,1188,0.831649831649832
