"","X","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","is_learning","relative_depth","is_exploratory_replay","seed","dir","true_seed","is_necessary_exploratory_replay","first_learning_depth","depth_frac"
"28",28,"Other",0,NA,NA,"Other",710,0,"Small",FALSE,-300,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.702970297029703
"29",29,"Error correction",18,0.773965990555556,1.34940798883985e+80,"Error correction",760,0.36,"Small",FALSE,-250,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.752475247524752
"30",30,"Learning",28,0.991104289285714,1.46366542885011e+89,"Learning",760,0.56,"Small",TRUE,-250,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.752475247524752
"31",31,"Mixed bet hedging",4,0.9270809375,2.58564265585034e+89,"Mixed bet hedging",760,0.08,"Small",FALSE,-250,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.752475247524752
"32",32,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",760,0,"Small",FALSE,-250,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.752475247524752
"33",33,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",760,0,"Small",FALSE,-250,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.752475247524752
"34",34,"Other",0,NA,NA,"Other",760,0,"Small",FALSE,-250,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.752475247524752
"35",35,"Low activity",0,NA,NA,"Low activity",760,0,"Small",FALSE,-250,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.752475247524752
"36",36,"Bet-hedged learning",2,0.945817,7.5472464371036e+77,"Bet-hedged learning",810,0.04,"Small",FALSE,-200,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.801980198019802
"37",37,"Error correction",28,0.757834316785714,7.33213250108812e+86,"Error correction",810,0.56,"Small",FALSE,-200,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.801980198019802
"38",38,"Learning",16,0.994835709375,7.12334205314803e+88,"Learning",810,0.32,"Small",TRUE,-200,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.801980198019802
"39",39,"Mixed bet hedging",4,0.88965753,3.99938027369301e+89,"Mixed bet hedging",810,0.08,"Small",FALSE,-200,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.801980198019802
"40",40,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",810,0,"Small",FALSE,-200,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.801980198019802
"41",41,"Other",0,NA,NA,"Other",810,0,"Small",FALSE,-200,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.801980198019802
"42",42,"Low activity",0,NA,NA,"Low activity",810,0,"Small",FALSE,-200,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.801980198019802
"43",43,"Bet-hedged learning",27,0.922840210888889,2.28578338291481e+73,"Bet-hedged learning",860,0.54,"Bet-hedged learning",FALSE,-150,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.851485148514851
