"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","lineage_merit_mean","is_learning","relative_depth","is_exploratory_replay","seed","target_window_depth","is_target_window_start","is_target_window_end","dir","true_seed"
"13","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",712,0,"Small",10.67,FALSE,-298,FALSE,93,2,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"14","Other",0,NA,NA,"Other",712,0,"Small",10.67,FALSE,-298,FALSE,93,2,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"15","Bet-hedged learning",12,0.667414255,1.53414286938917e+82,"Bet-hedged learning",713,0.24,"Small",18.65,FALSE,-297,FALSE,93,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"16","Error correction",17,0.763524889411765,1.03932377720645e+69,"Error correction",713,0.34,"Small",18.65,FALSE,-297,FALSE,93,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"17","Learning",9,0.995809454444444,2.48970308527801e+89,"Learning",713,0.18,"Small",18.65,TRUE,-297,FALSE,93,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"18","Low activity",12,0.647680556666667,45.605,"Low activity",713,0.24,"Small",18.65,FALSE,-297,FALSE,93,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"19","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",713,0,"Small",18.65,FALSE,-297,FALSE,93,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"20","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",713,0,"Small",18.65,FALSE,-297,FALSE,93,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"21","Other",0,NA,NA,"Other",713,0,"Small",18.65,FALSE,-297,FALSE,93,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"22","Bet-hedged learning",9,0.70754338,1.41109676370444e+89,"Bet-hedged learning",714,0.18,"Small",29.19,FALSE,-296,FALSE,93,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"23","Error correction",26,0.763842641538461,1.4587548127397e+89,"Error correction",714,0.52,"Small",29.19,FALSE,-296,FALSE,93,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"24","Learning",8,0.9953595075,5.01231730127651e+88,"Learning",714,0.16,"Small",29.19,TRUE,-296,FALSE,93,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"25","Low activity",6,0.518698135,346.878333333333,"Low activity",714,0.12,"Small",29.19,FALSE,-296,FALSE,93,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"26","Mixed bet hedging",1,0.95030171,1.68530949195774e+52,"Mixed bet hedging",714,0.02,"Small",29.19,FALSE,-296,FALSE,93,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"27","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",714,0,"Small",29.19,FALSE,-296,FALSE,93,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"28","Other",0,NA,NA,"Other",714,0,"Small",29.19,FALSE,-296,FALSE,93,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"29","Bet-hedged learning",8,0.724012235,4.80405798404236e+78,"Bet-hedged learning",715,0.16,"Small",5273.09,FALSE,-295,FALSE,93,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"30","Error correction",23,0.754493107391304,3.54657122582227e+87,"Error correction",715,0.46,"Small",5273.09,FALSE,-295,FALSE,93,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"31","Learning",7,0.994953757142857,2.90756784291047e+89,"Learning",715,0.14,"Small",5273.09,TRUE,-295,FALSE,93,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"32","Low activity",11,0.653333333636364,211.162727272727,"Low activity",715,0.22,"Small",5273.09,FALSE,-295,FALSE,93,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
