"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","lineage_merit_mean","is_learning","relative_depth","is_exploratory_replay","seed","target_window_depth","is_target_window_start","is_target_window_end","dir","true_seed"
"1317","Learning",47,0.993858449787234,1.13703744502785e+61,"Learning",1038,0.94,"Error correction",4.58674293132547e+31,TRUE,-209,FALSE,327,41,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1318","Mixed bet hedging",2,0.85155379,2.63280502329545e+62,"Mixed bet hedging",1038,0.04,"Error correction",4.58674293132547e+31,FALSE,-209,FALSE,327,41,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1319","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1038,0,"Error correction",4.58674293132547e+31,FALSE,-209,FALSE,327,41,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1320","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1038,0,"Error correction",4.58674293132547e+31,FALSE,-209,FALSE,327,41,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1321","Other",0,NA,NA,"Other",1038,0,"Error correction",4.58674293132547e+31,FALSE,-209,FALSE,327,41,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1322","Low activity",0,NA,NA,"Low activity",1038,0,"Error correction",4.58674293132547e+31,FALSE,-209,FALSE,327,41,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1323","Error correction",2,0.84694499,2.10830194476349e+63,"Error correction",1039,0.04,"Error correction",1.16399807293526e+32,FALSE,-208,FALSE,327,42,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1324","Learning",44,0.993849667727273,3.04456407450359e+54,"Learning",1039,0.88,"Error correction",1.16399807293526e+32,TRUE,-208,FALSE,327,42,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1325","Mixed bet hedging",4,0.8528218025,2.26786412748801e+57,"Mixed bet hedging",1039,0.08,"Error correction",1.16399807293526e+32,FALSE,-208,FALSE,327,42,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1326","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1039,0,"Error correction",1.16399807293526e+32,FALSE,-208,FALSE,327,42,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1327","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1039,0,"Error correction",1.16399807293526e+32,FALSE,-208,FALSE,327,42,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1328","Other",0,NA,NA,"Other",1039,0,"Error correction",1.16399807293526e+32,FALSE,-208,FALSE,327,42,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1329","Low activity",0,NA,NA,"Low activity",1039,0,"Error correction",1.16399807293526e+32,FALSE,-208,FALSE,327,42,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1330","Learning",49,0.993683268571429,1.38165716679284e+57,"Learning",1040,0.98,"Error correction",5.58094903557315e+32,TRUE,-207,FALSE,327,43,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1331","Mixed bet hedging",1,0.85384273,1.45800751347907e+71,"Mixed bet hedging",1040,0.02,"Error correction",5.58094903557315e+32,FALSE,-207,FALSE,327,43,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1332","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1040,0,"Error correction",5.58094903557315e+32,FALSE,-207,FALSE,327,43,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1333","Error correction",0,NA,NA,"Error correction",1040,0,"Error correction",5.58094903557315e+32,FALSE,-207,FALSE,327,43,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1334","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1040,0,"Error correction",5.58094903557315e+32,FALSE,-207,FALSE,327,43,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1335","Other",0,NA,NA,"Other",1040,0,"Error correction",5.58094903557315e+32,FALSE,-207,FALSE,327,43,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1336","Low activity",0,NA,NA,"Low activity",1040,0,"Error correction",5.58094903557315e+32,FALSE,-207,FALSE,327,43,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1337","Learning",47,0.99385561212766,6.00536035922843e+55,"Learning",1041,0.94,"Mixed bet hedging",5.13762434536363e+32,TRUE,-206,FALSE,327,44,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1338","Mixed bet hedging",3,0.854468006666667,4.01957231333001e+71,"Mixed bet hedging",1041,0.06,"Mixed bet hedging",5.13762434536363e+32,FALSE,-206,FALSE,327,44,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1339","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1041,0,"Mixed bet hedging",5.13762434536363e+32,FALSE,-206,FALSE,327,44,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1340","Error correction",0,NA,NA,"Error correction",1041,0,"Mixed bet hedging",5.13762434536363e+32,FALSE,-206,FALSE,327,44,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1341","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1041,0,"Mixed bet hedging",5.13762434536363e+32,FALSE,-206,FALSE,327,44,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1342","Other",0,NA,NA,"Other",1041,0,"Mixed bet hedging",5.13762434536363e+32,FALSE,-206,FALSE,327,44,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1343","Low activity",0,NA,NA,"Low activity",1041,0,"Mixed bet hedging",5.13762434536363e+32,FALSE,-206,FALSE,327,44,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1344","Error correction",2,0.8487799,9.57868524642607e+50,"Error correction",1042,0.04,"Mixed bet hedging",2.00178857139894e+34,FALSE,-205,FALSE,327,45,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1345","Learning",46,0.993739889130435,7.07130770640896e+56,"Learning",1042,0.92,"Mixed bet hedging",2.00178857139894e+34,TRUE,-205,FALSE,327,45,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1346","Mixed bet hedging",2,0.858316185,3.79427502826956e+79,"Mixed bet hedging",1042,0.04,"Mixed bet hedging",2.00178857139894e+34,FALSE,-205,FALSE,327,45,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1347","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1042,0,"Mixed bet hedging",2.00178857139894e+34,FALSE,-205,FALSE,327,45,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1348","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1042,0,"Mixed bet hedging",2.00178857139894e+34,FALSE,-205,FALSE,327,45,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1349","Other",0,NA,NA,"Other",1042,0,"Mixed bet hedging",2.00178857139894e+34,FALSE,-205,FALSE,327,45,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1350","Low activity",0,NA,NA,"Low activity",1042,0,"Mixed bet hedging",2.00178857139894e+34,FALSE,-205,FALSE,327,45,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1351","Bet-hedged learning",1,0.99126291,6.5824543135734e+49,"Bet-hedged learning",1043,0.02,"Mixed bet hedging",6.83050186438362e+33,FALSE,-204,FALSE,327,46,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1352","Error correction",1,0.81542802,4.57183943319238e+44,"Error correction",1043,0.02,"Mixed bet hedging",6.83050186438362e+33,FALSE,-204,FALSE,327,46,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1353","Learning",45,0.993920708222222,3.79181459016167e+61,"Learning",1043,0.9,"Mixed bet hedging",6.83050186438362e+33,TRUE,-204,FALSE,327,46,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1354","Mixed bet hedging",3,0.856011183333333,3.86067565339005e+74,"Mixed bet hedging",1043,0.06,"Mixed bet hedging",6.83050186438362e+33,FALSE,-204,FALSE,327,46,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1355","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1043,0,"Mixed bet hedging",6.83050186438362e+33,FALSE,-204,FALSE,327,46,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1356","Other",0,NA,NA,"Other",1043,0,"Mixed bet hedging",6.83050186438362e+33,FALSE,-204,FALSE,327,46,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1357","Low activity",0,NA,NA,"Low activity",1043,0,"Mixed bet hedging",6.83050186438362e+33,FALSE,-204,FALSE,327,46,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1358","Error correction",1,0.83217252,9.91512304214524e+50,"Error correction",1044,0.02,"Error correction",3.94304584131923e+32,FALSE,-203,FALSE,327,47,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1359","Learning",47,0.993751115744681,1.37922772216054e+55,"Learning",1044,0.94,"Error correction",3.94304584131923e+32,TRUE,-203,FALSE,327,47,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1360","Mixed bet hedging",2,0.855477685,1.80925000010696e+73,"Mixed bet hedging",1044,0.04,"Error correction",3.94304584131923e+32,FALSE,-203,FALSE,327,47,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1361","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1044,0,"Error correction",3.94304584131923e+32,FALSE,-203,FALSE,327,47,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1362","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1044,0,"Error correction",3.94304584131923e+32,FALSE,-203,FALSE,327,47,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1363","Other",0,NA,NA,"Other",1044,0,"Error correction",3.94304584131923e+32,FALSE,-203,FALSE,327,47,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1364","Low activity",0,NA,NA,"Low activity",1044,0,"Error correction",3.94304584131923e+32,FALSE,-203,FALSE,327,47,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1365","Learning",48,0.993821799791667,2.0122424599199e+62,"Learning",1045,0.96,"Mixed bet hedging",2.68106509098218e+34,TRUE,-202,FALSE,327,48,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1366","Mixed bet hedging",2,0.855604275,9.87984587821395e+50,"Mixed bet hedging",1045,0.04,"Mixed bet hedging",2.68106509098218e+34,FALSE,-202,FALSE,327,48,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1367","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1045,0,"Mixed bet hedging",2.68106509098218e+34,FALSE,-202,FALSE,327,48,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1368","Error correction",0,NA,NA,"Error correction",1045,0,"Mixed bet hedging",2.68106509098218e+34,FALSE,-202,FALSE,327,48,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1369","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1045,0,"Mixed bet hedging",2.68106509098218e+34,FALSE,-202,FALSE,327,48,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1370","Other",0,NA,NA,"Other",1045,0,"Mixed bet hedging",2.68106509098218e+34,FALSE,-202,FALSE,327,48,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1371","Low activity",0,NA,NA,"Low activity",1045,0,"Mixed bet hedging",2.68106509098218e+34,FALSE,-202,FALSE,327,48,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1372","Learning",47,0.99376502106383,1.37404097630564e+56,"Learning",1046,0.94,"Mixed bet hedging",2.77110536840714e+34,TRUE,-201,FALSE,327,49,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1373","Mixed bet hedging",3,0.85315464,1.53257623990357e+52,"Mixed bet hedging",1046,0.06,"Mixed bet hedging",2.77110536840714e+34,FALSE,-201,FALSE,327,49,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1374","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1046,0,"Mixed bet hedging",2.77110536840714e+34,FALSE,-201,FALSE,327,49,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1375","Error correction",0,NA,NA,"Error correction",1046,0,"Mixed bet hedging",2.77110536840714e+34,FALSE,-201,FALSE,327,49,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1376","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1046,0,"Mixed bet hedging",2.77110536840714e+34,FALSE,-201,FALSE,327,49,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1377","Other",0,NA,NA,"Other",1046,0,"Mixed bet hedging",2.77110536840714e+34,FALSE,-201,FALSE,327,49,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1378","Low activity",0,NA,NA,"Low activity",1046,0,"Mixed bet hedging",2.77110536840714e+34,FALSE,-201,FALSE,327,49,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1379","Learning",45,0.993950404444444,1.56441798300325e+60,"Learning",1047,0.9,"Mixed bet hedging",5.31743684344485e+34,TRUE,-200,TRUE,327,50,FALSE,TRUE,"../../2023_05_22_01__seeds_0_500",327
"1380","Learning",6,0.99325852,1.36579506463886e+53,"Learning",997,0.12,"Error correction",5.24192094908926e+31,TRUE,-250,TRUE,327,0,TRUE,FALSE,"../../2023_05_22_01__seeds_0_500",327
"1381","Bet-hedged learning",6,0.534608158333333,7.4046019003284e+39,"Bet-hedged learning",1284,0.12,"Low activity",515.84,FALSE,-249,FALSE,346,1,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1382","Error correction",6,0.749726195,4.60232758795882e+67,"Error correction",1284,0.12,"Low activity",515.84,FALSE,-249,FALSE,346,1,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1383","Low activity",38,0.521084465,614.529736842105,"Low activity",1284,0.76,"Low activity",515.84,FALSE,-249,FALSE,346,1,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1384","Learning",0,NA,NA,"Learning",1284,0,"Low activity",515.84,TRUE,-249,FALSE,346,1,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1385","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1284,0,"Low activity",515.84,FALSE,-249,FALSE,346,1,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1386","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1284,0,"Low activity",515.84,FALSE,-249,FALSE,346,1,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1387","Other",0,NA,NA,"Other",1284,0,"Low activity",515.84,FALSE,-249,FALSE,346,1,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1388","Bet-hedged error correction",1,0.63959474,2958155401617872,"Bet-hedged error correction",1285,0.02,"Low activity",42.88,FALSE,-248,FALSE,346,2,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1389","Bet-hedged learning",4,0.507938345,1.24014460036871e+46,"Bet-hedged learning",1285,0.08,"Low activity",42.88,FALSE,-248,FALSE,346,2,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1390","Error correction",7,0.727156998571429,7.11525340650046e+52,"Error correction",1285,0.14,"Low activity",42.88,FALSE,-248,FALSE,346,2,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1391","Learning",1,0.99286808,1.15079979996e+43,"Learning",1285,0.02,"Low activity",42.88,TRUE,-248,FALSE,346,2,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1392","Low activity",37,0.510014321891892,942.620540540541,"Low activity",1285,0.74,"Low activity",42.88,FALSE,-248,FALSE,346,2,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1393","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1285,0,"Low activity",42.88,FALSE,-248,FALSE,346,2,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1394","Other",0,NA,NA,"Other",1285,0,"Low activity",42.88,FALSE,-248,FALSE,346,2,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1395","Bet-hedged learning",1,0.56801192,9.7726504e+51,"Bet-hedged learning",1286,0.02,"Low activity",48.67,FALSE,-247,FALSE,346,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1396","Error correction",26,0.751958520769231,2.1107024003957e+72,"Error correction",1286,0.52,"Low activity",48.67,FALSE,-247,FALSE,346,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1397","Learning",20,0.9936891095,6.32262235882947e+67,"Learning",1286,0.4,"Low activity",48.67,TRUE,-247,FALSE,346,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1398","Low activity",3,0.605934076666667,966.836666666667,"Low activity",1286,0.06,"Low activity",48.67,FALSE,-247,FALSE,346,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1399","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1286,0,"Low activity",48.67,FALSE,-247,FALSE,346,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1400","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1286,0,"Low activity",48.67,FALSE,-247,FALSE,346,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1401","Other",0,NA,NA,"Other",1286,0,"Low activity",48.67,FALSE,-247,FALSE,346,3,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1402","Bet-hedged learning",2,0.53822008,2.2781201e+33,"Bet-hedged learning",1287,0.04,"Low activity",37.1,FALSE,-246,FALSE,346,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1403","Error correction",24,0.741261700416667,1.69612832716394e+50,"Error correction",1287,0.48,"Low activity",37.1,FALSE,-246,FALSE,346,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1404","Learning",17,0.993412082352941,6.23043711224208e+78,"Learning",1287,0.34,"Low activity",37.1,TRUE,-246,FALSE,346,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1405","Low activity",4,0.5501183225,3801.465,"Low activity",1287,0.08,"Low activity",37.1,FALSE,-246,FALSE,346,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1406","Mixed bet hedging",3,0.848262754666667,1.50017394258567e+63,"Mixed bet hedging",1287,0.06,"Low activity",37.1,FALSE,-246,FALSE,346,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1407","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1287,0,"Low activity",37.1,FALSE,-246,FALSE,346,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1408","Other",0,NA,NA,"Other",1287,0,"Low activity",37.1,FALSE,-246,FALSE,346,4,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1409","Error correction",30,0.745594911333333,2.63397755305201e+50,"Error correction",1288,0.6,"Low activity",212.57,FALSE,-245,FALSE,346,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1410","Learning",14,0.993861637857143,1.61959182758511e+88,"Learning",1288,0.28,"Low activity",212.57,TRUE,-245,FALSE,346,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1411","Low activity",5,0.516586512,70.248,"Low activity",1288,0.1,"Low activity",212.57,FALSE,-245,FALSE,346,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1412","Mixed bet hedging",1,0.89190198,8.88912172049892e+54,"Mixed bet hedging",1288,0.02,"Low activity",212.57,FALSE,-245,FALSE,346,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1413","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1288,0,"Low activity",212.57,FALSE,-245,FALSE,346,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1414","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1288,0,"Low activity",212.57,FALSE,-245,FALSE,346,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1415","Other",0,NA,NA,"Other",1288,0,"Low activity",212.57,FALSE,-245,FALSE,346,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1416","Error correction",22,0.736120839545454,3.286920712274e+57,"Error correction",1289,0.44,"Low activity",110.51,FALSE,-244,FALSE,346,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1417","Learning",22,0.993733326363636,2.77987294856852e+87,"Learning",1289,0.44,"Low activity",110.51,TRUE,-244,FALSE,346,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1418","Low activity",6,0.50858336,1019.18833333333,"Low activity",1289,0.12,"Low activity",110.51,FALSE,-244,FALSE,346,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1419","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1289,0,"Low activity",110.51,FALSE,-244,FALSE,346,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1420","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1289,0,"Low activity",110.51,FALSE,-244,FALSE,346,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1421","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1289,0,"Low activity",110.51,FALSE,-244,FALSE,346,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1422","Other",0,NA,NA,"Other",1289,0,"Low activity",110.51,FALSE,-244,FALSE,346,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1423","Bet-hedged error correction",1,0.752974732673267,1.47029279634498e+40,"Bet-hedged error correction",1290,0.02,"Low activity",5354.68,FALSE,-243,FALSE,346,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1424","Error correction",23,0.742700527391304,6.04957151877473e+44,"Error correction",1290,0.46,"Low activity",5354.68,FALSE,-243,FALSE,346,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1425","Learning",19,0.993923142105263,1.04699473708664e+84,"Learning",1290,0.38,"Low activity",5354.68,TRUE,-243,FALSE,346,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1426","Low activity",7,0.511920024285714,75.6557142857143,"Low activity",1290,0.14,"Low activity",5354.68,FALSE,-243,FALSE,346,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1427","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1290,0,"Low activity",5354.68,FALSE,-243,FALSE,346,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1428","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1290,0,"Low activity",5354.68,FALSE,-243,FALSE,346,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1429","Other",0,NA,NA,"Other",1290,0,"Low activity",5354.68,FALSE,-243,FALSE,346,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1430","Bet-hedged learning",1,0.52844015,2.0798071e+40,"Bet-hedged learning",1291,0.02,"Low activity",32.16,FALSE,-242,FALSE,346,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1431","Error correction",23,0.752046269130435,2.44829891101072e+41,"Error correction",1291,0.46,"Low activity",32.16,FALSE,-242,FALSE,346,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1432","Learning",22,0.993820827727273,1.26504805180837e+67,"Learning",1291,0.44,"Low activity",32.16,TRUE,-242,FALSE,346,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1433","Low activity",3,0.55864661,5312.17,"Low activity",1291,0.06,"Low activity",32.16,FALSE,-242,FALSE,346,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1434","Mixed bet hedging",1,0.84024419,7.48153458086292e+47,"Mixed bet hedging",1291,0.02,"Low activity",32.16,FALSE,-242,FALSE,346,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1435","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1291,0,"Low activity",32.16,FALSE,-242,FALSE,346,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1436","Other",0,NA,NA,"Other",1291,0,"Low activity",32.16,FALSE,-242,FALSE,346,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1437","Bet-hedged learning",2,0.753925318,2.594792346495e+51,"Bet-hedged learning",1292,0.04,"Low activity",27.72,FALSE,-241,FALSE,346,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1438","Error correction",23,0.748092980434783,3.57432567928127e+44,"Error correction",1292,0.46,"Low activity",27.72,FALSE,-241,FALSE,346,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1439","Learning",15,0.993410853333333,5.60223491861898e+87,"Learning",1292,0.3,"Low activity",27.72,TRUE,-241,FALSE,346,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1440","Low activity",9,0.517940043333333,932.937777777778,"Low activity",1292,0.18,"Low activity",27.72,FALSE,-241,FALSE,346,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1441","Mixed bet hedging",1,0.94015069,4.31360909442076e+66,"Mixed bet hedging",1292,0.02,"Low activity",27.72,FALSE,-241,FALSE,346,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1442","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1292,0,"Low activity",27.72,FALSE,-241,FALSE,346,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1443","Other",0,NA,NA,"Other",1292,0,"Low activity",27.72,FALSE,-241,FALSE,346,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1444","Error correction",25,0.7426585624,2.37330165933035e+38,"Error correction",1293,0.5,"Low activity",880.67,FALSE,-240,FALSE,346,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1445","Learning",18,0.993796618333333,2.9466097337439e+88,"Learning",1293,0.36,"Low activity",880.67,TRUE,-240,FALSE,346,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1446","Low activity",7,0.572651341428571,3495.71285714286,"Low activity",1293,0.14,"Low activity",880.67,FALSE,-240,FALSE,346,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1447","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1293,0,"Low activity",880.67,FALSE,-240,FALSE,346,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1448","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1293,0,"Low activity",880.67,FALSE,-240,FALSE,346,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1449","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1293,0,"Low activity",880.67,FALSE,-240,FALSE,346,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1450","Other",0,NA,NA,"Other",1293,0,"Low activity",880.67,FALSE,-240,FALSE,346,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1451","Error correction",28,0.752185880357143,2.91050187617109e+87,"Error correction",1294,0.56,"Low activity",24.76,FALSE,-239,FALSE,346,11,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
"1452","Learning",16,0.993101550625,1.27315000007411e+87,"Learning",1294,0.32,"Low activity",24.76,TRUE,-239,FALSE,346,11,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",346
