"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","seed"
"1",0,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",5.96046,1,84,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"2",1,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",3.05176,1,84,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True",1
"3",2,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",5.96046,1,84,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"4",3,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",3.05176,1,84,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True",1
"5",4,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",5.96046,1,84,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"6",5,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",5.96046,1,84,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"7",6,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",3.05176,1,84,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True",1
"8",7,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",3.05176,1,84,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True",1
"9",8,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",5.96046,1,84,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"10",9,"[84]bmHoJoCDIdEgbjKybGqIaovIiqycsHarfDDhHGhFAgLAppxqztaBxfJFKzlFmtdecKqhkgdazxLnDpanIJHl",3.05176,1,84,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True",1
