trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3
0,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",153,0.993506,44,154,1,153,1,1,0,1,1,53,53,53,52,48,48
1,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",146,0.993197,44,147,1,146,1,1,0,1,1,51,51,35,34,61,61
2,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",155,0.99359,44,156,1,155,1,1,0,1,1,58,58,52,51,46,46
3,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",153,0.993506,44,154,1,153,1,1,0,1,1,56,56,56,55,42,42
4,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",153,0.993506,44,154,1,153,1,1,0,1,1,62,62,45,44,47,47
5,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",149,0.993333,44,150,1,149,1,1,0,1,1,51,51,47,46,52,52
6,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",149,0.993333,44,150,1,149,1,1,0,1,1,46,46,45,44,59,59
7,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",145,0.993151,44,146,1,145,1,1,0,1,1,40,40,56,55,50,50
8,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",153,0.993506,44,154,1,153,1,1,0,1,1,59,59,43,42,52,52
9,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",156,0.993631,44,157,1,156,1,1,0,1,1,47,47,59,58,51,51
10,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",147,0.993243,44,148,1,147,1,1,0,1,1,47,47,48,47,53,53
11,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",149,0.993333,44,150,1,149,1,1,0,1,1,45,45,51,50,54,54
12,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",156,0.993631,44,157,1,156,1,1,0,1,1,51,51,53,52,53,53
13,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",150,0.993377,44,151,1,150,1,1,0,1,1,49,49,52,51,50,50
14,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",152,0.993464,44,153,1,152,1,1,0,1,1,52,52,59,58,42,42
15,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",156,0.993631,44,157,1,156,1,1,0,1,1,56,56,61,60,40,40
16,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",151,0.993421,44,152,1,151,1,1,0,1,1,56,56,41,40,55,55
17,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",148,0.993289,44,149,1,148,1,1,0,1,1,44,44,53,52,52,52
18,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",146,0.993197,44,147,1,146,1,1,0,1,1,44,44,57,56,46,46
19,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",150,0.993377,44,151,1,150,1,1,0,1,1,50,50,53,52,48,48
20,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",146,0.993197,44,147,1,146,1,1,0,1,1,44,44,47,46,56,56
21,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",149,0.993333,44,150,1,149,1,1,0,1,1,42,42,57,56,51,51
22,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",152,0.993464,44,153,1,152,1,1,0,1,1,43,43,64,63,46,46
23,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",151,0.993421,44,152,1,151,1,1,0,1,1,50,50,52,51,50,50
24,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",153,0.993506,44,154,1,153,1,1,0,1,1,56,56,47,46,51,51
25,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",155,0.99359,44,156,1,155,1,1,0,1,1,56,56,59,58,41,41
26,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",146,0.993197,44,147,1,146,1,1,0,1,1,40,40,53,52,54,54
27,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",156,0.993631,44,157,1,156,1,1,0,1,1,50,50,61,60,46,46
28,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",152,0.993464,44,153,1,152,1,1,0,1,1,50,50,53,52,50,50
29,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",154,0.993548,44,155,1,154,1,1,0,1,1,52,52,51,50,52,52
30,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",152,0.993464,44,153,1,152,1,1,0,1,1,53,53,61,60,39,39
31,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",150,0.993377,44,151,1,150,1,1,0,1,1,48,48,51,50,52,52
32,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",148,0.993289,44,149,1,148,1,1,0,1,1,45,45,47,46,57,57
33,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",158,0.993711,44,159,1,158,1,1,0,1,1,54,54,57,56,48,48
34,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",147,0.993243,44,148,1,147,1,1,0,1,1,43,43,54,53,51,51
35,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",153,0.993506,44,154,1,153,1,1,0,1,1,47,47,61,60,46,46
36,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",145,0.993151,44,146,1,145,1,1,0,1,1,36,36,58,57,52,52
37,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",155,0.99359,44,156,1,155,1,1,0,1,1,62,62,44,43,50,50
38,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",147,0.993243,44,148,1,147,1,1,0,1,1,51,51,39,38,58,58
39,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",151,0.993421,44,152,1,151,1,1,0,1,1,52,52,52,51,48,48
40,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",155,0.99359,44,156,1,155,1,1,0,1,1,55,55,52,51,49,49
41,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",154,0.993548,44,155,1,154,1,1,0,1,1,49,49,55,54,51,51
42,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",149,0.993333,44,150,1,149,1,1,0,1,1,52,52,47,46,51,51
43,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",150,0.993377,44,151,1,150,1,1,0,1,1,55,55,45,44,51,51
44,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",151,0.993421,44,152,1,151,1,1,0,1,1,48,48,49,48,55,55
45,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",151,0.993421,44,152,1,151,1,1,0,1,1,49,49,51,50,52,52
46,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",153,0.993506,44,154,1,153,1,1,0,1,1,53,53,55,54,46,46
47,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",147,0.993243,44,148,1,147,1,1,0,1,1,47,47,38,37,63,63
48,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",146,0.993197,44,147,1,146,1,1,0,1,1,45,45,45,44,57,57
49,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",157,0.993671,44,158,1,157,1,1,0,1,1,55,55,59,58,44,44
50,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",143,0.993056,44,144,1,143,1,1,0,1,1,46,46,45,44,53,53
51,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",156,0.993631,44,157,1,156,1,1,0,1,1,61,61,53,52,43,43
52,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",156,0.993631,44,157,1,156,1,1,0,1,1,55,55,54,53,48,48
53,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",150,0.993377,44,151,1,150,1,1,0,1,1,52,52,48,47,51,51
54,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",145,0.993151,44,146,1,145,1,1,0,1,1,48,48,41,40,57,57
55,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",146,0.993197,44,147,1,146,1,1,0,1,1,50,50,45,44,52,52
56,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",152,0.993464,44,153,1,152,1,1,0,1,1,49,49,60,59,44,44
57,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",151,0.993421,44,152,1,151,1,1,0,1,1,52,52,47,46,53,53
58,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",153,0.993506,44,154,1,153,1,1,0,1,1,47,47,57,56,50,50
59,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",156,0.993631,44,157,1,156,1,1,0,1,1,71,71,46,45,40,40
60,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",147,0.993243,44,148,1,147,1,1,0,1,1,57,57,43,42,48,48
61,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",158,0.993711,44,159,1,158,1,1,0,1,1,55,55,55,54,49,49
62,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",150,0.993377,44,151,1,150,1,1,0,1,1,56,56,48,47,47,47
63,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",155,0.99359,44,156,1,155,1,1,0,1,1,51,51,60,59,45,45
64,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",151,0.993421,44,152,1,151,1,1,0,1,1,52,52,49,48,51,51
65,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",151,0.993421,44,152,1,151,1,1,0,1,1,54,54,50,49,48,48
66,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",148,0.993289,44,149,1,148,1,1,0,1,1,43,43,55,54,51,51
67,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",155,0.99359,44,156,1,155,1,1,0,1,1,61,61,50,49,45,45
68,"[44]tEGcvHhGobeJoqHnaKHoIqaHaLCFeguJwLDapuqpnIKK",159,0.99375,44,160,1,159,1,1,0,1,1,54,54,55,54,51,51
