genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2, seed
"[96]JHRaNQdfbccnIKCaNxsQAdrqnvmuHvabionHtNbijElgypQNAJbkblekNlEtsccHCaksqfRIfgFAFwCgooikgwyPpxgwmhjE",1.18305e+29,3.40637e+11,1512,0.662057,2965,1001,1963,1002,1001,0,1001,1001,1964,962,1001,1001, 11
"[74]JOPmGqapRMhdEFJBtbuxtwdwHJhbwRxDxIiNIbgJOjpGpfmegRKdtjfdydvuhyfxyzvJymqdym",2.44141,1,2494,1,3,0,3,0,0,0,0,0,3,3,0,0, 110
"[76]iJrdvrHNMIpcbQOKJqJtarHlhuwBqjajCptwmFaKOMEzRQHeoDhIHPCKsQfAfwdGPmtqaRffhflj",1.18305e+29,5.2711e+08,2869,0.662577,2934,990,1944,990,990,0,990,990,1944,954,990,990, 111
"[56]KFqObmbnsoxgMRdiNMlwyjuKlwnHFrLQGHPIsyBxRgMDQEHtyyPlugsx",1.95312,1,2493,1,2,0,2,0,0,0,0,0,0,0,2,2, 112
"[104]RQKGoDJHxjkEFmiaJHvaQCIKqPgCIARwcFzuIfkDvHFBaKlbpRzKAaMBnzEfemzNoQznorAcgmzAbhzgoNgqpwHcvQHHCulqIzHOdazy",1.18305e+29,1.39525e+11,1975,0.664881,28554,9569,18985,9569,9569,0,9569,9569,18985,9416,9569,9569, 113
"[64]KHmoIJHRavfCFbBQQNdFQLCmcKIwlKlCvkCQkOEJzhgIExvxkrAlzykefvOfFfIK",1.18305e+29,1.89091e+13,2278,0.670664,4169,1373,2796,1373,1373,0,1373,1373,2336,1425,1833,1371, 114
"[100]JGiabPPAdkvnpIpGDDKuHcsRDsaijMeRxvkfhkQzFDfiHmMqlOdMotrNKlJOwKRqpMqlRIBCBtLlKwAjyOIhaoBJvKwIbIILMrCB",1.95312,1.5625,2526,1,2,0,2,0,0,0,0,0,1,1,1,1, 115
"[95]qGvORocttxdhwQgbrpAGEecyMgfcyacpIcjmFCcdpcfccmQKucLmivjxJHcmjcmbLRFyFkpRkcpcaBQccsgcLEIcpcyHnEj",1.18305e+29,136847,233,0.671681,1529,501,1027,502,501,0,556,555,1135,579,555,555, 116
"[120]JGhnKwPaOqpgqtpjjCrrDDBKpgKspKmmjoelPmDNcKGDGuyxgCLIMuAFCIJaDglAkJBsbPyIEFQcrghkpGeLirqjCBrEmrlzsHOxIxRkMHMMBqungIDEKyfR",1.95312,1,2551,1,2,0,2,0,0,0,0,0,1,1,1,1, 117
"[102]qGaEaKMHOjOeHaDQfcvtJspcyhvimjHzBfGadaxLLczvfqtjbNkHlcIcLdbuuiMpibpvBGhLtGHQyjmOBLhKtGamQhQHDqhBIuzfyu",1.95312,1,2491,1,2,0,2,0,0,0,0,0,1,1,1,1, 118
"[102]RcgxmCcePIwIEzppovPDyERhDgelydRcncdgFcOcBhnlBRzcecJHohrjsFKycjgbiFxvbciLigjcocdLEHdycOdMKAiObAPcGpkheF",1.18305e+29,330.872,298,0.652863,1135,394,741,394,394,0,394,394,393,393,742,348, 119
"[91]RAtoOkBhBuECoKPNpGEpjuJeHbNqDezMIRqDKmssyiDyGCrdIKqPvBNpynyCFlrbyhrjrjBnCmJrehhpxNBLzwsnHye",1.18305e+29,1.51273e+13,2941,0.667136,68842,22915,45927,22915,22915,0,22915,22915,45927,23012,22915,22915, 12
"[77]JsguoGqFjKRpCJpIOwAGFapurJCabBzJCCmgBCftLNDjDzgIvEIbzgpxKrlGgLznPOwcdqtnCoKoe",1.95312,1,2581,1,2,0,2,0,0,0,0,0,1,1,1,1, 120
"[125]KgGlkQIryRccnLMheAuFMeJiiMaytdudFKeMMQJBgolHmwkrlbROCfxPvQqGjpgtyIiHpymJMmgjscNiuHCPcFNsIvHsORuHENlCpllqrAsOQoNeIscpiyxudrhQl",2.44141,1.5625,2557,1,3,0,3,0,0,0,0,0,1,1,2,2, 121
"[80]GJkNyhzEuHQDIppKJqJqvffzsvGgvbzoIcCmOCrCbPjqjhNEvuEzLcdvwQAuKCQCgRvEcrDNJbNGwfry",1.18305e+29,1.74406e+11,3219,0.664365,11873,3984,7888,3985,3984,0,3984,3984,7889,3904,3984,3984, 122
"[99]jzhdQyrDQsJHcqIKqcNGxRAHOmotfbcBNfnIfFmnQHsCKaxbMOusCdMKNLtBLrsGRqfNgFFHzhslAAenbKbQwJmNcRzueFkknCi",1.18305e+29,1.52747e+16,2438,0.667791,100461,33374,67087,33374,33374,0,33374,33374,67087,33713,33374,33374, 123
"[109]KevnltdrGqpBJcNEbonCikxqBmboPjirqdlyaqHoAbcjnpuvszFnOkyyLmCpANQMraAGJrJavqzoPHxOmrOtzwLFKssvfLOshtxCLxzligHMq",1.95312,2,2470,1,2,0,2,0,0,0,0,0,5,3,5,4, 124
"[119]JGdMJJrNsMAHDmdFiFeOLdiulcGCnBzqrnncwQwsKyohJquJFOtLnFwvPEKGLGFpEnrrlDHDiRnoPPGtEvIRHqhcLtlqEbvkRkFOBuktkBKfbrAQpOkADIn",1.95312,1.25,2486,1,2,0,2,0,0,0,0,0,2,2,0,0, 125
"[100]CMPdBaLLGoNHKblklvJHNqIgKqisgmAGEnCgBfhagAdjHyOenCCfItBHyQkLhNxudlrdjHalhtpHihwjoPHozirPoNrJaHKFRnps",1.18305e+29,1.22197e+16,2118,0.66616,96744,32297,64447,32297,32297,0,32297,32297,64447,32150,32297,32297, 126
"[90]tjCPOcuHeiBODecAcMpOwLlOcIQcoFgbmnbcQKtyEccLKnHbgMIocuHbOgxccfNPcKdOqsJhcqbecefHctcccoEofG",1.18305e+29,1.01958e+06,451,0.805097,6357,1239,5118,1239,1239,0,1239,1239,2976,2560,3381,2558, 127
"[116]KCrGPEpMGqbxiLkGfvaobHplKvggBszkPDavufedzfApJRABChdEOOGpecovcGiclgpNhtAjCehPedztOiyGAgofdxhEJufdfeoPazaHBfajpjJgnrKf",1.95312,1.5625,2576,1,2,0,2,0,0,0,0,0,0,0,2,2, 128
"[96]HQcOJpfcGKHbRKRduPkEiuHOrrHampCouwcivIBzuaMlhvpQGvhpktPFFyQPCzLJHQaayoIqGEGlrGHxnKuHyKrQQFhIIpwd",1.18305e+29,4.90909e+09,2584,0.682119,1057,336,721,336,336,0,336,336,336,336,721,385, 129
