genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[87]pGprHoJicExckebDCadvHGhbIgfEtIDeufokDzKDajclcfCuwqsdbEAGnlzJDFDuEgleGnbhAgFcqujIBBbrAqa","inf",1.09951e+12,885,0.572169,32597,13945,18651,0,13945,13946,27891,13945,18651,18651,0,0,0,0, 12
"[92]mglvcBitdDmsmoHcocJCgyxcGCcgcGkcqphLlntvrFxocfqrcbsEfmsLhwzchccxaCIHGhzEcDcGdFdFaFzgFjbqpFjG",1024,0.01,315,1,9,0,9,0,0,0,0,0,9,9,0,0,0,0, 120
"[99]dHcyoKGiecoqpIkxJuGFJyljArFbwlHbjgBixcBkwGCtfAnJIeuhapoDpfFzoAneexokEAjLbxEAiitILskqjHafnmsgrFGpbfq",512,2,598,0.9,10,0,9,1,0,0,0,0,2,1,8,8,0,0, 121
"[103]gAhmetfiesEHcbcechcmnIGqkcJbrodcBBqhqbAswxzacszkFsCmCcplzrwEGEdzorCDcydpagEiDtzLeLbLBzanlFGiDchdzByvifw",1.04858e+06,1.34218e+08,555,0.641791,67,24,43,0,24,24,6968,3461,5048,5048,0,0,0,0, 122
"[88]qdBzwtycHhrdoJnmofcyeGpcxDtzcLhAcccicGoogyqepjbwhLLeidrGnccjiucxcEDooghouuEcHHKyFKzlbwjv",128,4,304,1,6,0,6,0,0,0,0,0,5,5,0,0,1,1, 123
"[105]FvyzHwFDEsyfdwtcJGoLAHceqCtDmDhyqLDxxLtbGropzwhEIylHGfjeuILGKCkyksndLfhmjzEsjqwhtJjBdAizudulsavBIluGJhHlp",4096,1,688,0.923077,13,0,12,1,0,0,0,0,8,8,0,0,5,4, 124
"[105]djFHoJHboClbKlEGqKiqvzLuDFJamyAbsnhDkthretdHuEnftmuJjDdjeykbhdLojmznFneqckHesbbsJFmxcaFyisLDqzajpLxCsoHke",8192,1,1340,1,12,0,12,0,0,0,0,0,6,6,6,6,0,0, 125
"[94]aldhsflvHnolbBrHazjocJxcAFqKEfzbinrkkvGEmKvzECHoBoGrodIsyJcDlwbDGsKKGnksHdxvlGimLtwuhHKErwszsn",128,1,932,1,6,0,6,0,0,0,0,0,1,1,3,3,2,2, 126
"[95]KEtAGbynIlcGhcHqJHzpipncqcaoAjcIggtedjJdLCckfeirHgrLGdKkzuGwBEgpwlgAmAlKAHDHlCjazasCpInJeIzBCss",4.1943e+06,4.39805e+12,492,0.612903,93,36,57,0,36,36,79394,39790,18860,18860,659,235,0,0, 127
"[103]zzDbwoGHopLDuoJAzyziqogbxAklbpAyiDvcceeGGFEErbGhtjAywszsvtlyFirztBGnbdmoymBCJzgenotxfvABntynfcCvcikojcj",2048,4,550,0.923077,13,1,12,2,0,0,0,0,8,7,0,0,6,5, 128
"[100]cecadJkswrrtwpichccAFjoibcibkEnEFtcGhiiccHcxzcamobLHcbccaqBFlfcCHgBgFxsytBIvcaaBddDsAkBfhAkgBtdcfCFt",1024,16,298,0.909091,11,0,10,1,0,0,0,0,15,10,0,0,5,2, 129
"[99]kcLfBJtcpcxAipcrxLtjGEycccCEdjfcpobsgicKccnEncypCedelmLLcsIccnjCvILKyFcmcEycidkmwJAKKBjHicrLssErEEL",16,1,200,1,3,0,3,0,0,0,0,0,1,1,0,0,2,2, 13
"[111]jubhHtcopKoJdeswFcnaFdElGCanjcLDmrghjCmqnuhmqHuAmmBmDekoghkkuFzuAckepckdvcDteIjwjtqElfeukmBlqAvlLCeHceBgHeyfAhL",131072,8,456,1,16,0,16,0,0,0,0,0,6,6,10,10,0,0, 130
"[98]dHcAHtacnonDbtanbDocJqqlclcucIuyxdcxbkcIFqkGtfqLjxLcIpHGBCHpIDrsHmptwFpdhcJuvHnuLcdLDhyCjHfJgaprkx",8.98847e+307,8.38861e+06,544,0.572813,7018,2998,4020,0,2998,2998,5996,2998,4020,4020,0,0,0,0, 131
"[97]nrplHEyroCglcLqnzmtnxzchhmtFKpncAgJutnkfFumvLhpCJGFraEAycGaDgjhoHgjFpBBElmBrDEAkzkByJiKzyHwfnxGih",1024,2,435,1,9,0,9,0,0,0,0,0,2,1,2,1,8,7, 132
"[100]DLHcGqnbevxxyvJugsqrBxxFCJdcICBdtxreeKkiovKjiCICnGzfyrjwHEvgKzvpieezAbtlpfAhbvBiiGhoAkengvmgDocqeoIk",512,1,1635,1,8,0,8,0,0,0,0,0,4,4,0,0,4,4, 133
"[101]ocekEHGoCLrdeyqdDfiIjxEEEqtoDIjcIoncBjiLnszBonvcsstoqwcBIeHzkvAfDzaKpCrDbnHetokvuhhzyEmpvArrBvvpFibBJ",4096,1,504,1,11,0,11,0,0,0,0,0,5,5,0,0,6,6, 134
"[102]AHBchoJfzzboqppkCqDBxnLEjlGbaesEdhCosbskCtFIIbvddpLvIIaeqArDphwzskhFhzrordzlbpfcKattFqzhJGkngspFuaIuyA","inf",1.37439e+11,777,0.599916,187808,75139,112669,0,75139,75139,150278,75139,112669,112669,0,0,0,0, 135
"[102]HFzzkcvnsDzmkGLAjffGEoJKxvgzipiflecnfhrxcabCbpGcjcivimFjpInlbGgqblnjwpeHgfLEGiIiyBEmDxsGlqpltcqfdisHBu",128,1,469,1,6,0,6,0,0,0,0,0,0,0,5,5,1,1, 136
"[102]yytkdFfotnHxlzrabmIzznaanusfkvdoLFypKgIoGjabHpcsfBbiJHqpezqjkcfoBrJqcICoAkrLgHDAbzAAGLkIjfofKLpxqwjuIw",5.90296e+20,65536,549,0.560714,560,246,314,0,246,246,492,246,314,314,0,0,0,0, 137
"[100]AHccploLnCJciecnyGqcrcdeqxjmnlBcwwAchCkhbfLCDcmsmgkrhBrqLutJcFfceitcccrsJurHvKtnhmqcaHkcIBggGcJpJhcB",128,2,305,0.875,8,0,7,1,0,0,0,0,3,3,0,0,5,4, 138
"[100]giCpBzfFawocouAjyftEsvdAiHoJkjfoejGndldDlvinelEayKeabkvsLrlccHHqhEDJvxdDHsjxjrKHkdEjccaqqmuBkEvjJIqe",128,4,473,1,6,0,6,0,0,0,0,0,6,6,2,2,0,0, 139
"[111]zHedsHbGoJoCKEzGHiaynCuweCxIBnEhpwexcFELIJEdzoEHsymutxbLFnKEGEzDwHiFDzyFwxbBxAJglDndpbyJHxdvotCwhhknyhkAakBcvlF",16384,1,1702,1,13,0,13,0,0,0,0,0,7,7,6,6,0,0, 14
"[124]eHoJpcxoqFHkExkArhtBvaoeKBdvcczAGzCEcGwLcolhjsvlDqakEokCkbyAufEKxzcvfIxlGbAdfozlInGzbaBaGJywynvAvevxxoAsqDqJjGldjuzCsgAvmALH",512,2,845,1,8,0,8,0,0,0,0,0,7,7,1,1,0,0, 140
"[101]ilHceocJcjlzciAmcphCFmqljmnicstkoLKnJanpaKEkHGmGcBJlzFzdcBDlxJAyLrnrxxrgmwdolmDFmzbbqccHuEwrAkcyKtGaj",128,1,389,1,6,0,6,0,0,0,0,0,169,5,3,1,0,0, 141
"[99]LGqlIxvHJHgzzGpffnIemgDmlqqKulBqheAJvgceaDBndsIzlelpErphDxAxJcdgjhsLiujAFiiwecsrLcaIywEcumdseDJyLuj",4,1,2356,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1, 142
"[105]sjtgkHBuqzxfzclxzcGrbfcoLhBrHoCacGqzGbJGkbtesFFhhmqrLrJlIofjikixgHDEhzhAoacLtrbaEqFvzmqAIyferxokydeJplcra",2048,32,596,1,10,0,10,0,0,0,0,0,14,14,0,0,12,6, 143
"[94]afAhaGoydHcGbaoLJuAHcGeqJCyrvtbvaoFzbybubvdzqvrGohHLiIdGicBIeqmBkpacrGDvDqDxfGumffmcFiykaxdtsf",2048,1,1026,1,10,0,10,0,0,0,0,0,10,10,0,0,0,0, 144
"[94]HblbkoJnnDLpswyxjawddHbybsKHcGcoaqCoCyDqCFIthhJzJddlAFyhfwjcGnqrmDHnzblrxAGdsltzLrhkJzfxgxxhpp",256,1,724,1,7,0,7,0,0,0,0,0,0,0,255,7,0,0, 145
"[98]cbcEccvmaecwFnukccKHsmccscCcccFhcFfzqccBoKcGuckrGtnrixcvhccbBcajcCcccccccccctEngpGIccHjwccCcIcflAi",512,1,190,0.590909,44,18,26,0,18,18,36,18,0,0,26,26,0,0, 146
"[98]wpAncIiefdyDmHAgqzgJEgDJaxscFImAwalmlLuGlfazHpIvpgiaeycnadoJdFfICzFbczaqtadDgcfzKCIttvGjulfoHelwwA",2.77267e+129,3.35544e+07,986,0.573283,2927,1249,1678,0,1249,1249,2498,1249,1678,1678,0,0,0,0, 147
"[96]tHpcughcEcfCcheynjddcrKEDsyvklJcLFvDccemabkAFHnxIjhxvvHGoJEmoCIjGsfeabvDyqcHjohdtvnGDgueAIqhdzBG",2.09715e+06,1.04858e+06,374,0.613636,88,33,54,1,33,33,67,33,239,54,2,1,0,0, 148
"[98]qGdfDlktgtEgIDeuCciCsjdqrAipcbcsIkdpFHJDAlzgHwughgcHoJmdDrrkuirIbzFChuCdBkwCqlnuAnHzwjslttycBIoxas",5.83992e+194,2.14748e+09,693,0.568345,4726,2040,2686,0,2040,2040,4080,2040,2686,2686,0,0,0,0, 149
"[104]AEvnchvajsEuDjuGEpnaFkrEoJFgdeHoqxwDumuovkeaLapCAHrFjdoIBzbbpumwexvbfupeKhHjkivImsjfmbHjAiwHrHIbogliftBi",3.60288e+16,262144,715,0.577586,348,147,201,0,147,147,294,147,201,201,0,0,0,0, 15
"[111]JGzLjduplCrfLfbuLFwmnkyhhzFAJxFhBhpcdblnlFraffofIovkmzJAliFvLlvIkthGbFvexifbnibmqAHnvklxmsoAmcdsvDrxCoifmoJkHll",8,1,2395,1,2,0,2,0,0,0,0,0,1,1,0,0,1,1, 150
"[91]mKftzHDwfvHoJeHFGqphcHssthExmDanFqcCxBxACJcqpAlLppiDwvoxBfgDzrEvgDHkquEpcxkysCBltDearkuAozh",256,1,1269,1,7,0,7,0,0,0,0,0,114,6,2,1,0,0, 151
"[103]vjhctobzLhdvpcIiHpzcGqAqkJCFdkHEjHuacovduBKcDqnCtuqorBxcgybxDyqfoLJhuDeuyfmvKpqIDrFzKJpiGmCkjFjzlKEqrvI",5.36871e+08,1.67772e+07,451,0.62963,108,40,68,1,40,39,79,40,68,68,0,0,1,0, 152
"[104]xosDCJGHrtcuecpbIoFHqeKfAzrEvCgazvJtrgCmdGbzkpxgIjgoIdsCKCrJiLLdLssfBxHodcFJjghtucewAiuhlFsDvdtIaGrLdivG",5.36871e+08,6.87195e+10,538,0.659091,88,30,58,0,30,30,168,84,139,139,0,0,0,0, 153
"[103]HvhoJuzjHGatsckEHpcmawlmDADmterqadguhgxHKkwHcGgoLCEjcGvotqcldGhCfohFxghweItHhCBFEKCqtLsAlhnLpHqjFklwFhI",1024,2,516,1,9,0,9,0,0,0,0,0,1,1,3,2,8,8, 154
"[105]HoJcAmtGcrBHhxcFaioKdFmtidrtqbapppEpItFiwEaujyCcGbfDGKeupolcHgyJnIkzGABhjymukwnEKqbyvvatjcpmudAbAiHrwzjHG",512,0.01,453,1,8,0,8,0,0,0,0,0,4,4,4,4,0,0, 155
"[98]eucsjApgHcfzeAHocJdLHnxGChuemuyKyuDIyIzBdtgwkgqGsJmLlkraBmvgavIxvnCyskqBjyjCEAKolllgerwfFkkqqnKCLb",128,1,788,1,6,0,6,0,0,0,0,0,0,0,0,0,7,7, 156
"[97]ycpHwuelxcvcHoJgafFoqseeHrAAEpgwjafnnzeixnEeyhcpiLhuirGlCkozKsxhgvrBrvycImprKDBknblBynlzpjkmizDBw",1024,1,444,1,9,0,9,0,0,0,0,0,8,8,0,0,1,1, 157
"[103]rrBHDcGgaCgnCJChjDtDFucIjbAqEGkGetuxtFxIrBjfepjmfbJbKneHtraAclEzueoJhxBgiHcAGrKHCccnudqdpuLjbjcwvtEFnnh",256,4,516,1,7,0,7,0,0,0,0,0,0,0,6,6,1,1, 158
"[99]bclmtHggplthlHhchmdGoJqchKpeaGEgfCowhnmtqgxpgwAFlnAGgqgdIKiIDCztauDcmopDuIiJvpajqaBIjuxpByIhunALKzJ",1024,1,633,1,9,0,9,0,0,0,0,0,6,6,3,3,0,0, 159
"[94]DeJsiHFlBuGfcyoKBFqnwAGCGqmjjdJvnnAIakftgcKFxgnlbpbgioipgFEipaBwbJuAHuojqEdmvgJufFhAilrAoDxEsb",1024,1,690,0.909091,11,0,10,1,0,0,0,0,6,6,5,4,0,0, 16
"[93]AjHopKyJoDxbyGqEgjpmhEKoIiwJLeKfcClcHrxnAeggynyBquCDtjdDwmLqsvFFJxwtADwfumrcuHDDKeHiFLdjGkcbq",256,1,758,1,7,0,7,0,0,0,0,0,6,6,1,1,0,0, 160
"[96]nkhjHgcoJDIiHpLnrjgkHrqDwKfjuvyEtKICgnhpowgjLgnhjrwcpGqpdBmfGcptetAnIdjtsxwaHGJnBEcmzjDmulwfupIb",512,16,446,0.9,10,0,9,1,0,0,0,0,67,13,0,0,18,5, 161
"[101]uxAvcscGouDknchcHFBruocJaxcgFxrllfjiAdpnzccxFwcavabbumvrrraoLocsuupmvcaDdwesiccgnCckiEzswpvoEvzBywytq",256,1,292,1,7,0,7,0,0,0,0,0,1,1,0,0,6,6, 162
"[101]rLxmHhlGqaJrHqausacklkczpwjBdezwvCAEbhALzeerGfgKKrFivaecdqJIpljByruEFfzGfktdscICtaJLiFmkkgmLvHvHmGydw",128,1,763,1,6,0,6,0,0,0,0,0,5,5,0,0,2,1, 163
"[97]jiiehEbxnJvwdmeBbjEmcsDmsydlGggFxDcHoJHBGBmFsbHGoJtdknhcIGfHFICJIEuGxdGrrcIGbxLyqLEAzzuykFCKGzEaw",4.1943e+06,3.35544e+07,624,0.608247,97,38,59,0,38,38,2939,1461,2150,2150,0,0,0,0, 164
"[99]hccocJpcnpBrGjfCccoIHcwCafeiBufciytbjckotcsHwdtyooLGnJvBgCzrujgcaKysBhzmJJHDbAojcFJJtcbcxyCBCsoixcp",524288,2.09715e+06,326,0.65,60,21,39,0,21,21,2528,1263,337,317,0,0,0,0, 165
"[114]mccooGbeaEbgHcccnoLlccicFebHfccaqEhhamnJCAobyhscKcbvIBBiwpgmKcqrynxcrApJciljrvhiDxmfErplcacJcccrbyglpcuhxLpobaccsG",512,256,327,0.9,10,0,9,1,0,0,0,0,5,5,0,0,7,5, 166
"[89]uutlorsgHopDJhdcfmouoeFGBjnAEGqeHpAsAjxAKqBLjBnwrDpppFoJfopiDCEaHFlEqiGayjhwtJInsLxIkiFFD",128,32,609,1,6,0,6,0,0,0,0,0,19,10,24,15,0,0, 167
