genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[99]CDfMMzvbtxeCLGSBCdobRdRdwOHcbfQdBmHrOKNJqoioDOAzamOqqkyPcShqvefeFQokIoLOEFLyBDeNESQQejspyucijctdfOB",1.18305e+29,3.3735e+08,558,0.753041,2466,608,1857,609,608,0,608,608,676,676,1182,573,608,608, 118
"[84]stfdfjGHNJSKBirCuPKsgcbfvskgaOqSBJEasjbaJuRJAhfoHGskehusNoFSdjHhPOukctAnnFjIDLEmESte",11.6415,4.76837,2743,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 119
"[120]utHNJGHSKeBSlJJaALSdOblLgojLafJapKSNKIquiaiGrjSKhIRcbkOFqSpRbSCOrqwyGgjCISwyAyAkeyeJxgiGgozGEkDrmOMEKerlJvgQKBMARuKPzHhc",28.4217,4.05176,2733,1,14,0,14,0,0,0,0,0,22,21,5,5,2,1, 12
"[102]jzvAHNJheGSByzKSJLOfObCGiFRqNGRftOOlDlEQjEyGoMeQNGfhBOBnPgmNGpaMpQxqGJjLKzHAngypzNOzvQQBCxClHdJxayAdEK",11.6415,5.96046,2444,1,10,0,10,0,0,0,0,0,7,7,2,2,1,1, 120
"[92]FaSGEMNimimsFPGkbtBcndHENJOKDIgtjtPMgwQirwLPRAAgmkawHPDReccNJOKqjqhRCoiOlhelGBPPBdtdIzLtcDab",1.18305e+29,2.03035e+12,895,0.753382,12493,3081,9412,3081,3081,0,3081,3081,3266,3266,6146,3065,3081,3081, 121
"[99]MiyMgnMRPugdrEbigmHcMOvdrRycgdOoKPBQJFScPfBnpsEARnQrRNJHRMEPIfNqELEySaBfjdxdjlIPSBjNQDMPtOErkLLJESf",1.18305e+29,3.14182e+09,943,0.611461,2862,1112,1750,1112,1112,0,1112,1112,620,620,557,557,1685,573, 122
"[103]fcHckampDOcKHcHOqakSiNJmILHOMOeCuAFRAyGfndrdMwlbnNwmCMiyboJqOOMhedjjIqIgkHnycxFKJdQtjPHJLlerNrxKMFyhnKI",1.18305e+29,1.18305e+29,1585,0.764851,808,190,618,190,190,0,190,190,249,246,372,188,187,184, 123
"[92]BOevfCoeonENSwixBCHEmLnqpjawIidmLcKfuwfKFyncRqdJiCEANlrHwcfrPKkkwrpwAGfjHNJbSKBqHJsHbNJmHALi",28.4217,12.6415,2766,1,14,0,14,0,0,0,0,0,49,49,12,11,5,5, 124
"[105]sOfbwPJHRKuexpQHOxBnHOKbtuzvAxdhHHsMtcdBkFqmMIELqLuicldQuaKiGEsDAFgOeAMjgSHdvGRQAnIlsRsGdGCMtrcrlMSbLgnAt",1.49814e+10,18367.1,894,0.842105,152,23,128,24,23,0,23,23,80,80,49,25,23,23, 125
"[89]qCOJqugnkczFspruDBLdACPgHCbbEstfCNCdSnvccdyzhHwSmHmfvJoRGILqtLiqQFaEsiBFuDftHPDnaKRdbbbqJ",1.18305e+29,4.95692e+12,2750,0.74813,18847,4747,14100,4747,4747,0,4747,4747,4594,4594,9506,4759,4747,4747, 126
