genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[67]JrJltfacwFFlvJDapmgcFHHKtoJHGCggcscatqLapeBCrLwGffnkvtkLxtEmmCdpgcF",11.6415,3.05176,2671,1,10,0,10,0,0,0,0,0,19,19,4,4,0,0, 1
"[87]fkeAJuufaceFhioLsHhtFBocJpaxHcuaoKwcvndduBHiFfraqnsjIqusAvylrDbpEDBJtkGGwtncKrgfdkLapGg",3.70474e+60,213821,1548,0.755319,1222,299,923,299,299,0,299,299,302,302,621,322,299,299, 10
"[83]JJjjFowFJKsqsBrGCcKnknxhgGydoykmhqwwvobqDJslIAuDHAeeBFamAzEyLKjHApkElJIoBbhslywdLLD",3.8147,3.8147,2605,1,5,0,5,0,0,0,0,0,6,6,4,3,0,0, 100
"[64]JJJjhgrlKretltyGHoJqrcjpwlJEChtceHjJJyhumkzeLHcaIICEwAEdkDftojBB",11.6415,3.05176,2620,1,10,0,10,0,0,0,0,0,9,9,1,1,0,0, 101
"[81]jJJJKtGegjmbhfpfEeKtrnrhwcoCsKhLomdphztlEkdJwrhlsouJjfqILwDDmtgtuAlbbLAhBulHzgEEd",4.76837,3.05176,2594,0.888889,9,1,8,2,0,0,0,0,6,4,3,3,1,1, 102
"[90]bfJbJvwJAxKGgqCaJcBplcAlsnvBExbglKfhCldJlpfyadjhaujnhChvzuBtvGcegKIEKGvxstxfxsJvwinqHecjIl",3.8147,2.44141,2559,1,5,0,5,0,0,0,0,0,3,3,2,2,0,0, 103
"[80]fxJjEoAmlJJKwxAtlhHGoJqGynhorHfGlnuIeeFFhcmpIyrKdlLuGErhtafIdgoIAIwLskKDGiphfheq",14.5519,3.05176,2618,1,11,0,11,0,0,0,0,0,10,10,1,1,0,0, 104
"[87]JyxcxJJKKwrzGCGhCBFnBIwfneCJEemAyIljxiymrxdokGmsdniezoprlvtaLgdfopmcAlKALFHveprynAdiJtr",3.8147,3.8147,2557,1,5,0,5,0,0,0,0,0,9,9,6,4,0,0, 105
"[64]tgpdEjdDBFEftBbyJGFyBEGkJJKwskHoJGpBCorrBwnhCILFFJDaHksjnGaypyqo",11.6415,3.05176,2579,1,10,0,10,0,0,0,0,0,9,9,1,1,0,0, 106
"[101]bapjaxwJtcJJAydtKGdhpeqpFKvGGvLCbhHafmifpqEiqgsJHoADyylgjkbstddvCrEfDEzKlkHCgwgBlmwmtdIIqcvAzIwGaghte",4.76837,1,2601,1,6,0,6,0,0,0,0,0,3,3,2,2,1,1, 107
"[88]FJJjvjugarJthskakKecuAHoJGCFirFoxbzrwFsEHzpdolaFAkoftAovAewHHbIDFnHCJCtCcIliAtBDkeuuFwIm",14.5519,3.05176,2604,1,11,0,11,0,0,0,0,0,10,10,1,1,0,0, 108
