genome,merit,merit_given,gen,not,nand,and,ornot,andnot,or,nor,xor,equ, seed
"[77]rudovwyouedipjcbcqnyprqgqpvpsqxoqfppqpqpqutyecstvabaaaaaaaaaaaaaaaaaaaaaaaaaa",4.29497e+09,4.29497e+09,2564,1,1,0,1,0,1,1,0,0, 1
"[48]ruqqjhgbnvovpyhsxqcsqppepkqqpypqgpzpquttyjvstvab",4.1943e+06,65536.7,885,0,1,0,1,1,1,0,0,0, 10
"[55]rubjvcawmapntqutuqytnydptqppqrpinlqrfplgqtqtcttylssxvab",7.20576e+16,1.80144e+16,1507,1,1,0,1,1,1,1,1,0, 100
"[54]rdupmqjfmivoqsippqmqrspzpxslivtgnwnqwqxogpquttyhwuzvab",7.55579e+22,2.95148e+20,9467,1,1,1,1,1,1,0,1,1, 101
"[48]ruygvijjpbwywefluchwcrsatundrckxsqyauttttehasvab",1,256.58,483,0,0,0,0,0,0,0,0,0, 102
"[53]rufipqpfdooqfxnigrvrpkgqzpmipdggscydqwazmdutztyypzvab",4.29497e+09,1.07374e+09,1063,1,1,0,1,0,1,1,0,0, 103
"[49]ruqhvqgvpkqugbymxzpopqxuefmlrfnqottpshittyjjstvab",1.09951e+12,1.09951e+12,21002,1,1,0,1,1,1,1,0,0, 104
"[51]vrmuvpywompcxkxhtogzvdqjgoqqphlngqdqfpqttpwylustpab",7.3787e+19,1.75922e+13,2068,1,0,1,1,1,0,1,0,1, 105
"[51]irtsqvqxapnlqulaqpopgagliqpinqofwpqndqlntttyocstvab",7.20576e+16,1.09951e+12,1574,1,1,0,1,1,1,1,1,0, 106
"[56]rpoqynocpkghfqpndzkgpmqbfqqqemiogvcqlpqlsvpnquttyksstvab",1.09951e+12,1.09951e+12,2010,1,1,0,1,1,1,1,0,0, 107
"[49]ruqydafdvgftpqrxxsdjqesppllqpqptnqhytocwutyiasvab",65536,65536.7,370,1,1,0,1,1,0,0,0,0, 108
"[164]rucqjvdrpsqphgeyflqmyseupkinggpqqzpqplngutfoiqbtydostvasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasaaaaaaaaaaaaaaaaaaaaaaa",7.3787e+19,7.3787e+19,10751,0,1,0,0,1,1,1,0,1, 109
"[52]dbqqlrpgybmptqppqhspinlqlqzvpnrvlqpwpmqguttttyjtzvab",1.75922e+13,1.09951e+12,18838,1,1,1,1,1,1,1,0,0, 11
"[53]rzujvdvppkqpwdnlndhyjqzpljnwpqdefmxqppqpqttydkslttvab",1.09951e+12,4.29497e+09,2350,1,1,0,1,1,1,1,0,0, 110
"[46]runnvwgnqdgpxclzpqupmnqhgtmafpqypdcpqstyruyvab",1.09951e+12,6.87195e+10,1000,1,1,0,1,1,1,1,0,0, 111
"[99]couphfqpqeqqkyvqlpdhdnysfplqqzvhipfhghxlchjuszvvmbmupmhqwbpvqnyhilpnrincdspsqqgppcguqutttxtzstttvab",1.09951e+12,1.09951e+12,5401,1,1,0,1,1,1,1,0,0, 112
"[102]ruqvniogqaqmwpklngjocgpcqjoqiylufrqnqwqpqputytstvlbaaaaaaaaaaaaaaaaayaaaaaaaaaaaaaaaaaaadaaaaaaaaaaaaa",4.61169e+18,1.15292e+18,1064,0,1,0,1,0,1,1,0,1, 113
"[44]ruqbvqzppolcqngqadeodppyqvovpqqsoqutttykesvb",1.09951e+12,2.74878e+11,18436,1,1,0,1,1,1,1,0,0, 114
"[48]runfvzpqcpqebypcpfqfrtjrdufaiaibccmfbuttyetsttab",256,64.78,331,1,1,0,1,0,0,0,0,0, 115
"[48]ruvugjpqjpqqpiprqbtpglntpwgqwqmpiefttyqlsttvhnab",4.95176e+27,4.95176e+27,17173,1,1,1,1,1,1,1,1,1, 116
"[46]ruumpeqvpqpzqwpwnlqgfpqqtepmpgqquxttttypdstvab",4.72237e+21,4.72237e+21,5711,1,1,0,1,1,1,1,0,1, 117
"[46]rukfvpqmpcqyaipfxgdiehieepvriljnqmubuttyqidvab",4.39805e+12,2.74878e+11,1180,1,0,1,1,1,1,1,0,0, 118
"[52]ruqgvqkqppqznybdrpqgpqgoinqdhlqfpqkqtplqettttyfisvab",1.09951e+12,4.29497e+09,2098,1,1,0,1,1,1,1,0,0, 119
"[40]ruqegfqwpgpuomqiqgnyklofqilsvqutdyyeevab",7.20576e+16,1.80144e+16,916,1,1,0,1,0,0,0,1,1, 12
"[53]ruelrvipzufclzgjeohqporpnmpmgqgippqpqkgoqrktiyhestvab",1.80144e+16,2.74878e+11,957,1,0,0,1,1,1,1,1,0, 120
"[222]qgzupyvpqittgpgqdrpvpqtgqpqwqrufwmotqpnityevsvabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",1.75922e+13,1.75922e+13,3526,1,1,1,1,1,1,1,0,0, 121
"[50]ruppvqepqsplpogshhqgcmfqcamfoqppseogbzqbxxymsuttyx",7.20576e+16,1.09951e+12,617,1,1,0,1,0,0,1,0,1, 122
"[98]rukivllczqzbpdqwpfcicgmchkicqclbqpppwcqymjcuttycosvabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",4.1943e+06,65.72,178,1,0,0,1,0,0,1,0,0, 123
"[98]ruspryqhcxcoaxqocovcqarosgmqpvpcmdqlkquuttyensvabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasaaaaaaaaaaaaaaaaaa",16384,16385.5,332,1,0,0,1,0,1,0,0,0, 124
"[53]ruqqmivppfxghpwqvpgqpzjlnnqohyzahygsqpnzssortysoztvab",1.09951e+12,4.29497e+09,1198,1,1,0,1,1,1,1,0,0, 125
"[53]rusqcavcpcurhqkrqzppcagqspcpwicccccrcccprcycutyybsvab",4.1943e+06,4.1943e+06,155,1,0,0,1,0,0,1,0,0, 126
