genome,merit,merit_given,gen,not,nand,and,ornot,andnot,or,nor,xor,equ, seed
"[40]rzlqbnvioxtmxiqpwqpppqxoklpqpttntqyjsytb",16384,16384.6,25979,1,1,0,1,1,1,1,0,0, 111
"[56]qqprzipiqopwfinglgwxyvgdefvfkpqpymfqpspcgfqncuttttyddvqb",16384,16384.7,22506,1,1,0,1,1,1,1,0,0, 112
"[51]rznquvqzpiqopmljpqpnqlpwppnyqippgnglqgqkttttyyhsvab",65536,32768.7,32328,1,1,1,1,1,1,1,0,0, 113
"[52]ruosvjmnjqzcipyhbetpdnlpqpnlpvqqqepyjxyhuttttynksvab",65536,65536.7,25055,1,1,1,1,1,1,1,0,0, 114
"[47]ruvueoqnowppnqmtqppwqsopqxttpgtlnxqptttywqstvab",65536,32768.7,32505,1,1,1,1,1,1,1,0,0, 115
"[40]rugcvqiuqpintpppuqptqtpirptlnyhystyttvab",8.38861e+06,8.38861e+06,27317,1,1,0,1,1,1,1,1,1, 116
"[55]ruqnvpmwacntwzfwingeogazaifnyyryqpginzpuqxqlttyzssttvab",65536,65536.7,18219,1,1,1,1,1,1,1,0,0, 117
"[49]vrrzvvhjuqgepmpxnqlgmqhppzqqsfkpfgnqvttttyeostnab",2.09715e+06,2.09715e+06,15001,1,1,1,1,1,1,1,0,1, 118
"[40]rzlvpnqpzqgizplqpqrovpqmqpqruttttyistvvb",2048,2048.56,45203,1,1,0,1,0,1,1,0,0, 119
"[41]rlpuvjotzqnnpqngtpnlhtqfgipptqtttywtstvab",65536,65536.7,27284,1,1,1,1,1,1,1,0,0, 12
"[40]srzavuqjgpsqpqeplintleqxpneptitqftyfsvtb",65536,65536.6,24698,1,1,1,1,1,1,1,0,0, 120
"[48]ruqlfqipmpsynyfxvghqlnlqpowoqsoquynyuttttywhdvab",262144,262145,29304,1,1,0,1,1,1,1,1,0, 121
"[52]ruxqvzvegigryfsloepjqqpzipoqppqpqfpslnbquttttyebsvab",16384,2048.64,31790,1,1,0,1,1,1,1,0,0, 122
"[54]rznphqtpxqlvpfpsydaylcnoqfoqnqoqqlpupqpoqluttyfgsttvab",65536,65536.6,30974,1,1,1,1,1,1,1,0,0, 123
"[49]rupiqvpxpuqclzpinzqnlpsqsqwpqppinqelquttttyystveb",16384,16384.7,35895,1,1,0,1,1,1,1,0,0, 124
"[44]ruvupfheouogqoyopylnqqppfedpltnqttqttyhspvlb",65536,65536.7,34833,1,1,1,1,1,1,1,0,0, 125
"[53]rujeviyzqqwlpgnqvgzqpyexttgtqvttfzpqptqrfmpqnyesttvnb",65536,65536.7,22949,1,1,1,1,1,1,1,0,0, 126
"[52]rgozzvglghqsxqqyqdfwpgnltpfctiqnivqfpyvhqlttygfvhyab",3.35544e+07,3.35544e+07,11885,1,1,1,1,1,1,1,1,1, 127
"[46]rugqdkpnqbpknqppvqmqzpspqpgdlnqjpquttyhvstfvab",1024,1024.66,37694,1,1,0,1,1,1,0,0,0, 128
"[48]crzwvngnbiuqpwyopgistpsgjiqbqimqeiwfwtpttyonsvab",3.35544e+07,3.35544e+07,12647,1,1,1,1,1,1,1,1,1, 129
"[3904]rulkvjgcoqkugmxygmqhtbuieqgfphnltgqhfyzittyklstvabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaiaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaavaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaamaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaiaaaaaaaaaaaaaawaaaaaaaaaaaaayaauaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaauaayaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaxaaaaaaaaaaaaaaaaaaaaaaaaaaraaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaazaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaakaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaamaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaoaaaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaauaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaeaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaakaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaataaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaiaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaalaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaavaaaaaaaaaaaaaa",3.35544e+07,65558.4,1669,1,1,1,1,1,1,1,1,1, 13
"[45]zocqpqniowvfvqtpdpxflnqkgoqfsymvkutttttyyyvqb",16384,16384.6,33270,1,1,0,1,1,1,1,0,0, 130
"[52]ruquvwlzqpwvofiqvogiqqspdfpxgjpiqgqpclnquttttyglzvab",16384,16384.7,27949,1,1,0,1,1,1,1,0,0, 131
"[44]reevpnqpcqpqplnprqqnplnqequljqbuttttyqkstvab",16384,16384.6,37687,1,1,0,1,1,1,1,0,0, 132
"[39]rzsovziqpoqqpypgqvqhpttltnmqrpeyipsfvab",524288,524289,34200,1,0,1,1,1,1,1,1,0, 133
"[45]ruqvqlpsqyrcpclncpqlgfdqeopppwqmqxutttymmsvbb",16384,8192.56,35506,1,1,0,1,1,1,1,0,0, 134
"[53]ruiqbvgpzooqpwgdgqqqagounlqfgpoltqoviqfpiqttydcsttvab",3.35544e+07,3.35544e+07,14945,1,1,1,1,1,1,1,1,1, 135
"[52]ruqvvqcxqnimpdpkgqipuqmfboxpqyqpglqfntqnuttttymisvab",16384,16384.6,32624,1,1,0,1,1,1,1,0,0, 136
"[52]rupixvthdygeeghgnglwizwxsuytywqrpqbptqpitthfyjdstvab",4096,4096.66,18747,1,1,1,1,1,1,0,0,0, 137
"[40]qfqppuqopxnrlqpgsgnnqgzslpqvutttttyjyvjb",8192,8192.58,36274,1,1,1,1,1,0,1,0,0, 138
"[52]rupyhqygbnxqzpqiyimqmpqfllytzvngpqngotsquttttyyvzvab",8192,8192.64,27563,1,1,1,1,1,0,1,0,0, 139
"[52]rztvpnfqjpclpngzqpvlsnqyfgpjgqlpndqyljqpnttttyyazvab",65536,32768.7,28627,1,1,1,1,1,1,1,0,0, 14
"[44]rupvqtogqgpcslntpwqxqpjnlnqtqrquttttynsstvab",8192,8192.6,40930,0,1,0,1,1,1,1,0,0, 140
"[44]rmzwvzfqpozpnqpnmzqwtpbpiijinqpqkltygvstvwab",65536,65536.6,23161,1,1,1,1,1,1,1,0,0, 141
"[99]kuqbqpzwjpgpqvqfbiptptiqheqroinqcqrrpavmzgfignglvngugyppqcqvpyqnqeytrpuiqdefcocnqqnlqbutttydstttvqb",524288,524289,32415,1,1,0,1,1,1,1,0,1, 142
"[46]qsroqjpqztpqoqppqebpllinvpgqwgpfqloqtttyustvgb",16384,8192.66,35068,1,1,0,1,1,1,1,0,0, 143
"[50]uqqnzprnlnqphpvgtinlqqmydppqpfrpqnlququattyhystvab",2.09715e+06,262145,32398,1,1,1,1,1,1,1,0,1, 144
"[55]nupvnkrqeppqepdqtttppeqloraqptqmpfnolbqqnutyxbstvabaaaa",16384,16384.7,11507,1,1,0,1,1,1,1,0,0, 145
"[52]rudvpldlzdqttpiqnazynswxojqpqthtymppuqvotqplntydsvrb",16384,8192.74,22461,1,1,0,1,1,1,1,0,0, 146
"[52]oufhvqplykofqlpginqppgsitglqgzjfnpqoqcnquttttyquyvab",65536,32768.8,27998,1,1,1,1,1,1,1,0,0, 147
"[77]uurlvyhisxtnwjltthfvxkyuqdyppkqtpqiohpqyputtymasvabaaaaaaaaaaaaaaaaaaaaaaaaaa",16384,16385.5,10879,1,1,0,1,1,1,1,0,0, 148
"[52]rusvoptqzqpylzncymzaorqepdyqnqipbpqtqtpqqtttyfustvab",16384,8192.66,15436,1,1,0,1,1,1,1,0,0, 149
"[45]przkqkvpykgpgfgqtptpaifpqiqhoqpoqtutyustttvfb",2048,2048.56,38519,1,1,0,1,0,1,1,0,0, 15
"[44]rzrvpqgpfnqzlqpopiqpoquilpqpsptqetttynstvzfb",65536,65536.6,26288,1,1,1,1,1,1,1,0,0, 150
"[45]rzaenvpqroqdprfmpgnqusfbpiqnoqppgqutttyiezvab",65536,65536.6,30217,0,0,0,1,1,1,1,1,0, 151
"[51]rouzsgnyfexpqwvoredugqenuqdqyfpctlnpdqgqottyibstvab",65536,65536.6,18537,1,1,1,1,1,1,1,0,0, 152
"[83]lsuqgpqvpvtqpopdglrqlqufwdyongwpqgolqfoqoqeqwuttyjbsvabaaaaaaaaaaaaaaaaaaaaaaaaaaaa",2.09715e+06,2.09715e+06,9780,1,1,1,1,1,1,1,0,1, 153
"[55]frqgeqxzndvqmppqxpnkyizpyilfpnolqnqftqoqzquttyiesttvjab",4096,4096.68,32060,1,1,1,1,1,1,0,0,0, 154
"[44]ruvpkgqmoqpdqqpqspjpqkfqpqpnqglqwuttyjxstvab",16384,16384.6,35701,1,1,0,1,1,1,1,0,0, 155
"[105]uqviplpqpquqhnutpcqpqzrppqquoqputttydsvkbaaaaavaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",2048,2048.62,13443,1,1,0,1,0,1,1,0,0, 156
"[53]rzdorarqhpqbppjpgpnlqqqsplnypanqioplvnqqoutykzstttnab",8192,4096.72,31354,1,1,1,1,1,0,1,0,0, 157
"[44]rupwhnvqlpxqpjgpsqplmntqzqqpqmfqtuttyhystvab",2048,2048.56,35763,1,1,0,1,0,1,1,0,0, 158
"[45]ruvypzvuviupqrgpcqppqkpilnttqsqyzpftttyvnsvab",65536,65536.6,23046,1,1,1,1,1,1,1,0,0, 159
"[51]rzsvpfyxcozqspngrfyqepqppzqqojqlzpnqpqutttyhwstvfab",16384,16384.6,33005,1,1,0,1,1,1,1,0,0, 16
"[50]ruvrbhudvgqktndufofpytqppqpttttqvfgglnqpgtyvgstvab",3.35544e+07,3.35544e+07,17631,1,1,1,1,1,1,1,1,1, 160
"[48]rjzjvudsqtyskknkptndlzqjpxnlsqkqtqwttyiysepttvab",8192,8192.6,19349,1,1,1,1,1,0,1,0,0, 161
"[52]wfcrukcvpxkooxipzoqdmoqtppmqcgpqtltnqpqfpgqttyiepvab",3.35544e+07,1.67772e+07,16460,1,1,1,1,1,1,1,1,1, 162
"[53]ruwssiwzqpqcpmgtqpqflfvqspcnpsqiqnlqhpnlqutygistttvab",16384,16384.7,32262,1,1,0,1,1,1,1,0,0, 163
"[54]druwispvwlbqcpkqpqpqylpgqsoailffwpqoqvqnspgitttyntzvab",2.09715e+06,524289,24269,1,1,1,1,1,1,1,0,1, 164
"[49]ruqwqypplpxvipyxwhomejzqkoqfyeompqqqiuttttyostfdb",8192,4096.62,36793,1,0,0,1,1,1,1,0,0, 165
"[48]qorgkzevwpwaupdnlqqplqtipgphqdqdferitttyzisttvab",65536,65536.6,15775,1,1,1,1,1,1,1,0,0, 166
"[52]rugvqwuogqqlprnhedulqjcemtqhelkzpmoqytneqipttytsfvgb",262144,131073,15262,1,1,1,1,1,0,0,1,1, 167
"[53]rukvcjnivztpqnpspqsyojpninppqlnpnqqoqiqyvuttttyotsvab",65536,65536.7,28405,1,1,1,1,1,1,1,0,0, 168
"[43]ruqwvqlaszpwpqcpjpkqkipqeoqppqatttydbstbvab",2048,1024.62,40922,1,1,0,1,0,1,1,0,0, 169
"[212]izovimqbmmtyvspqqprnqsqlppsnhgqpqfioqnznuttttywczvfdyyqehilhbbpzmakuhcunmhlomdnhsbdceuhxgrespabwmoumdvqsznhhxxboukmivtukeciiftzoiemlrudamjzkvtckkgmvtcetbtfnigqxnshghibvxvqgjaalkxztwycuhypqsferocwazcdboqmwzicdjrab",65536,65536.7,21227,1,1,1,1,1,1,1,0,0, 17
"[99]iupdoqvmlrqmpibpnulvlqpiwdghoavmnxsqfuhadayhyexgvgoqupjvqsolqopmqpnglpoqdqzltpnnqoqrqdutttykstttvjb",65536,65537,33558,1,1,1,1,1,1,1,0,0, 170
"[51]ruvupoqmofqhyysiotniywkgirglytepptttvizuolpqofrspxb",16384,16384.4,23486,1,1,0,1,1,1,1,0,0, 171
"[100]rzqpvepzqjogigmuqvqefwfzpllniiqttpgtttytvsttttvghiwiizlhpvvudtgxbaqrovjnpmwcaczkayklslsxsmclguwmjyab",1.67772e+07,1.67772e+07,17124,1,0,1,1,1,1,1,1,1, 172
"[46]ruvlgudrlteeqtekeoipnqkpqtpneqkqeqeuttyzastvab",8192,8192.7,31892,1,1,1,1,1,0,1,0,0, 173
"[49]rzjvpqdspmqdpqgmljypuinkqrqufgpqpqviyttttymhgtvab",262144,131073,25117,1,1,0,1,1,1,1,1,0, 174
"[48]greejzrbjyjefvuqoeuipyqpnliqnlqlqpqztttyewsttvab",65536,65536.7,21514,1,1,1,1,1,1,1,0,0, 175
"[131]kurcbvtueplinqppcypiyxbcbsbnblzmzliyvwxbqettyklsvabaaaaaaaaaaaaaaaaaaaaaaaaaaaaadaaaaaaaaaaaaaaaaaaaaaaaiaaaaaaaaaacaaaaaaaaaaaaaaa",65536,65536.5,7202,1,1,1,1,1,1,1,0,0, 176
"[44]ruipqdpnqpipqdbhpjpqloppvqqwywxuttttyuystvab",8192,2048.6,43926,1,1,1,1,0,1,1,0,0, 177
"[44]ruvqsoopuqypopvqdpylnqvqoieoktqkatttyqsttvzb",4096,1024.56,41460,0,1,1,1,1,0,1,0,0, 178
"[99]dujhrvptfspkmoqvnqopnlqmwsppleoegfqnqscuttypwzvabaaaaaaaaaaaaaaaaaaaadaaaaaaaaaaaaaaaaaaaaagaaaaaaa",8192,8193.3,12746,1,0,0,1,1,1,1,0,0, 179
"[49]rzwpvqvpaynrrrkpqqzqpplqzoqewwqfpqqduttttytnstvab",2048,2048.56,36670,1,1,0,1,0,1,1,0,0, 18
"[87]rzqrvqkqkqpupqwpmpngnqglpnqolfnfuntoivhiatamtutqfqupproqtdnqeppsnleqreliegottvpsttttvab",3.35544e+07,3.35544e+07,26111,1,1,1,1,1,1,1,1,1, 180
"[52]rugkxnvqiqpkqpsugsqbuthdqpqgontqooyxufnwttttycvsveab",65536,65536.8,22632,1,1,1,1,1,1,1,0,0, 181
"[48]rdzhvjscfqtyihtocqpinqiqpilkqpnkqpqutttyhpstvxab",2048,2048.68,35270,1,1,0,1,1,0,1,0,0, 182
"[107]juqykfzdprrqtpvimrjsnjycbodbnesulfchtkhvzmdnuqpperfezqgyuqgvqgpqplnenkplrqlnqgfppbqipnqolyfqeuttyzbstttvzab",65536,65536.9,19197,1,1,1,1,1,1,1,0,0, 183
"[44]rqzmvxqzgrgawmvvqxqdgiutpeciiqtfpqttydkstvab",4096,4096.54,25640,1,1,1,1,1,1,0,0,0, 184
"[44]rifzdvupvqogppqwprpjqhgmvpwnlqeqfkttttyrstva",65536,65536.6,22432,1,1,1,1,1,1,1,0,0, 185
"[100]ouvuclgdxdqncydkgcqtbiboqpolhntoqqfgrkepljyhjculwqvnolfypppgpzqpqziysqfnltqpqljnwpqjqhuttttyeasttvab",2.09715e+06,2.09715e+06,21711,1,1,1,1,1,1,1,0,1, 186
"[51]ruqquvptsygyaxpwyelmrmnnqpndpqeogqppqpqutttyuvzvmab",16384,16384.7,30290,1,1,0,1,1,1,1,0,0, 187
"[48]pqlqwywprpxlzenpqsspppkgmqvvogpququuttttyaevfdqb",65536,65536.6,31480,1,1,1,1,1,1,1,0,0, 188
"[53]rupkvqkpqoqppvyeqfpnlgpnqjnqklitqhspnflgquttttyifevlb",1.67772e+07,1.67772e+07,27575,1,0,1,1,1,1,1,1,1, 189
"[43]rzrqwjlwnkojpknlnvqgpznylqyqpqputttzvmstvab",2048,256.54,40653,1,1,0,1,1,0,1,0,0, 19
"[44]ruwiqvpqvoqtqlpdipvqlqmoxnzqoqpsquytyvnstvab",2048,2048.54,35872,1,1,0,1,0,1,1,0,0, 190
"[44]rbzdvuyrlvoqzppnfzeyqpggnlqfpqspyquttytjevab",65536,65536.7,20534,1,1,1,1,1,1,1,0,0, 191
"[45]ruvwqltutpvnlgqwmpuplhttfgpnvpqrqftttytisttva",3.35544e+07,1.67772e+07,21694,1,1,1,1,1,1,1,1,1, 192
"[39]rezyvebuyrqyhpfokoveqqmpgqhyqutyusvqjvb",3.35544e+07,3.35544e+07,17271,1,1,1,1,1,1,1,1,1, 193
"[53]ruluvwxwughdjdzyqdpomqvoqxhtpptqtptlninqoftyoestttvab",2.09715e+06,2.09715e+06,21391,1,1,1,1,1,1,1,0,1, 194
"[199]rqeybjlqpcqtpqpxqzpcpaqolprsnryxqwoyrdxgynlmeoseeyqumscnlphxshqtjqdqfbpylvxebqztjqmcjwdpnszslozsdvhxnqudrxvyuoukhmlfhfdowvwkhlacylwaynserxkzcxnplxnkkourkispueczlqrqqlrpgsxqnipxfnzpqivqpqtuttyzvsttvab",8.38861e+06,8.38861e+06,10756,1,1,0,1,1,1,1,1,1, 195
"[47]runvpkqmpnqppqpmymjkqiozquqzipqplnquttyxstttvvb",16384,16384.7,37220,1,1,0,1,1,1,1,0,0, 196
"[52]ruqrvqnfpefqepqmlxpqnqqppqnsqypqivpfnlgouttttytodvab",65536,65536.7,27580,1,1,1,1,1,1,1,0,0, 197
"[42]ruvpqoptlqnqrpnplnpdqsqpwqpqutttttgyestvyb",16384,2048.6,45833,1,1,0,1,1,1,1,0,0, 198
"[52]ruwyjsvpqqvpgqipqplnqnfpwylplrntiqtpoqhquttttyzjsvab",16384,16384.8,32789,1,1,0,1,1,1,1,0,0, 199
"[52]rujvuyqptizqyycvwcrclrwyjhkvdelxliesrhmpqtyprstttvab",128,128.38,25245,1,1,0,1,0,1,0,0,0, 2
"[107]uavptqepynogqplnrqnyrcofecuppghrpqioqfqpquttyijsvabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",16384,16384.7,10628,1,1,0,1,1,1,1,0,0, 20
"[59]reuyoovteiqgbouqpgpeprfwizpnbytuhlseprqnthiloqxgttthygrsvab",3.35544e+07,3.35544e+07,25331,1,1,1,1,1,1,1,1,1, 200
"[48]rzkhvqbqdpqhpyliinldqpeqkuqqptivqoomttypbsttpvab",3.35544e+07,3.35544e+07,22749,1,1,1,1,1,1,1,1,1, 21
"[43]ruivjkpgqwpzgqttpjnlgtphysqftfntqypstvxlykb",65536,65536.6,18760,1,1,1,1,1,1,1,0,0, 22
"[55]rzrvwhlxuzqhotmwqpkpqwtfiiggpgqetowptqkthtttyvwstvdcxab",131072,131073,19367,1,0,0,1,1,1,1,1,0, 23
"[48]srzlvyqbunlveqpqyyugoqfipptfpqdtppqitttepyeeevab",1.04858e+06,1.04858e+06,17371,1,1,1,1,1,1,1,1,0, 24
"[53]ocurzvvtnqstwulhngpnzrqpppyqcltyqponjgpgftqptyxmstvab",2048,2048.74,22537,1,1,0,1,0,1,1,0,0, 25
