genome,merit,merit_given,gen,not,nand,and,ornot,andnot,or,nor,xor,equ, seed
"[52]rupfilqplqpyuvpveovgoqspqyovqmepgnlqlfpqzttttymhdvab",2.09715e+06,262145,27903,1,1,1,1,1,1,1,0,1, 1
"[53]rpupvudpqppvqpspqpqeppgpqtpqnlqpqljnwtqqftthyestttvxb",3.35544e+07,2.09715e+06,21753,1,1,1,1,1,1,1,1,1, 10
"[48]srpnzyqtvovlterlngqglqpsplqpgwinqfpqgtttygqstyab",65536,65536.7,20219,1,1,1,1,1,1,1,0,0, 100
"[54]ruzjvucpeqlpktyutyeztqppgqpnlqtioqxqnpqxittyxssttptvab",65536,65536.8,24200,1,1,1,1,1,1,1,0,0, 101
"[53]jhextrzfqsvxzqqgotinstyuvvoyqtfpqzpqppqtpttyivstttvab",65536,65536.7,18074,1,1,1,1,1,1,1,0,0, 102
"[52]ruwykvpgqopkllqpqplnhpqqgppguivpqfpqbpqzuttttyutsvab",16384,16384.7,32681,1,1,0,1,1,1,1,0,0, 103
"[134]punvqzqppnqhifiotmsqtrpomqgoxgtquxfypptqtttypzsvabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaraaaa",1.04858e+06,131074,12023,0,1,1,1,1,1,0,1,1, 104
"[52]rzevmixwmbpfcwmqgnxpgnnqxyfjrpqlonqjqpkqtttttyizsvab",2048,256.56,33764,1,1,0,1,1,0,1,0,0, 105
"[51]vurqizzvqpxnqelwqjuptisqtoxnoqxpsqrlweungttywestvab",65536,65536.6,14922,1,1,0,1,1,0,1,0,1, 106
"[60]ruqovuiippqftiplngrpqyiuaeikolqlqiyinzqfpqkqptqpttttttyvsvgb",3.35544e+07,8.38861e+06,17776,1,1,1,1,1,1,1,1,1, 107
"[49]ruqiqvytkgphzgqfoxaupqktowqzotqphttyjsfztvhgvqxrb",65536,65536.6,20658,1,1,1,1,1,1,1,0,0, 108
"[52]rupefgqwffofqzsvpqspigjppqynskaqloghqonqsttttyihzvab",4096,4096.66,29118,1,1,1,1,1,1,0,0,0, 109
"[48]rzyppqnprlonqpvqpnimqodpfqqqdpqgqsgtttyvlsttvdab",65536,16384.6,35158,1,1,1,1,1,1,1,0,0, 11
"[87]zunhvpquonltnqhppnplsqlplqzpuqpyrqroquttstfsvabaaaaaaaaaaaaaaaaaaaalaaaaaaaaaaaaaaaaaaa",16384,8192.62,10670,1,1,0,1,1,1,1,0,0, 110
