genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[67]QFPKHOqPIHoJSLMBCQcbpMIituHNfzqgdHxKjiSzmRiQLLCHMQOixChKBPqIqLLmlFO",2.03704e+90,3.92319e+56,8201,0.997792,453,1,452,1,1,0,1,1,158,158,143,142,152,152, 119
"[101]GOCDaryDrrtpILqAsqbaNOBFFyJJKBfOywawBduxIqamLhvACNFnBfoEIHLHzurNNvlSBMBbJRxdoHotiicpgvHOKNJSibdfBHPRq",6.33825e+29,2.95148e+20,8489,0.835616,146,24,122,24,24,0,61,61,83,83,145,83,61,61, 12
"[72]HoDKHPGPIQpEqCQwQAwDggcJbFfEKOQdebKHNJQaqpffcsHNqELDeywRfBLIQFvGsiicPINJ",7.66248e+53,1.18059e+21,8967,0.766467,334,78,256,78,78,0,195,195,209,209,211,206,386,194, 120
"[119]KGqvkKMEbPhdBlQIinLMhKtmHuBJiJNGKDzaSeHgsRGPEKMMsJhMxndlNOIAcxyJjvuLeLaKBDPrqwqmjlGGMxRaznolRhQsSjjiKynIBlhKNMuMfpktnth",4,4,2661,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0, 121
"[107]kBveqxOQGStHzOpwEAeQCEcJMKoxSPzjecteffKbHIQElkGKKinBuHoJbuxiQKJgsaorPlRRpKkMdtjQQlzwetHOLHOGNJqIKqcJJbFmLmE",2.07692e+34,4.95176e+27,11193,0.789744,195,41,154,41,41,0,288,288,303,303,287,287,588,300, 122
"[128]FRLHOCNJNqPIKqJKoifnrhqoeMOwnFpndfsdxFjdBcbKwhGomhKSeHDfjoFSCKaSnSixdxGJEzKNGlLKoiREisxJbOLtLixNpehiCKRqRnJoCGIjewqIKyfNGEFJLBcD",7.41069e+78,1.23794e+27,13404,0.769072,485,112,373,112,112,0,112,112,146,146,112,112,227,115, 123
"[121]FpKHRaaCMINJNqLGqEEEIIpFSKnMCKlibhCNPKnBnDhQnadFwJMjzuqnMjHQpLjEmufcPEzzmlNCAMMfEzleFciACJPtforrmnuNBmntGiGqgPRmHMKdjocbo",1.32923e+36,4.8357e+24,11813,0.825137,183,32,151,32,32,0,32,32,65,65,87,55,31,31, 124
"[94]bEcHbMamRdKHNJBdeSHqooJqkqdzaGIxJrSHKqeKeIDyfkQIvJiqruldPDjlqzLxLPylsnChQffOIRdfbcdIBeLQfaRlfM",1.13078e+74,3.06499e+54,9098,0.774049,447,101,346,101,101,0,101,101,106,106,240,139,101,101, 125
"[55]RiimzezxMMwEBcHRLHSaPBoJSloyIBKvcSOJSHOeGwIywffQGBfqFib",7.58855e+81,1.25542e+58,12470,0.781705,481,104,376,105,104,0,442,442,467,467,442,442,903,460, 126
"[70]SbmRAbIduzNfiRgrBrvHbRbLHPDENJqsFcEjeOaRsQfpOAxkPevGGIKqAQnDpEeiLGsHdE",1.55414e+85,1.54743e+26,9541,0.771154,520,119,401,119,119,0,119,119,144,144,119,119,257,138, 127
"[94]FgHGNJSKBCsxbfJOEQyKRmLlnyJIBFtRzIEuKHArAeSaRAxLyGwlFuBCpKgCHONeANewcDMqwwNwomJDpJIIOndAQoScqb",3.35544e+07,1,3101,1,24,0,24,0,0,0,0,0,10,10,14,14,0,0, 128
"[72]jcxHNJRKHqpeceGReoILqaJIiENnLdfwHnOmClFMIFfeLkNbQDrNPQSayvfvgNODzLiENGdt",1.59143e+88,2.47588e+27,5342,0.754355,574,140,433,141,140,0,140,140,145,145,289,148,140,140, 129
