genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[72]lHBBxHaeMllEMKbxHGNJCIModvBfCeEnDNvCzfHIeuvmmImvzzLIzOirqrJaegaiheGgexOI",8192,1,2870,1,12,0,12,0,0,0,0,0,12,12,0,0,0,0, 119
"[114]GHRKsGHoJnqsGcjOdaLbNJzEdiPOQDzzPzlzluAltwbONaAugwszPfcPCgArnAxFbttwDydmBiadEFxAIBSouFciEFyADfRzcxiiksOqxuoFGMHBPw",1024,2,2947,1,9,0,9,0,0,0,0,0,257,8,4,3,0,0, 12
"[75]CzyxBskqmNJHOqJGHFvHxPqydxuOLEneeGoJHSaPcskaQogbDafSMGLQDIKQeJHqRGqotPhEDPI",1.43418e+31,5.76461e+17,9254,0.764,250,59,191,59,59,0,280,280,332,332,280,280,594,314, 120
"[90]NvbncjqcRQBNFCrpuelAvyzdafMrlsgvwCQLtkxCvpqzcFOFInoaKGOnkpbiHaPzFrowRchHcMcLHNJOMweclNnGwG",2048,5,3088,1,10,0,10,0,0,0,0,0,4,4,0,0,7,7, 121
"[96]ECFfqjKnlRvhliIjodSjOztKNOmgpfHxmoRxydzhxvDxIAPqneGJzzPnSfuBAslPPeMHhpmsMEGNutHOKpbizHOMNJGCGnbJ",362.039,6.65685,2782,0.9,10,0,9,1,0,0,0,0,7,7,7,5,0,0, 122
"[106]dHwxHccGRLNJHCrJQwPeJjCjnQloAjHqMJjMRMRxpzFHNNEHQErykdqdtfLQvQBHfmiBFFqgjIDGqxAanFydjyxBhMhKAlHdztpHcIGcDG",724.077,2,2905,0.909091,11,0,10,1,0,0,0,0,4,4,0,0,9,6, 123
"[96]dpvetMzAumHpbJOKdbMGBHNJCAjwAsbgHEkguBOmyuIdyiNeLdDDPOhtupQrSBORrSfpCMMixNsAgHockaEbEAESrytOGNxn",8192,1,2915,1,12,0,12,0,0,0,0,0,10,10,2,2,0,0, 124
"[90]kfCtsEjjeBiJSjIGHcNcJScLhcHOFfNJPRqCdfIKCmPOfDNmyrweerppHSvCSFtzANcORRqjzewxbavkLspQadkAuk",2.923e+48,7.3787e+19,9414,0.762025,395,94,301,94,94,0,94,94,111,111,93,93,191,97, 125
"[96]HMLMdeDGNNHrsGHNJqfywCqgGMaibNNERdIityFxvqNfEGISjmSEusjbBjiuBOGrlxCgroacRFjMlsiQuFbOelMOMedLNMgS",1024,1,2884,1,9,0,9,0,0,0,0,0,9,9,0,0,0,0, 126
"[105]gtonBHRLdNJGrHCpEhPPMOtQGhyumsPpeHQLIayKIcgtLHNepbSxDczdjQoiBzLMgngFbxKbyxvioQsrvOrvOBnnjMpEAnPIkowaBSsEl",2896.31,2,2932,0.923077,13,0,12,1,0,0,0,0,6,6,0,0,8,6, 127
"[73]FDJHSLHgqabIKqpnmkELOHyoixvLeLNpwNqqyaPdyCmHgACFBoBjwotiidCbSOwteIhslCtqk",2.84069e+59,2.1371e+23,7187,0.764092,479,113,366,113,113,0,113,113,126,126,112,112,241,128, 128
"[83]HRLxHMpJGCxOyiiMNidEPpQjtoJvAsqgxpLhDcbjylpfpAnHzQmurBSdvFwxnPBhmMJtDzgHCQGEwfwpNdb",2048,1,2832,1,10,0,10,0,0,0,0,0,10,10,0,0,0,0, 129
"[73]SwHMLlvoJGHChlikEGnLnsgGmcfRJizcwIKcvvozCEloEzlFvuQnEbxpeyfcDPlMMHxhLNOhu",256,2,2775,1,7,0,7,0,0,0,0,0,255,6,0,0,3,2, 13
"[100]LGpAOBeRQfsRRNuMduKspyChfjrfmjwRGwSvrgbJkOuuRJijLsulizMJrwfNoMcCnAGPKMftemPtMfbOMaJwzDQyEACBKLKxjqBR",8,1,2651,1,2,0,2,0,0,0,0,0,0,0,1,1,1,1, 130
"[60]jEyzECgCGuCECjwqReKNJHPDCNuILGDHcqHCxsvgHEjOkzSPMAsrjQdmqQGy",2.47588e+27,2.30584e+18,6980,0.805714,175,34,141,34,34,0,34,34,64,64,77,43,34,34, 131
"[83]HsbRLxHNJkGqjNEKSvvRPaPimNyAaHjAPKcfbsfCDBvBHLJHhyiESBGnAtutJfodjdmNAzBPuEublmIJJua",512,2,2799,1,8,0,8,0,0,0,0,0,8,8,0,0,1,0, 132
"[48]xHbiwfMMHzytpnHxMjxMocxRKsxGHNJgqeAdMQoHMrAaimGh",256,2,2902,1,7,0,7,0,0,0,0,0,7,7,1,0,0,0, 133
"[102]CObwAhhKLDISyRJJoHPlrewzjCFtBOrduaRgJuNyfmviAbcbGbQskvDjPjuNngiskigmQQpRihzxsRkhQuHGNJOKHSdSdtMNRzkdxG",2896.31,1.41421,2792,0.923077,13,0,12,1,0,0,0,0,5,5,8,7,0,0, 134
"[85]HvFyjsHOLxDoHboJHGCgxfSKlSPanNwzlwpFRwnpSgvloIRepNMGHlvRqsziKAGaPKOCBGajObJQrrEjpFmps",512,5,2858,1,8,0,8,0,0,0,0,0,8,8,0,0,1,1, 135
"[95]nHxtomHrnOLRrzQpkMGrHHNJCuRjEBsgeueekwEevSAFstEwRElBHANLbDMsRGnEdSqlMkioyevhxgbKDuiHAEKxLtieezo",181.019,1,2891,0.888889,9,0,8,1,0,0,0,0,4,4,0,0,5,4, 136
"[98]wfbbbrAMkiHOLetHoJhGqaQuLgcHefMwCloxddgrmgfMyGwajoLSuKpQtPINLtcaldpzhIxwBQEIRCzrsvAlEqtAhqyjyrtnlu",256,1,2819,1,7,0,7,0,0,0,0,0,7,7,0,0,0,0, 137
"[108]HHpqMLjktBGHcocJCiSvPJeMejwanJNpjpjPfRPOGEFFgmvfbDvGElpqlQzPHLrRLIcrfgFyCLvMCnmtBREFNhMBljvGfagBxbIpaFLtnpIm",2048,4,2894,1,10,0,10,0,0,0,0,0,9,9,0,0,1,1, 138
"[115]ucHFNJRLHinlGbCsaxoaNyksNFjonDpFwIOElRQGSHMGwGgkMkBfmjeBpLrKNFKsEzvmihEjivsowmsgQfAfSFOciEMnFIREhQqdECBjfulwheeyllj",23170.5,2,2856,0.9375,16,0,15,1,0,0,0,0,6,6,0,0,15,12, 139
"[96]JCGqxjHzpzDcKhMEdJGzvzmMPeeuqHPINvdGJBPGoxkmjaPNiCvuSdGrNcsrniQtwfKkrQtpBRmhQtibetGfudCjSzCiBjAn",8,4,2695,1,2,0,2,0,0,0,0,0,1,1,1,1,0,0, 14
"[122]HbERLgHHGiaNJCetbjruzsfQQNocygrIbDzriIFzNmKKjciafIRRNypagDkhqeBOccvOpfxpwhqgtMDJenAgCGNNJjSLDPEjtBlovFFIIHirlGptdHigCuSPOC",724.077,1,2861,0.909091,11,0,10,1,0,0,0,0,3,3,0,0,8,7, 140
"[105]wenHNJGCOMqLQIPGAlHRCiJNhpizOQitKMplnxfLqAqfbPkcCiJLESarskpfvqndOtfeFSKqqiCcxqtmiReoHQuFGCEziQIdkwgLRekgy",256,5,2923,1,7,0,7,0,0,0,0,0,7,7,1,1,0,0, 141
"[92]HmsBgwcqeKMQobORgrlPAMiAOKboQFHtwgMrajcMoLRwiHGqaJCgqshOkjzoDhqFPekrkCLzBonNbSkgBCmnLqbMuqGq",512,2,2819,1,8,0,8,0,0,0,0,0,8,8,0,0,1,0, 142
"[109]NrpvBQsHOKxiHGqaJqEojMObvGiAdowfFxImOHCIjJmepwywxbOdEJApOnFcajvDHADciQHmhLpfhCMvtiswOqDrjzkxktMbqCEtegeIaimqR",8192,1,2962,1,12,0,12,0,0,0,0,0,11,11,1,1,0,0, 143
"[128]kNIQJHcNLocJHNcGRKHgqctQnOAgLaxOPmwCtEPAlqlKtrQkkpSzDKstqqkEPozdfKwfGcdyiqSEFaqEPcyKyMxsItGNjNQxJtLEthNLflrHJuevkGNMLSLofRRDGQft",6.04463e+23,5.09524e+16,10488,0.765957,188,44,144,44,44,0,44,44,55,55,89,45,44,44, 144
"[92]eEHwCdrjRKfwGFxNJHGCSSOxlyJCCDMmIwGtyFMiIOdCDgqBQaiOoxQytqessMkmkKuNfRrpPxEQMjdCbDKxQliIAtJl",512,2,2883,1,8,0,8,0,0,0,0,0,7,7,2,1,0,0, 145
"[80]FcHOKuGHRPJjDGCGIxMKsnMQoPMDwlCKwhkgRSxdqcLvqKpmKNCAeEjICHKJfLQRBesoImJaydBoBvnd",256,2,2977,1,7,0,7,0,0,0,0,0,194,7,2,1,0,0, 146
"[77]LdGqAcGmbMzhiBiEKhMroHjsEbsRSMqSpLORIDlMosdJvPApnCoiGDxiILNoeRHgAhFkxvwJiFIyK",4,2,2632,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1, 147
"[108]jHwRLHsexovfAgsNyihbzuHGRNJcqkvhLyiOsgqJMOEHoprKRIRNKiMqhFwJxxstksFQxSjSNSDkioceGHLQiEdllhDJggSycIMsfpqtfJAb",512,2,2837,1,8,0,8,0,0,0,0,0,501,7,0,0,3,1, 148
"[76]SpCNJReLPKnaaxHRLqGzOORQSyFLhqSNaiMeEtHPIOmDLokKpHrogtegfAjBvnMdaNhjjECjlsOL",2.34977e+35,1.59226e+15,9934,0.748408,314,79,235,79,79,0,79,79,85,85,78,78,151,72, 149
"[87]LPIGaHNJqnzGIzrOhvoJhNBhfndhxrMLAREfMKLaMareAhiEPQzusBhFCtIxpeBsPEEIklhppEmvdelIjjAwSKH",128,2.82843,2742,1,6,0,6,0,0,0,0,0,5,5,0,0,1,1, 15
"[80]KPveGjDQJSonApptcjKEJHlocLbMHowGRplEjfpEcHnCrjOHGJiofMjuJNMEykvdMAGlHjecStObyfpL",5.65685,1,2645,0.75,4,0,3,1,0,0,0,0,2,1,2,2,0,0, 150
"[90]MENJlFmHSLGGqxgqHElQNfpiFOApawhwimqmIRsNcgkbdjrmsfExEodKmwOPDfLtmzOaPQoxjeukpGPEqonhOBxuuS",362.039,1,2721,0.9,10,0,9,1,0,0,0,0,4,4,0,0,6,5, 151
"[69]LmGSrNjOjswohJBzhMwzPFDNiBzaAooFuqDzxfHAfbBKtGREayQkcmOCvOQMkbxKQAvzF",16,1,2705,1,3,0,3,0,0,0,0,0,0,0,1,1,2,2, 152
"[48]rjRyMsBFCNIwkeHHMKRecpJHqoabtGILClHnaoyfeqDJjJQq",3.58546e+30,1.15292e+18,8342,0.80829,193,36,156,37,36,0,337,337,409,409,768,423,337,337, 153
"[96]BblHOBNrtHNJGqLjCwBchckcovFcbxodupMJiehQgoJzsfMhssmDzggOibNAHenElaFNeosqtrGuflMDmdGHnvCfqgjqQmfp",4.1943e+06,2,2983,1,21,0,21,0,0,0,0,0,14,14,0,0,9,8, 154
"[88]jHMLnxrcpCyntAcRiufyzfwhHGoJCDGnBsErIkOExopdHHQQLKsgxqjjNxJHHbBrCjvCzFkeAhIkALQxQplNyLyG",256,4,2826,1,7,0,7,0,0,0,0,0,6,6,0,0,1,1, 155
"[61]SKOSjgvuzIMFFSBFQfBEwHMKEHPDNJGqICabPqzShHkHQEnxluOILqvyuqhpr",2.73549e+25,1.63048e+18,6180,0.795322,171,35,136,35,35,0,35,35,57,57,80,45,34,34, 156
"[89]QrbDNeHorzHRBbARwpdpsHNJGSqoCjQGALrSrpvKJiHQxILrwlxIhzBRAExANHNyijSaJvzIrPmNiiBbtIqFivIur",131072,8,2890,1,16,0,16,0,0,0,0,0,8,8,0,0,8,8, 157
"[79]uQxzHHRKOhGAHNJqrqGEQBMqixIPOlNdkFOayBKlJxMiBNPuQhSRjjakLcDGJnQRBefyviELIJQGFgq",11585.2,2.41421,2889,0.933333,15,0,14,1,0,0,0,0,13,13,8,5,0,0, 158
"[102]LGGPmGKAjvkrguxsGRuhtMchjbuOwEPnfkriSCCkIpwsbfbAehnHcPNhvOcMMsNQtFyFkMoOKstPmyRQcCdxhJCzSSfsqdcinSCjvc",8,1,2633,1,2,0,2,0,0,0,0,0,0,0,1,1,1,1, 159
"[73]hadbpqHOKnQxOpzHNJGCLjbzjtHpnrrfxJSfsdnHycSGDumyHPPwrMvqReIQNlLARhgPJMyyQ",362.039,2,2926,0.9,10,0,9,1,0,0,0,0,6,6,5,3,0,0, 16
"[96]HRKzAeNvzrvwPpzzNhvHGFNJqoGfMRJbHrbaonJmiARFdflFjbSaiSJqOMMAenEuqfikPMvacHweFhNfAsNsylqKkLrqBuGn",256,4,2850,1,7,0,7,0,0,0,0,0,6,6,1,1,0,0, 160
"[101]GHCqsqHAvsSoFubkvxKHqFGqKLMfwIcJFHjkaNJPgGuBFrzGbmmftwQdjfdcubtsdwOymlrHEMErRlytRhOLezzyGPQnfcEMlNJBH",1448.15,1.41421,2800,0.916667,12,0,11,1,0,0,0,0,4,4,0,0,8,7, 161
"[104]KGOiPdngyOBFwtwHDgQaQlsimbbybaSEkfFnmzypeNKegtxjCzLKgFILqwawdebcvHJrtjsygqGltfLcdinogHGyLQKPHgQQSSwjfPkP",8,4,2650,1,2,0,2,0,0,0,0,0,0,0,2,2,0,0, 162
"[60]yElHMKwDuPlfGHONJqvhRoaLIKeBjcxvRPabRxqwRIRgjIIPhxQDcxigmePS",256,5,2919,1,7,0,7,0,0,0,0,0,9,9,1,1,0,0, 163
"[108]uHbwbeRLHMLcQlzbEMxHNJGqyNdinthMriaDzvIOrAQykEDBopCCrOowakNyQkxquttrKJpeyiPNGCqGPoIEIFNmmINvivfvAcBgGgDSBKDR",1024,2.41421,2898,1,9,0,9,0,0,0,0,0,11,11,0,0,11,6, 164
"[94]LGqEfGoypNPwpjEJcQnpKgyDDKFrHGurEhGAGyJkggotKicLstsRNOQBxeuRGijDSnclJdxBHLPtfnNhiMgwrjydCCsShK",4,1,2659,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1, 165
"[93]LJJsdGqJHebakQdCBzRkyRHMeCuycrHIoAcBwOReBSpeiqjpQzGRIMiCEeDRojedwzcLCjCJRFGsKkAHvKaCfACLcOmsb",16,1,2625,1,3,0,3,0,0,0,0,0,2,2,0,0,1,1, 166
"[92]HRLQfRdEGHONJRkEqIMbiQewuydLMABIPJrQsFfFanyucbwlsRABHvyGBJgyHhiBvBeSwENGujFLvganqKhRElKDECdj",512,4,2914,1,8,0,8,0,0,0,0,0,8,8,0,0,0,0, 167
"[94]RKHRGkcawcNJqICKsbmtQtffjCnPDkoqGlJbHatMvBDjKNAwCwbymbigpanIojmssLnSQhlBsuEILlinBCozAdEtLcHMKH",5.73673e+31,1.30438e+19,10839,0.780172,232,51,181,51,51,0,51,51,78,78,103,52,51,51, 168
"[69]OtrNDxxoHRKHNJHGqiPjmcDeBepkQFLKlStiJNgiDuarekueDJOSINRjtloozhtrHmrSw",1448.15,2,2874,0.916667,12,0,11,1,0,0,0,0,12,12,12,9,0,0, 169
"[96]HOKFoJryzhHGqRDBMBEAOoQuSShGReCuRDkjuagGpQxjFteveKeqykeKSPzshIaOLQepbCmtQwIvAOgFcDpqFicDhCxvBJCS",1024,1,2894,1,9,0,9,0,0,0,0,0,8,8,1,1,0,0, 17
"[85]HDmRKmPQmHAGHNJmCpnhaLpvsAoKsBkMIeOzLBQHSFAicOnlScgEKMgsdodBNulacAAkoEIuGRsgkrfdMNqvh",11585.2,4,2836,0.933333,15,0,14,1,0,0,0,0,7,7,8,7,0,0, 170
"[112]RepchjzDRHRBuuRxGHNJqiaKCimzlfeyqNEROrvBdIFLecyDSbdrSwBEbzCFpszmIMrhSuSvKAJOhkjckBpekKAznEkiuFvuyfsEQtonygQKtizi",262144,2,2959,1,17,0,17,0,0,0,0,0,6,6,16,15,0,0, 171
"[95]JuxAlGkqQdxzKfzuHiHtgJAMKscQLFSwSngwPrKsoejKNsvalawgcopFCCcaNKqAxxvfLFSoxkqlRPzvCyrKRnBzmArQKlE",4,2,2649,1,1,0,1,0,0,0,0,0,4,3,0,0,0,0, 172
"[102]vfqLcppugBaJEwmmkJSxSdyGllNrdCKjzKRbgnHsfMuFnQNPafwagAMEfEcAEdaHRLavwGHQENJhSFcgaCslppMSmIMjKrrNlpvIPK",362.039,4,2749,0.9,10,0,9,1,0,0,0,0,6,6,0,0,4,3, 173
"[80]KGqtghniwLzFNBLLHatSINiaNcGxmSOdCHFPlwoSrFugEPBvtnPOEDAOwRauGLCjAsDjIkgacNQDuPoy",4,2,2620,1,1,0,1,0,0,0,0,0,0,0,3,1,0,0, 174
"[85]bFzfgodSmnyHRKlNJGHCSqpnznekkBjPLcgDusnxdGaktNjlLlOPtolHBrazRRvJqbCHihhpyKfaIjrjtPznP",724.077,1,2914,0.909091,11,0,10,1,0,0,0,0,6,6,5,4,0,0, 175
"[95]SFmQsPneiurinBiEGluleEKODytBAownwrufowwHAsMKEHPDNJRGHqCrMkoivAKtIlzMraxsjrHHolQdjOPqLPnkhRBILHq",7.73713e+25,2.30584e+18,8770,0.794286,175,36,139,36,36,0,36,36,51,51,88,52,36,36, 176
"[76]wQmurewcHSLHNGvuPIPKHNJHSLCBfgqMilFKSouDnGIqdPHOcyfNaMekbGlphlBDmSSROIPRhoms",5.44452e+39,5.90296e+20,12697,0.777027,296,66,230,66,66,0,66,66,83,83,66,66,147,81, 177
"[94]tiBlnhzFHOLhnGHNJmCDuIoazcvyQEGrbBejOGDtuPokPtHteqilAiHPCwSaQrRMhzODqSOyQbqasCDGirQISGaRAJrhHa",2896.31,1,2882,0.923077,13,0,12,1,0,0,0,0,5,5,0,0,8,7, 178
