"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","repro_updates","seed"
"1",0,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",4,1,97,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"True",1502,1
"2",1,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",32,1,97,4,0,4,0,0,0,0,0,4,4,0,0,0,0,"True",1501,1
"3",2,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",4,1,97,1,0,1,0,0,0,0,0,0,0,1,1,0,0,"True",1502,1
"4",3,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",4,1,97,1,0,1,0,0,0,0,0,0,0,1,1,0,0,"True",1502,1
"5",4,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",16,1,97,3,0,3,0,0,0,0,0,2,2,1,1,0,0,"True",1500,1
"6",5,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",16,1,97,3,0,3,0,0,0,0,0,3,3,0,0,0,0,"True",1500,1
"7",6,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",8,1,97,2,0,2,0,0,0,0,0,2,2,0,0,0,0,"True",1503,1
"8",7,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",1,0,97,1,298,0,299,0,0,0,0,298,0,1,0,0,0,"True",1504,1
"9",8,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",1,0,97,1,298,0,299,0,0,0,0,298,0,1,0,0,0,"True",1504,1
"10",9,"[97]uvcjqhnnKJskPvaiEcfbABGhEofQnFwijdohaIIQHMbHmafwpqIQuosbDwkacigueHzOKtHGoJqfAxirxwDnwwrxMCEJAePBv",4,1,97,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"True",1502,1
