"","X","depth","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","frac","lineage_classification"
"4",4,0,"Learning",16,0.995198848125,1.47105942861603e+28,"Learning",0.08,"Small"
"10",10,50,"Learning",4,1,4.92814937293818e+28,"Learning",0.08,"Small"
"15",15,100,"Learning",6,0.99184321,1.98552390794241e+28,"Learning",0.12,"Small"
"19",19,150,"Learning",13,0.998461777692308,1.83116963658188e+28,"Learning",0.26,"Small"
"23",23,200,"Learning",16,0.998960610625,2.28143071408641e+28,"Learning",0.32,"Small"
"27",27,250,"Learning",16,0.99802725875,1.26966314332418e+28,"Learning",0.32,"Bet-hedged learning"
"31",31,251,"Learning",11,0.99436906,5.63776510459109e+23,"Learning",0.22,"Bet-hedged learning"
"34",34,252,"Learning",11,0.994017759090909,1.85731290530048e+27,"Learning",0.22,"Bet-hedged learning"
"37",37,253,"Learning",18,0.996862647222222,7.6536727072666e+27,"Learning",0.36,"Bet-hedged learning"
"41",41,254,"Learning",11,1,1.09381804246775e+28,"Learning",0.22,"Bet-hedged learning"
"45",45,255,"Learning",16,0.997580794375,2.54857149075985e+28,"Learning",0.32,"Bet-hedged learning"
"49",49,256,"Learning",9,0.993842167777778,4.00079210340261e+28,"Learning",0.18,"Bet-hedged learning"
"52",52,257,"Learning",12,0.993504105,2.60978147383511e+28,"Learning",0.24,"Bet-hedged learning"
"56",56,258,"Learning",19,0.998176438947368,6.63415270223691e+27,"Learning",0.38,"Bet-hedged learning"
"60",60,259,"Learning",15,0.999140390666667,1.23962296054884e+28,"Learning",0.3,"Bet-hedged learning"
"63",63,260,"Learning",15,0.998434436666667,1.60537254727593e+28,"Learning",0.3,"Bet-hedged learning"
"68",68,261,"Learning",15,0.999545299333333,2.01890871883051e+27,"Learning",0.3,"Bet-hedged learning"
"72",72,262,"Learning",9,0.999298812222222,1.23668487916791e+28,"Learning",0.18,"Bet-hedged learning"
"74",74,263,"Learning",16,0.99241855,6.65485815062156e+27,"Learning",0.32,"Bet-hedged learning"
"77",77,264,"Learning",21,0.996581867619048,2.27347350155326e+28,"Learning",0.42,"Bet-hedged learning"
"80",80,265,"Learning",19,0.998755526842105,7.50637086695406e+27,"Learning",0.38,"Bet-hedged learning"
"83",83,266,"Learning",10,0.999168751,1.5867342672165e+28,"Learning",0.2,"Bet-hedged learning"
"87",87,267,"Learning",10,0.98866805,6.94947709792886e+25,"Learning",0.2,"Bet-hedged learning"
"91",91,268,"Learning",12,0.999492434166667,2.23397173746939e+28,"Learning",0.24,"Bet-hedged learning"
"96",96,269,"Learning",13,0.992992984615385,4.7578051560931e+26,"Learning",0.26,"Bet-hedged learning"
"99",99,270,"Learning",19,0.993912610526316,1.96603783106422e+28,"Learning",0.38,"Bet-hedged learning"
"102",102,271,"Learning",17,0.992743123529412,1.47962551234877e+28,"Learning",0.34,"Bet-hedged learning"
