"","X","depth","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","frac","lineage_classification"
"4",4,0,"Learning",16,0.995198848125,1.47105942861603e+28,"Learning",0.08,"Small"
"9",9,50,"Learning",3,1,5.45636372412328e+27,"Learning",0.06,"Small"
"15",15,100,"Learning",2,0.97554356,5.34632894895e+28,"Learning",0.04,"Small"
"18",18,150,"Learning",5,0.979183554,2.26025245441952e+28,"Learning",0.1,"Mixed bet hedging"
"21",21,200,"Learning",1,0.996958,1.122218087e+29,"Learning",0.02,"Error correction"
"25",25,250,"Learning",4,0.9569672275,2.15024123906171e+27,"Learning",0.08,"Error correction"
"29",29,300,"Learning",6,0.975139233333333,2.09066225375332e+28,"Learning",0.12,"Error correction"
"33",33,350,"Learning",9,0.994889121111111,5.06781284070852e+28,"Learning",0.18,"Error correction"
"36",36,400,"Learning",6,0.99076734,7.46777602338112e+28,"Learning",0.146341463414634,"Error correction"
"40",40,450,"Learning",5,0.978028872,7.68880551353253e+28,"Learning",0.116279069767442,"Error correction"
"43",43,500,"Learning",16,0.989540173125,4.8568970593463e+28,"Learning",0.340425531914894,"Error correction"
"45",45,501,"Learning",17,0.9919842,6.76886584956413e+28,"Learning",0.369565217391304,"Error correction"
"49",49,502,"Learning",19,0.989518401052632,7.01791906481642e+28,"Learning",0.395833333333333,"Error correction"
"53",53,503,"Learning",11,0.989158892727273,4.02017194265869e+28,"Learning",0.239130434782609,"Error correction"
"55",55,504,"Learning",17,0.990644957647059,5.97234191690753e+28,"Learning",0.361702127659574,"Error correction"
"60",60,505,"Learning",15,0.982471365333333,6.18744028603865e+28,"Learning",0.333333333333333,"Error correction"
"64",64,506,"Learning",15,0.989685078,3.96132457531834e+28,"Learning",0.306122448979592,"Error correction"
"66",66,507,"Learning",14,0.982235743571429,7.42642136516057e+28,"Learning",0.297872340425532,"Error correction"
"70",70,508,"Learning",17,0.992066392941176,7.26567301046925e+28,"Learning",0.386363636363636,"Error correction"
"74",74,509,"Learning",13,0.994830552307692,8.20602062511481e+28,"Learning",0.26530612244898,"Error correction"
"78",78,510,"Learning",16,0.977117941875,6.56217354517778e+28,"Learning",0.355555555555556,"Error correction"
"82",82,511,"Learning",17,0.983830544705882,8.9994684023846e+28,"Learning",0.346938775510204,"Error correction"
"86",86,512,"Learning",16,0.97890240625,8.0911368928529e+28,"Learning",0.333333333333333,"Error correction"
"89",89,513,"Learning",15,0.990941458,6.42762877163143e+28,"Learning",0.306122448979592,"Error correction"
"92",92,514,"Learning",14,0.98525171,7.35281561291453e+28,"Learning",0.291666666666667,"Error correction"
"96",96,515,"Learning",11,0.995110868181818,8.15931195566616e+28,"Learning",0.234042553191489,"Error correction"
"100",100,516,"Learning",14,0.989949183571429,6.60152678012028e+28,"Learning",0.318181818181818,"Error correction"
"104",104,517,"Learning",18,0.982080450555556,7.01218886428167e+28,"Learning",0.391304347826087,"Error correction"
"107",107,518,"Learning",15,0.991910582,8.41732967097441e+28,"Learning",0.333333333333333,"Error correction"
"110",110,519,"Learning",15,0.986551446,5.81333468625677e+28,"Learning",0.340909090909091,"Error correction"
"115",115,520,"Learning",10,0.986987209,6.36375997375706e+28,"Learning",0.227272727272727,"Error correction"
"120",120,521,"Learning",13,0.988560371538462,7.202647756383e+28,"Learning",0.317073170731707,"Error correction"
"123",123,522,"Learning",14,0.979106040714286,4.36417924442347e+28,"Learning",0.325581395348837,"Error correction"
"126",126,523,"Learning",13,0.980231347692308,6.55331184698914e+28,"Learning",0.302325581395349,"Error correction"
"130",130,524,"Learning",20,0.986203171,7.06178621633491e+28,"Learning",0.434782608695652,"Error correction"
