genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[110]nbkcvJHOLhSHRqMIPEcMKHzeRqPyQcBFfScDtxndGILqyjycahSQjLxEqBPEEjbpSGPnJrmtKAolLuIjDIQyxykBskSMuoLLIqettKEJKJGKop",7.41069e+78,1.32923e+36,5422,0.77131,481,110,371,110,110,0,110,110,157,157,110,110,214,104, 116
"[91]CRLlaHNSqzcjtzzzHRBNJhRzAvnwiRHnFaPGRqSKChIztKkyayxoqGjIEtbAviyGihLArQvCALhcRqBqokfBbpHlPfa",3.6185e+75,1.4615e+48,12957,1,250,0,250,0,0,0,0,0,125,125,60,60,65,65, 117
"[43]EQoHRLHPIbdnKngABvHcfoKSnGsbJPKfQdxHRQCxLzP",1.70141e+38,2.02824e+31,5291,0.870588,170,22,148,22,22,0,22,22,89,89,30,30,51,29, 118
"[216]cvnMmAGshpxOSmddFbDCrdvnNrvyjznEOuHNJHNCLOHOqPIprinpdiBBaHQlomcEddRKSScvFctkPGAOCFqSfxhxbJuxRooDjnbcbeLFaeLNqEOxkARJSzwoketiGNyBJDHmhuxKRMiMouIahSpFSFbELNinMdCaFmoDLoFfmFwLCrBnOzaQsGyEupAJopPSGvLsspsomCliRqlzkxtDuqmq",2.03704e+90,2.03704e+90,8428,0.75793,599,145,454,145,145,0,849,849,1170,1170,848,848,1694,845, 119
"[115]mRLHNJHocoqKBHqbKrCrgIkImpRFJjmBkwlsxovKSFAmpLztmLyPKOrqdgytdcFxbcQpBNsNyKlnIbrCygCFadGQtQkKaBFAycdLvHMzGKNwwkOfhDi",2.03704e+90,4.85667e+83,7631,1,440,0,440,0,0,0,0,0,188,188,127,127,125,125, 12
"[102]GQnStoJHNqlfnpLanKwHgQaHzcQJHNqnKqtcafNJfgxPPHCbNeNyouHcoKHPIHnCQLipfEytCdpcjnmfDadEBixcnapCnzqafdMLNf",2.03704e+90,2.42834e+83,7931,0.996721,305,1,304,1,1,0,5,5,688,688,410,405,380,380, 120
"[91]nyEsfvMaLcaHOaPPIOnQCMKROHMKBtoGosHBxcSEoJvcHPIHcmCMJqeiBstbsGejLikyNEiKOrrHMLfmqkGhnsfImts",1.49658e+51,1.29807e+33,5148,0.850622,241,36,205,36,36,0,77,77,274,274,105,99,170,98, 121
"[109]NJcDuSDPmdALduloaAhfmeaPBPhftCDCEKsiMvvffksHkiItlIxOkxfzeqvOngzJOdjzPdzdvAEHrHwcMbFQdopRgRKSaNydAQDImOeLHaHOA",6.12998e+54,8.50706e+37,6298,0.781931,321,69,251,70,69,0,69,69,129,129,123,53,69,69, 122
"[102]QbJHDeNcQeDnFDfEqRkssSKHPDSjqgsqwuyrtFtiILqzqyIHDzQonicALNrgtLLJKLpNRDmMxEsAzJLrMkRkbFRrnnpARqIkEvERyC",9.80797e+55,5.57519e+42,9711,0.809365,299,57,242,57,57,0,57,57,119,119,123,66,57,57, 123
"[101]PbbyeMimMJHfRcDPRkBHvdlSszcOSlbtOKFmcHjMJHcyqwHtBhdBfNbbQwyodGaNeSzedzFIlwgQozhQeebbefaacfIggscmnLjpv",2.59615e+33,1.26765e+30,3329,0.835366,164,27,137,27,27,0,276,276,931,883,290,260,467,259, 124
"[235]jaHsOLoyoJNFHSaoafzeMIvHPazOKRqvdqLRpkrCGIIgiuzBRqiAJDrDAdcrGNwElRtkhuvdHIEggLeNsQvJIdKxHoPrIgLeKhtlrtvANnEaEbfAmirsHLhBIDchOBzBbRmawPJEvgEzJwzmGpiQJqfMIkPfgkptiIzcROIumJQmOxywAtrwDaEfygJzPGstbJdkeRAkrJMOGqJsDRvJIROHBipINJdMIPExerNJReG",2.03704e+90,2.26156e+74,13355,0.771721,587,134,453,134,134,0,134,134,177,177,184,143,226,133, 125
"[34]cSGBbpeacbdeDKkvOLHNJHqbQcbbcddbcf",2.31584e+77,7.06739e+72,8193,1,256,0,256,0,0,0,0,0,250,250,123,123,124,124, 126
"[198]AhxljjFNlRbgNMGwzlibzzopGSkEstHMKogHcHNJAiNyegqleMeILHqGAzNIRBzDnrkhaSSNigqxNsloolcpPGOOnfltFAmspAtLjfFzDnDizpgbyzgDJkaKthRhAytKbpwGgsalRrosaoBPfRrSMqflowENzmpyOIghHfODSKipnPkhvahzHAHsieQifBCEjGLfpS",2.03704e+90,2.03704e+90,6609,0.750746,670,166,503,167,166,0,468,468,634,634,935,464,470,468, 127
"[101]OcHcQjlepjBiczSHdnEcbaKQgpxcSEFbdnAJtDhESCFxFwIGNPuQduDlgqGBanKENubwHPqaRLMocHRujcPFoxHOLJRHDcoadMxyG",3.43597e+10,131073,4638,1,34,0,34,0,0,0,0,0,39,38,8,8,7,6, 128
