"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","seed"
"1",0,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",1.5625,0.666667,93,3,0,2,1,0,0,0,0,1,1,2,1,0,0,"True",1
"2",1,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",1.25,0.5,93,2,0,1,1,0,0,0,0,1,1,1,0,0,0,"True",1
"3",2,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",1.25,0.5,93,2,0,1,1,0,0,0,0,1,1,1,0,0,0,"True",1
"4",3,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",1.25,0.5,93,2,0,1,1,0,0,0,0,1,1,1,0,0,0,"True",1
"5",4,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",1,0,93,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"True",1
"6",5,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",1.95312,0.75,93,4,0,3,1,0,0,0,0,2,2,2,1,0,0,"True",1
"7",6,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",1.25,0.5,93,2,0,1,1,0,0,0,0,1,1,1,0,0,0,"True",1
"8",7,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",1,0,93,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"True",1
"9",8,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",1,0,93,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"True",1
"10",9,"[93]NHRKGNJqPrFijukRPHECgSlkxgHfexLpvftEmvvDENCcGHxBtfMbSbLewNHsexLzMPuHEfNmoLAEtPSwOtlqIgICooErR",5.96046,0.888889,93,9,0,8,1,0,0,0,0,5,5,4,3,0,0,"True",1
