"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","seed"
"1",0,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",4.76837,0.875,75,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"2",1,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",4.76837,0.875,75,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"3",2,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",3.8147,0.857143,75,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"4",3,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",9.31323,0.909091,75,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"5",4,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",3.8147,0.857143,75,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"6",5,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",2.44141,0.8,75,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"7",6,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",3.8147,0.857143,75,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"8",7,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",2.44141,0.8,75,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"9",8,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",3.8147,0.857143,75,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"10",9,"[75]juGDGhoJHncoCKbnCzdDfxdFisntpJguIcfcahqihzkwaDIqproICjbGlGjvvvBLCqIkAbLiChH",4.76837,0.875,75,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
