"depth","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"411","6",100,0.85003334,0.87931,0.826087,55014797006640234496,1.07022e+21,57149400000,8.60729e+14,228.07,312,146,34.52,51,18,193.53,264,128,34.54,51,18,34.52,51,18,0,0,0,96,"Error correction","Error correction"
"412","6",100,0.85209591,0.88,0.821818,52570488634262241280,2.09027e+21,57149400000,1.584945e+14,217.18,314,150,32.4,52,18,184.78,266,132,32.4,52,18,32.4,52,18,0,0,0,96,"Error correction","Error correction"
"413","6",100,0.84955615,0.880435,0.817518,3.02319358781243e+21,2.83285e+23,29260500000,3.43955e+14,223.89,331,145,33.92,51,19,189.96,286,126,33.93,51,19,33.92,51,19,0,0,0,96,"Error correction","Error correction"
"414","6",100,0.85029545,0.879121,0.816609,4.43650140484168e+20,1.94672e+22,29260500000,1.04967e+15,229.4,321,151,34.68,53,20,194.72,275,129,34.68,53,20,34.68,53,20,0,0,0,96,"Error correction","Error correction"
"415","6",100,0.84910492,0.88125,0.813869,2.58183584193917e+20,9.96719e+21,89295900000,9.447025e+14,230.75,318,150,35.08,51,19,195.64,272,131,35.11,52,19,35.08,51,19,0,0,0,96,"Error correction","Error correction"
"416","6",100,0.84790403,0.876471,0.817857,27126716148064100352,1.07022e+21,1.1162e+11,2.883e+15,227.02,307,155,34.77,51,20,192.23,260,135,34.79,51,20,34.77,51,20,0,0,0,96,"Error correction","Error correction"
"417","6",100,0.84924492,0.878571,0.824138,1.21641122872568e+20,9.96719e+21,23408400000,1.04967e+15,225.89,316,140,34.39,51,17,191.47,271,123,34.42,51,17,34.39,51,17,0,0,0,96,"Error correction","Error correction"
"418","6",100,0.84835254,0.880795,0.819923,1.06195815407755e+20,4.08256e+21,57149400000,1.04967e+15,223.91,314,148,34.19,50,18,189.7,268,129,34.21,50,18,34.19,50,18,0,0,0,97,"Error correction","Error correction"
"419","6",100,0.85369702,0.877778,0.823293,7.3366223676863e+20,5.94091e+22,29260500000,6.348395e+14,225.05,324,145,33.31,51,18,191.72,279,126,33.33,51,18,33.31,51,18,0,0,0,97,"Error correction","Error correction"
"420","6",100,0.84896515,0.877119,0.823944,3.63762244001316e+20,3.04175e+22,45719500000,1.34489e+15,228.24,321,149,34.73,51,19,193.49,276,130,34.75,51,19,34.73,51,19,0,0,0,97,"Error correction","Error correction"
"421","6",100,0.85082658,0.886486,0.815972,28197169470510891008,1.33777e+21,57149400000,1.18088e+15,222.37,307,147,33.51,53,18,188.83,260,129,33.54,53,18,33.51,53,18,0,0,0,97,"Error correction","Error correction"
"422","6",100,0.85072198,0.881119,0.821012,11473420119501877248,2.80552e+20,36575600000,1.584945e+14,215.85,308,142,32.58,51,17,183.26,259,125,32.59,51,17,32.58,51,17,0,0,0,97,"Error correction","Error correction"
"423","6",100,0.84978536,0.876623,0.824742,1.67852627852825e+20,1.55737e+22,7.45058,1.18088e+15,224.02,320,12,33.88,51,2,190.14,274,10,33.88,51,2,33.88,51,2,0,0,0,97,"Bet-hedged error correction","Bet-hedged error correction"
"424","6",100,0.84959618,0.895062,0.820069,64141896049962303488,3.26605e+21,18726700000,7.557615e+14,223.96,315,139,33.96,52,17,190,268,122,33.96,52,17,33.96,52,17,0,0,0,97,"Error correction","Error correction"
"425","6",100,0.85091655,0.878613,0.819788,2.76167495456993e+20,2.4334e+22,57149400000,3.869495e+14,223.95,320,151,33.79,51,19,190.16,275,131,33.79,51,19,33.79,51,19,0,0,0,97,"Error correction","Error correction"
"426","6",100,0.85089319,0.879464,0.827411,5254212912200127488,1.43642e+20,71436700000,5.50866e+14,217.07,301,147,32.58,49,18,184.48,254,129,32.59,49,18,32.58,49,18,0,0,0,98,"Error correction","Error correction"
"427","6",100,0.8510072,0.88,0.820423,1.80352971510514e+20,1.55737e+22,57149400000,9.24198e+13,216.98,316,146,32.63,51,18,184.34,272,128,32.64,51,18,32.63,51,18,0,0,0,98,"Error correction","Error correction"
"428","6",100,0.84820615,0.877095,0.822835,27977258702499553280,1.33777e+21,29260500000,2.3064e+15,227.16,308,143,34.79,50,18,192.35,262,125,34.81,50,18,34.79,50,18,0,0,0,98,"Error correction","Error correction"
"429","6",100,0.85058724,0.877907,0.820144,1.3086845151883e+19,2.80552e+20,57149400000,1.76105e+14,217.86,302,148,32.89,50,19,184.95,256,129,32.91,50,19,32.89,50,19,0,0,0,98,"Error correction","Error correction"
"430","6",100,0.84944586,0.878571,0.828671,29639460261062311936,8.56176e+20,23408400000,3.095595e+14,222.85,304,140,33.91,49,17,188.93,259,123,33.92,49,17,33.91,49,17,0,0,0,98,"Error correction","Error correction"
