"","trial_number","genome","merit","genome_length","merit.1","merit_given","not","nand","and","ornot","andnot","or","nor","xor","equ","did_repro","seed"
"1",1,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"2",2,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"3",3,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"4",4,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",5,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"6",6,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"7",7,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"8",8,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"9",9,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"10",10,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"11",11,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"12",12,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"13",13,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"14",14,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"15",15,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"16",16,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"17",17,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"18",18,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"19",19,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"20",20,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
"21",21,"[48]rhzmvpuedgwdefqqogupnihftnipqvttphtqtttttymosvab",1,48,1,1,0,0,0,0,0,0,0,0,0,0,1
