"","id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","genome","genome_length"
"943",4846845,"4846838",249945,Inf,8,15,3,5,2256,"[122]phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadvxLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqvQHsMROfqPDrLDzqrKD","phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadvxLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqvQHsMROfqPDrLDzqrKD","122"
"1182",4841134,"4841133",249615,Inf,8,25,5,27,2402,"[121]psQzmBsxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHNGqzMKCiNDPmhSlelBaznouohAScbmvmamwAiHdNLuBehDpNfMaPJRckNMzryyCamuqLwmqEEuDyzQPbM","psQzmBsxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHNGqzMKCiNDPmhSlelBaznouohAScbmvmamwAiHdNLuBehDpNfMaPJRckNMzryyCamuqLwmqEEuDyzQPbM","121"
"845",4846838,"4846786",249945,Inf,3,5,2,7,2255,"[122]phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadvxLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqgQHsMROfqPDrLDzqrKD","phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadvxLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqgQHsMROfqPDrLDzqrKD","122"
"2188",4846786,"4846777",249942,Inf,1,6,1,8,2254,"[122]phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSxLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqgQHsMROfqPDrLDzqrKD","phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSxLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqgQHsMROfqPDrLDzqrKD","122"
"4396",4846777,"4846317",249941,249947,0,2,2,10,2253,"[122]phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqgQHsMROfqPDrLDzqrKD","phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqgQHsMROfqPDrLDzqrKD","122"
"345",4846317,"4846225",249916,Inf,1,5,1,10,2252,"[122]phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqgQHLMROfqPDrLDzqrKD","phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGRQvKQHpkHOtxdtOqnGwgExjwxqgQHLMROfqPDrLDzqrKD","122"
"3597",4846225,"4846223",249910,249925,0,6,2,13,2251,"[122]phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGIQvKQHpkHOtxdtOqnGwgExjwxqgQHLMROfqPDrLDzqrKD","phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGIQvKQHpkHOtxdtOqnGwgExjwxqgQHLMROfqPDrLDzqrKD","122"
"8458",4846223,"4845459",249910,249911,0,2,1,13,2250,"[122]phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGIQvKQHpkHOtxdtOqnGwgExjwxqgQHLMROfqPerLDzqrKD","phmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGIQvKQHpkHOtxdtOqnGwgExjwxqgQHLMROfqPerLDzqrKD","122"
"2591",4845459,"4845454",249866,249945,0,7,2,21,2249,"[122]plmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGIQpKQHpkHOtxdtOqnGwgExjwxqgQHLMROfqPerLDzqrKD","plmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGIQpKQHpkHOtxdtOqnGwgExjwxqgQHLMROfqPerLDzqrKD","122"
"2550",4845454,"4833662",249866,249910,0,1,1,21,2248,"[122]plmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGIQpKQHpkHOuxdtOqnGwgExjwxqgQHLMROfqPerLDzqrKD","plmlEBbAxNJHBocJHcRBoajMLHqNcCKjacHqKHqKHqGykqkrQvLHkadSDLDHKtmtlexqazcOvElGGIQpKQHpkHOuxdtOqnGwgExjwxqgQHLMROfqPerLDzqrKD","122"
