"depth","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"0","15",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"1","15",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"2","15",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"3","15",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"4","15",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"5","15",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,"Small","Small"
"6","15",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,"Small","Small"
"7","15",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,"Small","Small"
"8","15",100,0.475,0.8,0,1,1,1,1,2.55,5,1,14.45,16,12,1.55,4,0,15.45,17,13,0,0,0,0,0,0,101,"Small","Small"
"9","15",100,0.512,0.8,0,1,1,1,1,2.84,5,1,31.16,33,29,1.84,4,0,32.16,34,30,0,0,0,0,0,0,101,"Small","Small"
"10","15",100,0.28333324,0.666667,0,1,1,1,1,2.32,3,1,45.68,47,45,0.85,2,0,31.15,32,30,15.81,16,15,0.19,1,0,101,"Small","Small"
"11","15",100,0.1725,0.75,0,1,1,1,1,1.69,4,1,70.31,71,68,0.69,3,0,53.31,54,51,17.77,18,17,0.23,1,0,101,"Small","Small"
"12","15",100,0.195,0.75,0,1,1,1,1,1.78,4,1,69.22,70,67,0.78,3,0,53.22,54,51,16.74,17,16,0.26,1,0,101,"Small","Small"
"13","15",100,0.1725,0.75,0,1,1,1,1,1.69,4,1,69.31,70,67,0.69,3,0,53.31,54,51,16.77,17,16,0.23,1,0,102,"Small","Small"
"14","15",100,0.1425,0.75,0,1,1,1,1,1.57,4,1,69.43,70,67,0.57,3,0,53.43,54,51,16.81,17,16,0.19,1,0,102,"Small","Small"
"15","15",100,0.225,0.75,0,1,1,1,1,1.9,4,1,70.1,71,68,0.9,3,0,53.1,54,51,17.7,18,17,0.3,1,0,102,"Small","Small"
"16","15",100,0.156,0.6,0,1,1,1,1,2.04,5,1,77.96,79,75,0.78,3,0,47.22,48,45,31.74,32,31,0.26,1,0,102,"Small","Small"
"17","15",100,0.21,0.6,0,1,1,1,1,2.4,5,1,77.6,79,75,1.05,3,0,46.95,48,45,31.65,32,31,0.35,1,0,101,"Small","Small"
"18","15",100,0.156,0.6,0,1,1,1,1,2.04,5,1,85.96,87,83,0.78,3,0,53.22,54,51,33.74,34,33,0.26,1,0,101,"Small","Small"
"19","15",100,0.1725,0.75,0,1,1,1,1,1.69,4,1,74.31,75,72,0.69,3,0,56.31,57,54,18.77,19,18,0.23,1,0,100,"Small","Small"
"20","15",100,0.1725,0.75,0,1,1,1,1,1.69,4,1,70.31,71,68,0.69,3,0,53.31,54,51,17.77,18,17,0.23,1,0,100,"Small","Small"
"21","15",100,0.168,0.6,0,1,1,1,1,2.12,5,1,82.88,84,80,0.84,3,0,50.16,51,48,33.72,34,33,0.28,1,0,100,"Small","Small"
"22","15",100,0.132,0.6,0,1,1,1,1,1.88,5,1,83.12,84,80,0.66,3,0,50.34,51,48,33.78,34,33,0.22,1,0,100,"Small","Small"
