genome,merit,merit_given,gen, seed
"[80]seHiIvEuGhLoHqcCEaGnmJKGdzBeueostdsvujwriJECILGADtjAtoGigzaGHyFGmivLAnwovjahnpHw",32,33,2972, 1
"[45]ccvaglhkaGHLmLcoIjydocHCkBKFxzwnrEvGiAkripcxo",32,8,2841, 10
"[58]vxpwvpiwvkaEkezEipIiDqjpECvjwbfcHjirLLHvonnhibyinpiLAyIGoH",32,5,2988, 100
"[49]tdhaLzcGztLcjHGFAlLBymcFoKHLBybhdzofuvoIjLiEocBcr",128,64,3256, 1000
"[105]iGfEzmAdxiGujygtwcoeoEuDCvxxeHwJzxlvzcbabBajhtLgAoLcmtDHEGdIeHhdyDqdcaqAhpweEwrKHcogHFvckLoHaJyovlGCInLef",2048,16,2769, 101
"[106]qAdHzALytLIaDAFHLaoqggkFAuumihydkuEKuEnaHLoCLGJCpsmyxKjyBhCFFynbHyykszCEKxntabtaGoebDnquAcffoacKszmHkdgGtg",2048,257,2893, 102
"[91]FvtpbEHzhGeLcrvmuuadecAcbeloIrEwmEerihFfrcaGqkvEBxmqmxbuyykjkEhjjbhtcELBEfBadwKnoGHrBiewBuG",32,5,646, 103
"[80]BHIzwFjsGhldLqilHqAdvhLyIblwCirvroecjEHtdwuaahewiBizbbBIfjKAniEibCutxzkyhasAAnFr",32,5,2979, 104
"[56]hlmedcdkGepqxcFHhLEnEvjaDkGfFFfqgJmzByowiiwzsFoemELIEoHw",32,8,3018, 105
"[52]ppfyswdHxixksElsEGlarEGLvvIvoHDHjjkACLjJAvbvmlknJisa",32,9,2919, 106
"[62]lLHgeLsIHaoBdtahczcuudwvABoIltEodbopKkGemctwyFaoBqcuwHodAJmHov",65536,1025,3035, 107
"[78]eHyzLutmvcCIrwFsLyucxanzkdubcBjaqhzfmGvhbcKjzFcinqkAbdKEurdyFiaLolLlnmcnIGoiFi",32,4,2933, 108
"[49]imxitbgEhGcpopFFBAEHnpgrFFvFgslzhvrlrFzfuLIaoHsay",32,17,3002, 109
"[74]eLHrGaonefxdlasidwffnIipyEnweocvAGbLcoKilqoccKhHhupxGwJHBBcEqnEutrvnlwvhsa",2048,65,2232, 11
"[67]dfcpbrhpdsxHsFEcldkeIhkpkwakHdeLcpGocqGsojKuFfofhHAtiGgqHhJkfhLtubx",256,65,2512, 110
"[80]frotLygLBsAgavuaHIsHyLnKbopCIKIogzwLGAqmvoDgIDEkbIsksrFavjJkglImagoitGqJBxaoDBEK",256,129,2977, 111
"[66]GHzGhplhtaynLjixyhBxlLyycAbLIEvHLyFoCovzmKzHmHzlhnrztExipnbJscGCwx",64,32,2966, 112
"[96]zloJHLcCHHFoEskcDwwntDzLzJjfgqeEDyvxaElnqlJIvCnzdhhemBEtAyoDfajuufoucAimndfzkeAIyegypJLyBHnKnsGL",2048,1,1875, 113
"[93]niajrHaoFeLsplcplyolLwlgtwLIoBcrwahwcHBCBIJChkcxdGgcqBgcxspJtlGwfFLcoKqbCwmCBfgblCJsqxLrsjrCc",64,65,1163, 114
"[83]nrLcbmeowoKfhoDcbmszsLwdaHItHmezsIdHfpkEcuAliLAGGBhoCojLnCbmywgyLGyaFklotikhFErLzvB",64,65,1783, 115
"[69]upiaAssoLimytnhczfDwfwvHIzdmofktmhlwdtLGbFoIxDGEuHpJGEneLgdyxmoDKciBc",2048,256,2823, 116
"[43]xLhcdzLaEoHaeLyDwzoExrKdIDcDaKidAdpGsmlxxGH",32,4,2916, 117
"[46]bLvGBamiqLcoKihHmeAsfflbuBhvhibzmbdxgIiszbxdlH",64,16,3105, 118
"[88]jynmfhbdwAnclGrsgLofygugiwEexFbuiHjnDEljFtKEFggKErJvAwuhBsDEejeeLcbFyLayIdocHzuAkcfiwzFo",64,65,627, 119
"[96]sveCGmEbjCApKgFHDIppjruGqywDlxFtqBsebuvAjmmgKgqpctkGBEHEBhwnAtekogAHGLhlcnIChdzEpbJAwotplcLcnhsI",32,9,2938, 12
"[88]joHnnsbnuxFHlpknybzaGGdEBdahtfeBEDkqAAhzirLacAFHaJGBztHICsutGjgGkhugbGedrntzkLrIvFraAiza",32,16,1064, 120
