genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[94]ocfkChldjHFFDFpJGInhtecfsqAavLvfJGBEDiKpwBxmgoplgLaDaxaDHhIdlctFipbitjfiwHsBocJHGCzmslDGzdLbjv",3.05176,1.5625,2449,1,4,0,4,0,0,0,0,0,5,5,0,0,0,0, 118
"[79]pbnlosjcivwnJKdErDFDGGodcaacgopuosognLHDKgpLftJDKADedLhoJHqaGioffwIKokHCEfGhhsL",1,1.05989e+18,2803,0.5,2,156,1,105,52,0,8.00699e+06,8.00699e+06,102654,102654,8.10964e+06,25594,8.10964e+06,0, 119
"[105]JFjrJJxcJKpkGDsLGugshhnHzshJpDAgmKLHJLKrnHJLaJJJxBJtHJKJuGqBAraBvKjcGcJoDlJBFtFCtdgcpbmzrakmvfjrJdiChzADo",1972.15,1972.15,3702,1,33,0,33,0,0,0,0,0,72,49,24,14,16,8, 12
"[99]CEisKDafFcLHDdoInddEarigHGoDqbJCdcpgkCjGCthxCyFijbczBDALjDAcpIqAfzatosipngjoetrjnBCpEtFoEKjxIHiiqqA",3.11151e+06,171057,2755,0.875,88,11,77,11,11,0,11,11,47,47,28,18,13,12, 120
"[97]ejgpLGHoJqrCwiKcdfpmifILqrJxmahBykLxkbAbIIgjinDIcIawBedpxjrEzpjwmkzdeHwHhtfLquIkhGwFIFiwiiLbqHxqp",3.05176,1.95312,2526,1,4,0,4,0,0,0,0,0,4,4,0,0,0,0, 121
"[117]vgGnCJyzHqcxJijrKAGigoBguHdktFnrGuhjAchEoHFlmElkzkocDasJBcrwxozdLxFdoHeAqbontLCuiKjLrgchIwutdllgxlErssGCqyhbAeyvnuvlL",11.6415,11.6415,2479,1,10,0,10,0,0,0,0,0,199,107,23,23,42,22, 122
"[97]gtHGBrocJCAEurmckjvBjjknnwcJKEljzJvyChDjcEIGhFHgFoniIgLIDrbJbswulyBtlfbqlfHGwcgwEehaapcBAkndfAhpL",3.05176,2.44141,2567,1,4,0,4,0,0,0,0,0,9,9,0,0,0,0, 123
"[94]DoeeuofyLEDgnLCEyuLEJDInwijoytkdfeAfiihiHcobLHcFoxcCuonkefsqButiltJoGIwloacfFxIGxDafijIiCcbKbp",1,7.21326e+13,1352,0,1,29,0,23,7,0,5.72616e+08,5.72616e+08,5.72616e+08,0,5.62744e+08,0,5.72616e+08,0, 124
"[71]vcCgGvvFAGzsFulIaqbuzJudiuJLoAkmgHgLvzxophtuFwgiBmslKJDepJbydHcoKJoLwGq",4.76837,3.05176,2518,1,6,0,6,0,0,0,0,0,14,13,4,4,4,2, 125
"[103]oJvcDcAyDJhBpzCqzfreKCevpsLJjjyCJjkAnJExmcdCcGqdKAoCDHjlBLebJJboLCwuliCHyuHCoLErLpunmeDgnHEJxuAnKEcHblg",6018.53,6018.53,3418,1,38,0,38,0,0,0,0,0,351,38,33,12,24,8, 126
"[105]wmoJCbiFHboqlKoieBJLJLJAEGqxicLJyLLJBJhJKJnGkwKjfzJLxJynrzKnGgaFjFAEbBKbbpkeEocwHnrhnoJvaoqlbAajsohGpdfgk",35873.2,28698.6,3213,1,46,0,46,0,0,0,0,0,224,201,91,85,86,73, 127
"[77]rfoEJHGoqKJLtoJGHhhfqftFLqgtjIhBzKiqCLLwExwtAIvxKjKCeGeeErBooetAdKwodjJBbeAnm",28.4217,1,2946,1,14,0,14,0,0,0,0,0,9,9,2,2,3,3, 128
"[60]GpCvHBbnyoLJxGgBpcyuHHclFnxbqsskmErbiAGgFzzIsyctHrejtxxiiydK",22958.9,44841.6,4032,0.814286,70,13,57,13,13,0,427,427,546,116,427,37,20,14, 129
"[104]gowmxuvGhHlJqkJdfKqEnIcIvvneGCDjnukoHlzuyvssvKFLHujrKGazfKhuoCGhpDfImovpewKaDpEFnJBvjCEiHAsauayivoFapLai",3.8147,1,2502,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 13
"[84]ncahDisuDmGJHoClKuytHDFaoJHoluxFnLHpkJkgLJgpDpgBGCAerajimjsoIylsgehlvmhwnDzcIkqCioaw",28.4217,3.8147,2692,1,14,0,14,0,0,0,0,0,9,9,2,2,3,3, 130
"[87]vbqtkggIIukEHHdKKxjjBIdgElcJrJAChxEuaFpdjEDsiameyCyDuijjpiykxGLJgKmnfDpnsqmLzwIdCbuHoJG",3.05176,3.05176,2517,1,4,0,4,0,0,0,0,0,4,4,0,0,0,0, 131
"[82]rJCFjFbgBGhCzxpKwyrgeklJwJrbfzkogKJstobezuEiBFLwjjJLjzxsDClthJLaJloFLeLJJBJKnJyGCe",646.235,646.235,3476,0.966667,30,0,29,1,0,0,0,0,51,22,12,4,27,8, 132
"[102]vcqcpzwxKlBbntlIlfsjqeKgkljljbkktnkLAcBFlBfCnhivBbwCrKIrHxzsvGeAzHkwtDbiiuomwkltLfimcwBkFmAAueDmcoJGuH",3.05176,1.95312,2500,1,4,0,4,0,0,0,0,0,8,8,0,0,0,0, 133
