genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[66]gzuSHlrpRAItHLAQbFSLKnysjarHtncpklcbPsoEyxLmGMJNHSNJhDrPAmGEgvemQG",4.1943e+06,16384,2966,22,0,2, 128
"[97]MmombNAQHFmeLNkPrGwQejoMLMKbwbaBEyrtLoAONGwNpygoyAHfbzoDuzwGeNHjLezMLBcSJidBHRSyrubkcjgbzILFHRpBd",4.29497e+09,1.04858e+06,2630,32,0,3, 129
"[107]leORKHzkpRDNGDJDhryxjmvPILhcOreBRsFegaNfCPFwzRslscfFaHnvNHlgcLNmrOGSecPRRFCosfdvrPBDfsoIyMBNBDtlvlhOpygdlwj",2.09715e+06,64,2857,28,7,3, 13
"[46]ELSMExjbdnLvmxKMHoGLmgJySPjmpdkiMapFHBxIljokHA",2048,129,3137,11,0,1, 130
"[89]xueazrgLhLNePjRKfPkbgNQeHBlSMLoSxxPmefOcglcARfLIPSLgLNdiFcgcNMJQDyjbwgtfyjLSQEHvxMSEEasNf",1.51116e+23,8.38861e+06,1032,111,34,2, 131
"[89]ScolQduLKOkHCCbveeHnDSwgGGrmLLovLHNMKJCCzrBDRxtJdbkmRmkSLGzdRHEHtFMxaBsztHIecLBtLcGbocHPS",64,65,2834,6,0,1, 132
"[64]jMLLGlbzONHkrvrIuDdaEDvFIFqhuKOLpqalhcpGnPhLjHDKqJbKKpNLLNxdNJaK",32,5,2768,5,0,2, 133
"[62]wvuxjzwONHpBnenLLcAnbzopnKbycBnGpFweNmxgNcoaIxwNcHPCEcxMciljBa",256,17,3281,9,1,2, 134
"[58]xFDbtFHLFQkGGaIxokAvRlgpPFlpOsHLStGSKHLJaiJqzKCjiyejNzQMBS",2048,129,2945,11,0,0, 135
"[68]MEgmRBQNLPJxLEHLNBPnotAbmifhsgFkaLMIPJgALrkcmcLqGwriMRxhbuHwadLMKFLQ",2.81475e+14,6.71089e+07,2105,64,16,2, 136
"[98]urMnfEuLRceKEgDQbiisPqyQucHzGSSgfrLoduFFQfsEcziywMdnIOwERDtzPJBorfyMJFtbxGdBHascpykOcugejrydPNzaaA",1.40737e+14,4.29497e+09,850,54,7,2, 137
"[79]nQAyDAQorAxxrCftFGHgQqLICCDflPGwkHqjnSNGoOaxeMprIedKRpNhkyvKISJjLcmtOOfQBlIExok",32,8,2892,5,0,2, 138
"[90]xRDatwdANgwvPNONkOfnnczjhMweRfovvfocGcBcHrLNScQQfpbGiEGaspuIAuDsaCrcKadMnPdMMynFkPkDKFGjrm",32,4,806,5,0,2, 139
"[73]tinwaqJIvzvRgwcNksPCqlOzExrxmhIkueSjbFyGEaouHNHheNeKahbGmzlLMeICvijnorQdj",64,64,3031,6,0,1, 14
"[32]skQlPHkNqdwbocLIHsOKiaznsGOqaMSL",64,65,3030,6,0,1, 140
"[103]FtcgdEfaPDzvHLeEBINahPJEOpdcpOzHbSeEPOulKsmviHgmPjyLPQrvJrrdmdFPIdadgnNuiccRDGMrSSCSzGcfESojGFdhphkERSu",4096,513,1715,13,1,2, 141
"[70]dBwcFPGsPLrNHjefssRyPJsxcFPJifOdvEczbHdLiceFDqgDFtFGymISSwDQKNkLnmtNHK",9.0072e+15,1.71799e+10,2379,64,11,2, 142
"[91]zdlHfvzRcQEMwxwEgtjLRilQHRBIkENmscrOJRzpPPlGNGQJxgvavedhopFAAmsxgSAwoKMAHLcybPcFGnqjAwEKapy",2.74878e+11,2.09715e+06,1187,44,6,2, 143
"[96]nPIdAkLSecvBtggjkljwsARraHbyMucLPpsxsurxMztxAuLOGNHBryfrBiccfEMLOEaxwFmOGNkcsRlyamcLRKdouOvcrBcA",3.43597e+10,8192,1424,43,8,2, 144
"[106]AmtptiohcwcHSwRMDfrOAbyBhRdPFPifdoQReQLmfOPAiAPcgkhnGmuolzLhwmzPFIQqgdGxcPHqlmMHkGEAGKAdqfGMgfQmJbFoFxJOqu",3.35544e+07,257,960,25,0,3, 145
"[82]ExkolfbPAFLifmAiNHIejLHbxFqfOgMLmjyOdsIMhwCbHaQyKmHLvGlmzNpnMKHLSJByOHSoprEFEysawR",2.81475e+14,1024,2290,48,0,0, 146
"[61]LOAjgbLjtHGxkLIzGptwGaHFSKdselnDNHLSFEoGLiSnJaAHeyqMqFszoMOeu",65536,129,3056,17,1,3, 147
"[77]SRaLNgxPkiDdmRgLEuprHMozexsoiksLlkQQLpnElwiceIHLsRDfOKNQHFStBHkeJdEGuhfzbGLPH",524288,32,2104,21,2,0, 148
"[61]njNawNzdjdRKcMheamPLyhzcfwxDbwOBEepIAAHtnoLlInPJlPJQJaPFMRpCH",8.79609e+12,1.07374e+09,1213,50,7,2, 149
"[93]LaOejifkbOGEixclOdMcxDcLucEbnIiytecPJbRBzOcHcPJrcQdlwfOcKtveuRtmOvxctQkBkyPLirHyCacxHGOjFuNEL",1.37439e+11,1.07374e+09,539,49,12,1, 15
"[101]LanmOPzNzAGLGnGNnRDMvNHvecgSfoNoMpbxuaINKOeHoNjeoawnHEDFcJRvoqCnNIdxhklueOGbJtzjPdCstziDjQPBFFqjibSwt",8.38861e+06,1.04858e+06,1086,30,7,0, 150
"[96]yQEbNufxLNHNhscRfLqqjKHSgdQESxOqjBlJbigDvLHrjfiGfzIOglifMImRzJyfpHDSyCrcEpeeAwBLBPbprjdcLjIjOJHQ",2.30584e+18,4.1943e+06,1558,111,50,2, 151
"[96]NHLkdbaibHCgsneCDABsgtoiHOLthqkRqGRMzCamhkPdIsLlGtHSqpRvuDyHhlFMFLPzGtLRJRGoIPKlDeJpdaOadkfPKoeL",1.40737e+14,8.79609e+12,2375,58,11,1, 152
"[98]QHeNionzGLmcBnIqepxrDSOQafBvxCoyKSaOhhSMDeGMdezIfhasKiPQMxjGxzfKlENegfKvgSGBGbCetjqdMlKeHiMMESgxti",32,9,2882,5,0,2, 153
"[98]ajbAPvjQvswQpmGhdvzonzEozEHPvLphfdFNKPDtxJPctFjcceCwnFiGeggnsrnmdtLdhtdubcsIKbNkyKgQbkeRkwaSgiQcJg",2.19902e+12,5.49756e+11,2104,52,11,1, 154
"[68]iDtncdmizdctOvqaaHPwkfhELLIHmSPsxhxSkzyOhQJjGBpEdwMEBcedfKzcAGQBFwhN",2048,256,2613,11,0,3, 155
"[42]LDgtcSgLPtNScGrhGKhFzsOErchHOyLIgctNHOrnRz",256,256,2925,9,1,2, 156
"[97]cdnvLclPJgPzocywPbpfzHFhQiLScnRftAcrsdksxwLciMtkNixjkdQGOIpwobdMgOodewPhAammfRKPgPAwOoeNhePaszEhc",8.58993e+09,1.04858e+06,943,35,2,3, 157
"[68]mizNNBzcRLutulMrnxHRKEhOCDNvFKvERLerDdtAlkkHfgcdnhcMOEyGLcISQuoeHoRr",64,16,2699,6,0,0, 158
"[82]eDgynahANounLgknksHGrrzIEtGcyLccocHScKtjGRrPlxbOMcHOvLrgQvcglmBeEGoqkkQajhekyJHain",524288,1024,1851,20,1,2, 159
"[49]eEidHxbbaGfANHAtQrocEGDhFKqvmusGByHtDdtRmiebjGLIl",64,64,3005,6,0,1, 16
