"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","seed"
"44",43,"[18]HcAHxGnJHqKHqaIebJ",297,1,18,296,0,296,0,0,0,0,0,155,155,141,141,1
"45",44,"[18]HcAHxGnJHqKHqaIebJ",286,0.986348,18,293,4,289,4,4,0,4,4,141,141,152,148,1
"46",45,"[18]HcAHxGnJHqKHqaIebJ",294,0.993266,18,297,2,295,2,2,0,2,2,149,149,148,146,1
"47",46,"[18]HcAHxGnJHqKHqaIebJ",300,1,18,299,0,299,0,0,0,0,0,146,146,153,153,1
"48",47,"[18]HcAHxGnJHqKHqaIebJ",285,0.993056,18,288,2,286,2,2,0,2,2,128,128,160,158,1
"49",48,"[18]HcAHxGnJHqKHqaIebJ",311,1,18,310,0,310,0,0,0,0,0,163,163,147,147,1
"50",49,"[18]HcAHxGnJHqKHqaIebJ",299,0.996667,18,300,1,299,1,1,0,1,1,150,150,150,149,1
"51",50,"[18]HcAHxGnJHqKHqaIebJ",298,1,18,297,0,297,0,0,0,0,0,154,154,143,143,1
"52",51,"[18]HcAHxGnJHqKHqaIebJ",291,1,18,290,0,290,0,0,0,0,0,119,119,171,171,1
"53",52,"[18]HcAHxGnJHqKHqaIebJ",312,1,18,311,0,311,0,0,0,0,0,169,169,142,142,1
"54",53,"[18]HcAHxGnJHqKHqaIebJ",297,0.996644,18,298,1,297,1,1,0,1,1,148,148,150,149,1
"55",54,"[18]HcAHxGnJHqKHqaIebJ",297,0.996644,18,298,1,297,1,1,0,1,1,154,154,144,143,1
"56",55,"[18]HcAHxGnJHqKHqaIebJ",302,0.9967,18,303,1,302,1,1,0,1,1,152,152,151,150,1
"57",56,"[18]HcAHxGnJHqKHqaIebJ",293,0.996599,18,294,1,293,1,1,0,1,1,146,146,148,147,1
"58",57,"[18]HcAHxGnJHqKHqaIebJ",308,0.996764,18,309,1,308,1,1,0,1,1,169,169,140,139,1
"59",58,"[18]HcAHxGnJHqKHqaIebJ",306,1,18,305,0,305,0,0,0,0,0,164,164,141,141,1
"60",59,"[18]HcAHxGnJHqKHqaIebJ",303,0.996711,18,304,1,303,1,1,0,1,1,153,153,151,150,1
"61",60,"[18]HcAHxGnJHqKHqaIebJ",294,0.989967,18,299,3,296,3,3,0,3,3,154,154,145,142,1
"62",61,"[18]HcAHxGnJHqKHqaIebJ",295,0.996622,18,296,1,295,1,1,0,1,1,150,150,146,145,1
"63",62,"[18]HcAHxGnJHqKHqaIebJ",297,0.993333,18,300,2,298,2,2,0,2,2,154,154,146,144,1
"64",63,"[18]HcAHxGnJHqKHqaIebJ",301,1,18,300,0,300,0,0,0,0,0,152,152,148,148,1
"65",64,"[18]HcAHxGnJHqKHqaIebJ",294,1,18,293,0,293,0,0,0,0,0,141,141,152,152,1
"66",65,"[18]HcAHxGnJHqKHqaIebJ",293,0.996599,18,294,1,293,1,1,0,1,1,145,145,149,148,1
"67",66,"[18]HcAHxGnJHqKHqaIebJ",305,1,18,304,0,304,0,0,0,0,0,156,156,148,148,1
"68",67,"[18]HcAHxGnJHqKHqaIebJ",296,1,18,295,0,295,0,0,0,0,0,135,135,160,160,1
"69",68,"[18]HcAHxGnJHqKHqaIebJ",301,1,18,300,0,300,0,0,0,0,0,144,144,156,156,1
"70",69,"[18]HcAHxGnJHqKHqaIebJ",304,1,18,303,0,303,0,0,0,0,0,153,153,150,150,1
"71",70,"[18]HcAHxGnJHqKHqaIebJ",302,1,18,301,0,301,0,0,0,0,0,152,152,149,149,1
"72",71,"[18]HcAHxGnJHqKHqaIebJ",292,0.99322,18,295,2,293,2,2,0,2,2,141,141,154,152,1
"73",72,"[18]HcAHxGnJHqKHqaIebJ",304,1,18,303,0,303,0,0,0,0,0,152,152,151,151,1
"74",73,"[18]HcAHxGnJHqKHqaIebJ",289,0.993151,18,292,2,290,2,2,0,2,2,136,136,156,154,1
"75",74,"[18]HcAHxGnJHqKHqaIebJ",298,0.993355,18,301,2,299,2,2,0,2,2,162,162,139,137,1
"76",75,"[18]HcAHxGnJHqKHqaIebJ",293,0.996599,18,294,1,293,1,1,0,1,1,146,146,148,147,1
"77",76,"[18]HcAHxGnJHqKHqaIebJ",297,1,18,296,0,296,0,0,0,0,0,143,143,153,153,1
"78",77,"[18]HcAHxGnJHqKHqaIebJ",297,0.996644,18,298,1,297,1,1,0,1,1,154,154,144,143,1
"79",78,"[18]HcAHxGnJHqKHqaIebJ",294,0.99661,18,295,1,294,1,1,0,1,1,135,135,160,159,1
"80",79,"[18]HcAHxGnJHqKHqaIebJ",296,0.996633,18,297,1,296,1,1,0,1,1,146,146,151,150,1
"81",80,"[18]HcAHxGnJHqKHqaIebJ",306,1,18,305,0,305,0,0,0,0,0,166,166,139,139,1
"82",81,"[18]HcAHxGnJHqKHqaIebJ",298,0.993355,18,301,2,299,2,2,0,2,2,159,159,142,140,1
"83",82,"[18]HcAHxGnJHqKHqaIebJ",308,1,18,307,0,307,0,0,0,0,0,162,162,145,145,1
"84",83,"[18]HcAHxGnJHqKHqaIebJ",298,1,18,297,0,297,0,0,0,0,0,162,162,135,135,1
