"","trial_number","genome","merit","genome_length","seed"
"1",0,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",7.92282e+28,91,1
"2",1,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
"3",2,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
"4",3,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
"5",4,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
"6",5,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
"7",6,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
"8",7,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
"9",8,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
"10",9,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",1.26765e+30,91,1
"11",10,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
"12",11,"[91]GjfffLdwafndfCIhuvqmKwafndbCHCabvifwafnfaCKHBdeEdlaFxdGjfpJehahaeBeaCabyafwaendaCKHCabvaeJH",5.0706e+30,91,1
