genome,merit,merit_given,gen, seed
"[91]GjfffLdwafndfCIIavqmKwafndbCHCabddfwafnfaCKHBdeLdlaendGjfpJehabaeBeaCabyafwaendaCKHCabvaeJH",2.5353e+30,6.33825e+29,129, 1
"[94]GjfffLdwafndfCICabyafwafndbCHCvbyafwafnfaCKHBdtLdwaendfCIJJmHgabyAaeBeaCabyafwaendaCKHCabyaeJH",2,3.86856e+25,13, 10
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBoeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 100
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,1,0, 101
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwhendaCKHCabyaeJH",32,3.86856e+25,1, 102
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCdHCabyaeJH",4,3.86856e+25,1, 103
"[91]GjfffLdwafndfCICabyafwafndbCHCabyafafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabymfwaendaCKHCabyaeJH",8,3.86856e+25,1, 104
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnhaCKHBdeLdwaendfCIJJHCbbyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,3, 105
"[92]GAfffLdwafndfCICabyafwafndblHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 106
"[94]djfffLdwafndCxGsEblttwafndbCHCabCagwafnfaqIdrcIHrpGolDGbgmHyLeBeaCJqlgpAuafwaendaCKHwfCaiCaeJH",3.40282e+38,1.70141e+38,884, 107
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwlfnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",32,3.86856e+25,1, 108
"[92]GjfffLdwafndfCeCagydwafndbCHCabGaahwafnfaCKHBdeddwaenDfdCImHdGfuaeBeaCebsafwaendaCKHCabyaeJH",1.62259e+32,1.01412e+31,174, 109
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwannfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",32,3.86856e+25,1, 11
"[88]jfffLdwandCrIGHuCEfwafndbCHCabgpKjGvawwafnfCIBdpothfgdpFwzowzItysGtBeaKvafwendaqKHCaceJH",3.40282e+38,1.70141e+38,2014, 110
"[92]GjfffLdwafndfCICabyafwafAdbCHCabyafwGfnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 111
"[92]GjfffxdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdfLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 112
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaensaCKHCabyaeJH",32,3.86856e+25,1, 113
"[91]GjGffLdwpfndfCqCabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHtabyaeBeaCabyafwaendaCKHqabyaJH",0.01,0,2, 114
"[93]GpbELdwaCBmJtjlmCyIdzwafndbCHCebbrKctIwafofCKHBdBtHdDbdmkFILxodFBeaCrmDHsafwaendaCKHCafmnaeJH",6.64614e+35,1.32923e+36,2396, 115
"[92]GjfffLdwaLndfCICabyafwxfndbCHCabyafwafnfaCKHBdeLdwaendfCIIJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0.01,2, 116
