trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3
65,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
66,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
67,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0.0125,87,80,79,1,79,79,0,79,79,1,0,1,1,78,0
68,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0.00980392,87,102,100,1,101,100,0,100,100,51,0,51,1,0,0
69,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
70,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0.0246914,87,81,78,2,79,78,0,78,78,2,0,2,2,77,0
71,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,100,100,0,100,100,0,100,100,50,0,50,0,0,0
72,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
73,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
74,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
75,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
76,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0.00980392,87,102,100,1,101,100,0,100,100,51,0,51,1,0,0
77,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,100,100,0,100,100,0,100,100,50,0,50,0,0,0
