trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3
0,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,0.9875,87,80,1,79,1,1,0,1,1,29,28,24,24,27,27
1,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,1,87,77,0,77,0,0,0,0,0,31,31,22,22,24,24
2,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",84,1,87,83,0,83,0,0,0,0,0,29,29,19,19,35,35
3,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,26,26,24,24,30,30
4,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,1,87,75,0,75,0,0,0,0,0,31,31,25,25,19,19
5,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",73,0.986486,87,74,1,73,1,1,0,1,1,27,26,31,31,16,16
6,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",75,0.9625,87,80,3,77,3,3,0,3,3,30,27,26,26,24,24
7,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,1,87,77,0,77,0,0,0,0,0,30,30,24,24,23,23
8,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,0.987013,87,77,1,76,1,1,0,1,1,34,33,22,22,21,21
9,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,1,87,78,0,78,0,0,0,0,0,26,26,26,26,26,26
10,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,1,87,77,0,77,0,0,0,0,0,24,24,28,28,25,25
11,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,0.975904,87,83,2,81,2,2,0,2,2,26,24,24,24,33,33
12,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,0.975,87,80,2,78,2,2,0,2,2,23,21,31,31,26,26
13,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,1,87,79,0,79,0,0,0,0,0,21,21,30,30,28,28
14,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,1,87,77,0,77,0,0,0,0,0,36,36,18,18,23,23
15,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,0.974684,87,79,2,77,2,2,0,2,2,26,24,29,29,24,24
16,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,1,87,79,0,79,0,0,0,0,0,22,22,28,28,29,29
