"","trial_number","genome","merit","genome_length","merit.1","merit_given","not","nand","and","ornot","andnot","or","nor","xor","equ","did_repro","seed"
"1",1,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"2",2,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"3",3,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"4",4,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",5,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"6",6,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"7",7,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"8",8,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"9",9,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"10",10,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"11",11,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"12",12,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"13",13,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"14",14,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"15",15,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"16",16,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"17",17,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
"18",18,"[54]rpzdvgqgpmqpgplgytigjkutttisfnlpqlqdqktptyglsttltvjaab",1,54,1,1,0,0,0,0,0,0,0,0,0,0,1
