genome,merit,merit_given,gen,not,nand,and,ornot,andnot,or,nor,xor,equ, seed
"[53]rpzhvgqeppqpgpngvigpnuttidfnxtpqdqwqwtptyfjsttltvsjab",3.35544e+07,3.35544e+07,21676,1,1,1,1,1,1,1,1,1, 1
"[51]rzqvuqilheogsftqtpdpqtglfyxonpwqpoqyqwequtttytstvhb",65536,8192.64,26367,1,1,1,1,1,1,1,0,0, 10
"[51]rzwqvpeplqemfpntqwqxppwiqpsqlqqpnlnqxpqutttyeistvab",16384,16384.7,34145,1,1,0,1,1,1,1,0,0, 100
"[90]buvwmupwwqwfqmqynnpqjgpjnipqdqutttttylnyvsrabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",8192,8193.26,19804,1,0,0,1,1,1,1,0,0, 101
"[43]rszsvkmefwrfyusuitpgqqizpdhyhsplqfttvgccrtb",3.35544e+07,3.35544e+07,14223,1,1,1,1,1,1,1,1,1, 102
"[98]rzvvidnqxfuftpqwifpphfagnlyaeliesqeqdttyeqsttgvabrzvviiwqxfuftpqwifpphfagnlyaeliesqeqdttyeqsttgvab",3.35544e+07,3.35544e+07,13572,1,1,1,1,1,1,1,1,1, 103
"[52]rpvvcksediaascmyzgqhmuornvqipgnhqqqplrnquttttyzbsvab",1024,1024.54,34899,1,0,0,1,1,0,1,0,0, 104
"[223]rzevzmlqkcpqppjqpcypflnoiznlqurngbfgfhpggqyqkxtttymgsttvuxattwnhcdhgbqkkikdlaunucfffjadydpfoenkonburcffxufhtqxlenhhgupeupkcgjptvdmcrcugylzhjviqmsbmmqrwbnahrzbjjbtmzfuzacqgoaeuyckawcinmkuquupnzyhuuzqcptdungszjftkjgxrpobwkiab",8.38861e+06,8.38861e+06,15021,1,1,0,1,1,1,1,1,1, 105
"[44]ruqivqxphqjpnltpnqkqipxqepeqnoquttttygmstvab",8192,2048.56,40563,1,1,1,1,1,0,1,0,0, 106
"[48]ruzmvupqcppoqvfftqvpflbgjngqppvtqgyoutttyoksvfab",65536,65536.6,26046,1,1,1,1,1,1,1,0,0, 107
"[104]rlniqckwjqxwhdiowrxfedbnzexuouqfpnqplpqpttttypgstvkpiqyqgdaagxvetvxmaomtoahjolncfsrvbzgbqqeepkyymlamctab",32768,8192.62,15694,1,0,1,1,1,1,1,0,0, 108
"[48]rzxvwedwyqkyuttnjttqfldoktlqgkithfspkqgttysgsvab",512,512.62,23361,1,1,1,1,1,0,0,0,0, 109
"[53]pgrujqvpzkqzmgpoqppppttqjppetooklgoyfeegqoqpttydtsvab",65536,65536.8,13308,1,1,1,1,1,1,1,0,0, 11
"[53]rquphqvzpgqdlpglshnqtcpnyqpwigpqxhoripqygqfpihylstvfb",3.35544e+07,3.35544e+07,13932,1,1,1,1,1,1,1,1,1, 110
"[57]ruvnphupjtgttqpilnquypdkstpepkfwniyzeobqznkqhfymistttivkb",3.35544e+07,3.35544e+07,15106,1,1,1,1,1,1,1,1,1, 111
"[53]ruvptwxqiqqmioptmtttkiqzspsqvpqpgpcqxotqpllttntyjsvob",32768,32768.8,19915,1,0,1,1,1,1,1,0,0, 112
"[47]rulyvpzquoqppohqpqvpklznipqlqnplndquttyvstttvxb",16384,16384.7,38225,1,1,0,1,1,1,1,0,0, 113
"[47]rzaalivupnomqqnpmqepqztippqzpnltttqtittyoystvab",65536,65536.7,20909,1,1,1,1,1,1,1,0,0, 114
"[102]yqnrygqgqeeuiqpqsfpppegqpfhgpvnfpyujqatezvxucqwiwoxoqpjuuemvqkziyiytuqgcfxpcpqgqpfjsofgbbduutttyyqzvab",3.35544e+07,3.35544e+07,19394,1,1,1,1,1,1,1,1,1, 115
"[52]czkzrxnprvqggivgzwotfqpopnhdspufgdipcefdqtehytkspvab",1.04858e+06,131073,1783,1,1,1,1,1,1,1,1,0, 116
"[56]ruvwsqmxxpuawejagtgwxguqnbelgtkvhotliqpqpnqfttttyvxstvab",2048,2048.74,17965,1,1,0,1,1,0,1,0,0, 117
"[54]rodzovuttrpggqxgtiqpqfippqzifpqhfephfnlqtqottyxcsttvab",3.35544e+07,3.35544e+07,15684,1,1,1,1,1,1,1,1,1, 118
"[50]rztvygrljxgwnfvqodlesauhinqppaqwqffwtogttttyhrsvab",3.35544e+07,3.35544e+07,19943,1,1,1,1,1,1,1,1,1, 119
"[46]ruvjqsiqnzmqoqjpognglgoqwgnqpgpqwuqhfttyyjsvab",16384,16384.7,35565,1,1,0,1,1,1,1,0,0, 12
"[88]rzeqvgmlfwooigffqdpipqfqpqpulnquctttytzsttvyqmsudqxrauwethjgdkcoetzsyyisvghcqqnsujenccab",4096,1024.64,38065,1,1,1,1,1,1,0,0,0, 120
"[46]rfjpzeqkzomnlqpyqdppqnsleppqqpotvqpqtttykxsyab",65536,8192.58,35832,1,1,1,1,1,1,1,0,0, 121
"[149]sauyrvwfyqqmrfxliputnjixmpqtctgqotzqlrqyutttyjqdvabaaaaaaaaaaaaaaaaaaxaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",65536,65538.3,7413,1,1,1,1,1,1,1,0,0, 122
"[42]ruqdqpegpwxqvgigpdfpdpqpnlvqppsqutttyndveb",16384,16384.7,29549,1,1,0,1,1,1,1,0,0, 123
"[51]vruqvgnqupqthfhgyzmzzdueobzvlmdcgppqbepdyhpstttvdwi",3.35544e+07,8.38861e+06,12452,1,1,1,1,1,1,1,1,1, 124
"[54]rzmqggqrpkywggpvgqqgutttfnimhovlwqotqithtkyyxsttvjegyb",131072,131073,21272,1,1,1,1,1,1,0,0,1, 125
"[43]ruqgvqplpzgrqpqtpwpwhttfnlqgqtpqtyneszvvjab",131072,65536.6,21419,1,1,1,1,1,1,0,0,1, 126
"[77]muvfgrupqkpyqftprqwppqeatgqvrtyfgoqfgthttyzysvdabaaaaaaaaaaaaaaaaaaaaaaaaaaaa",3.35544e+07,3.35544e+07,12888,1,1,1,1,1,1,1,1,1, 127
"[57]rzkybtvpimetquofmqnpmfphglnlqfpqgdgpprqsqwsatuttttlejzvab",3.35544e+07,3.35544e+07,24519,1,1,1,1,1,1,1,1,1, 128
"[52]ruekvpfqufpqdipyqnqfsokpqknqhqdlpglhnxqguttttyxmevab",65536,65536.7,29849,1,1,1,1,1,1,1,0,0, 129
"[52]rupavebilsuxqweluqxpnyupyqppnslfqgqnifdqbpttttyjsvnb",65536,65536.7,26867,1,1,1,1,1,1,1,0,0, 13
"[54]rzfpjyzdrvqnpqpmqjpqqrpppmplqcoyqnpqkplnqsuttyftsttvab",16384,16384.6,32137,1,1,0,1,1,1,1,0,0, 130
"[44]rukvvpfpaqpezyqzrtjatqrlpfnqfpgqnqxttdestvtb",3.35544e+07,3.35544e+07,21876,1,1,1,1,1,1,1,1,1, 131
"[50]ruywmsvutqutoyksguyouqoipnqpgmzqfpqftotyhawttttvgu",16384,16384.7,19105,1,1,0,1,1,1,1,0,0, 132
"[48]crugvsnqqkpqpmepwpgflgepqpfpqppqlntqzttyhjsttvab",65536,65536.8,21624,1,1,1,1,1,1,1,0,0, 133
"[53]rnuompviwqbcfwqyfqgfewijpoglfgqqpznipqpyjutysfstttydb",1.04858e+06,32768.7,9092,1,0,1,1,1,1,1,0,1, 134
"[58]ttbxsstabrujvwogapywzheqqpiqpjrqkyynuphinqppquttaaaaaaauaa",1024,512.5,37925,1,0,0,1,0,1,1,0,0, 135
"[78]cccaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaakaaaaaaaaaaaaaaaaa",1,1.88,3,0,0,0,0,0,0,0,0,0, 136
"[55]rkujvpqfgpeggqgippgheioqjttpozptfunlyqxttttqfhtyspttveb",1.04858e+06,1.04858e+06,21651,1,1,1,1,1,1,1,1,0, 137
"[54]rzycxvyxbtauqqtpdoxpcegqfqvpiepnvttttqvtlkfoqyogsttvab",1.04858e+06,1.04858e+06,17139,1,1,1,1,1,1,1,1,0, 138
"[59]hcrzgvhuqmidtefpeteupqtptqyonmqptfxttttqhgqplwnsiwtyhsstvab",2.09715e+06,2.09715e+06,15966,1,1,1,1,1,1,1,0,1, 139
"[49]ruqtvwzrtfbjlqkpjqpngzoyttifqpvtntlpmqttfyxwsvwab",65536,16384.6,22527,1,1,1,1,1,1,1,0,0, 14
"[49]rupqvpqpxpiqwixpqzpgpxvolgphqwfqqsosqutyksstttvab",16384,16384.6,34625,1,1,0,1,1,1,1,0,0, 140
"[43]rzjvqbqgnnlpfntnqkpgplqqjpqfloqutttywstovob",2048,2048.6,41759,1,1,0,1,0,1,1,0,0, 141
"[45]reuwwichcvuaqitqpteqpqdqtpeypqeptatpnblygsvkb",65536,65536.8,23174,1,1,1,1,1,1,1,0,0, 142
"[53]rzkvoqooeqqtoiipqqqpnpmpqpirloqpiqpnvlqutyflsttvxfiab",16384,16384.7,32666,1,1,0,1,1,1,1,0,0, 143
"[49]rwmetzhqxqeoqrpgffqfovpezpuqjqpvnlqyqutyyhstttaab",16384,8192.62,34024,1,1,0,1,1,1,1,0,0, 144
"[52]rzjqgvwixifpqwgqfpxipcqeoqpyqdploqpnuqlquttttyibsvab",16384,16384.7,33087,1,1,0,1,1,1,1,0,0, 145
"[48]rulpbvguqeyspppnhtqlcpwftgttnthplquqhthtyuwwtvab",3.35544e+07,1.67772e+07,21012,1,1,1,1,1,1,1,1,1, 146
"[45]hrefuqvippggxgtqfqylpveniwttnpxqotiqtoyvwsyab",3.35544e+07,2.09715e+06,19894,1,1,1,1,1,1,1,1,1, 147
"[49]rujuqggvtfxpzqfcpgpqdqzgtpunlttttqqvzuftyqastivab",65536,65536.7,17073,1,1,1,1,1,1,1,0,0, 148
"[48]rzwvwepjqgnpqpdpqrqvodqpoqqjpglnrquttttbxsvschwb",16384,16384.6,37637,1,1,0,1,1,1,1,0,0, 149
"[52]uruqivkprpqiploinvpjqgwqqixgqxfotpqfoqqtuttttytysvab",262144,262145,33324,1,1,0,1,1,1,1,1,0, 15
"[111]wewcaqnijoqplhjamfprplqxgkfpyqnebqvhvywnwguvknumkppjgqrqpurvytqyppqlltbiqhpiplnibqfpbqhqyszwikxbfaputttyiqzvfab",2.09715e+06,2.09715e+06,23360,1,1,1,1,1,1,1,0,1, 150
"[48]ruvuqwflnhvxcwvtprqzpsqtfpqfnlbqftttyvhstptgrvab",65536,65536.6,22406,1,1,1,1,1,1,1,0,0, 151
"[53]irzvvnmufqadpeptiiqhppegeiyphiqpiivnqgtqtltyjsstttvab",3.35544e+07,3.35544e+07,14434,1,1,1,1,1,1,1,1,1, 152
"[47]rzrvpqroqpeimpgzinqqlfonpqwqpnltqiuttyestttvxgb",16384,16384.6,38576,1,1,0,1,1,1,1,0,0, 153
"[47]ruqlgvhuplgtthtfbptlqcpcnzqgqotyjdwtttyymstvuab",1.04858e+06,1.04858e+06,22471,1,1,1,1,1,1,1,1,0, 154
