"id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","is_dominant_lineage"
6288484,"[6287971]",249999,Inf,1,1,0,0,1411,"[86]hFpocQLHcNcJMqOcKBGCGlDzKGCDyrdOzCnMdMgHNoRgeCfxIlNRCuHLfMuGGrKbisMnnOnjoODwMfFuPjefPa",FALSE
6288481,"[6286863]",249999,Inf,1,1,0,0,1426,"[104]mFnocQLHcocJOqOcKBGCyrGbJEvynsOjfOEsCxnyzkSqHDRRkjLjrivBdLNaepMbrJzFCgHcjfigIIKyzpnrOCNGRfjOjNyyMKGbnFkc",FALSE
6288480,"[6283686]",249999,Inf,1,1,0,0,1420,"[104]hFnocPLHcNcJOqOcKBGCiLRNSAMmvJwwMBokoFxOEDCFFmBHqsmQMmNoaxxevvFtEiDGubtrrNrORBbnpEjOMOAstARckzLjIyEvCtkc",FALSE
6288473,"[6282035]",249998,Inf,1,1,0,0,1373,"[91]hFQocQLHcNcJMqOcjBGCrRbEHhLjFwHQxuhEnmjbayIcieFIFgCJukunuKAPNoQcSNGayDnabNrQMOJEEijPjwhGFxE",FALSE
6288471,"[6287680]",249998,Inf,1,1,0,0,1419,"[99]mFnocpLHcocJOqOcKBGCAeNrARtHhPngvumCHqsCnBGAasfMwSnxgkCobpKDquAvoMxehchlkyDlsbIrlzPueGSwNyIfsaxmaPA",FALSE
6288469,"[6285901]",249998,Inf,1,1,0,0,1383,"[96]kFQocQLHcocJOqOcKBGCxvfJtojOLuuPsoIvHynkDCtLiDdqMejGGmFjebdlkCknwOkoRMKNJrQwIAcjbsacKIFRSiHRkwyn",FALSE
6288467,"[6274105]",249998,Inf,1,1,0,0,1414,"[109]hFnocPLHcNcJOqOOKBGCiLavuQiqwvqHRFAIBkIDKgEFjNBksMfrOOwOqmewasMbntihyCSGwzwKasPRJHpEjqkqosLgtGyxszLhIiJbyiDvr",FALSE
6288465,"[6285202]",249998,Inf,1,1,0,0,1393,"[91]mFEocQLHcocJMqOcKBGCjxaaENGiSKhjtSgvJwIjHchjjFDvjcgGuMBvESGmhhNRPjCasAtKliRNqDRytMCSgrNaCxQ",FALSE
6288463,"[6278107]",249998,Inf,1,1,0,0,1406,"[106]hFnocPLHcNcJOqOcKBGCiLnMuimRbMmMwAgDRKjdoQOngOjNBrxOOqqDvchuQutOQyDSbtasycrxRSoKprmjCQqIsLgDuilFzLlIIIQtMq",FALSE
6288462,"[6287286]",249998,Inf,1,1,0,0,1352,"[83]hFnocQLHcNcJMqOcKBGCxrnybmEhkCzkrNMcSgFSGdzsKBJlaHAiInGCvbfDzaaJABDgSclOqzOGIsuFHSu",FALSE
6288460,"[6280076]",249998,Inf,1,1,0,0,1420,"[105]hFnocPLHcNcJOqOcKBGCiLCRNSAMmvJwwMBokoFxOEDCFFmBHqsmOMmNoaxxevvFtSiDGubtrrNrORBbnbEjOMOAstARckzLjIyEvCtkc",FALSE
6288459,"[6287994]",249998,Inf,1,1,0,0,1374,"[92]hFPocpLHcNcJMqOcKBGCBmwdMlNsPSecurAHPmjAQHsqgKuGSrQONlpSybokuuOQjzpJSkCbHufsogQqBSpoIuzRkulm",FALSE
