id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,taxon_info
6288525,[6286946],250000,inf,1,1,0,0,1412,[93]mFnocpLHcocJOqOcKBCCHduzISxkKtRMumucHhbBRywKMKRJLkxPJRkIRcREgxpgcKfJPaMgyxyRyDuDGSnPRHusmBIEA
6288522,[6279417],250000,inf,1,1,0,0,1373,[97]kFQocQLHcocJOqOcKBGCxSSAjdzDOLORjsoLJbyDwbdnpixaImecjKNgmpNGybAhkCEnwRkocKJrHBkbKbszcKbIumDiHOwOn
6288521,[6287638],250000,inf,1,1,0,0,1356,[80]hFPocQLHcNcJOqOcKBGCSHLzJLRyOlPsxohEAgmkBQwaaExzqxsAMIDIQLKCARRJBemIJvkHCqdrzpbQ
6288520,[6287606],250000,inf,1,1,0,0,1375,[93]hFnocQLHcocJMqOcKBGCLuftDjQcMwAqwKtRHyHwwkIdrLdcDlEytHIksFCbHrtoFdsGGmzRbzbgPGPKCAscPwmbnGaby
6288519,[6284320],250000,inf,1,1,0,0,1385,[95]kFQocQLHcocJOqOcKBGCxSSAjdzDOLORjsoLJHyDwbncixaImecBegmpNGCbqnjJwnmwRkocmJrHBQbKbszcKbjuDiHEwun
6288518,[6285859],250000,inf,1,1,0,0,1395,[87]mFnocQLHcocJMqOcKBGCjaENjtsSihtGSvjrwIilBSjvuicaGresHEKeEhHBPMCaSLKlrovDqykEMCRcbOumCxL
6288516,[6285531],250000,inf,1,1,0,0,1419,[92]mFpocQLHcocJOqMcKBGCJwmmDbqcuBDlNmzsKNEwDSvdiuvskbSiFMAwnrIjyQyMBjMEFbBFhkwLjtrGdCoMaGNoqujt
6288515,[6287772],250000,inf,1,1,0,0,1375,[89]mFnocQLHcocJOqOcKBGCQLAEifjAicbNkQDLzhrwdjgimlJMFDGzfLPjydFMLdPLamyIptLQtzvyKGGquBcRFOMSB
6288511,[6285959],250000,inf,1,1,0,0,1425,[101]mFnocQLHcocJOqOcKBGCQfoMhEpyhsmSSlpOMIBQuwkaqrmwGwjhivBdrSaepdrzFpofmnHujIbvzbiPPLjJgrwHdQynuCFbDFfxi
6288509,[6275004],250000,inf,1,1,0,0,1374,[95]hFnocQLHcocJMqOcKBGCLuftDjbQcMwwqMwKtkHyHwwkbdrLAchlEynHIlgOOsHrnoFysLGmzRbzigPGPKCAgcPwmbnmbLy
