"","id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","genome","genome_length"
"16425",2685579,"2683057",104862,105616,0,19,1,2550,647,"[91]hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrGAlMQRuCMccxiMPvzLNbkyFLuIENwGuecpiNNlRsuAtSkwancJM","hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrGAlMQRuCMccxiMPvzLNbkyFLuIENwGuecpiNNlRsuAtSkwancJM","91"
"16003",2683057,"2679938",104760,104911,0,1,1,2550,646,"[91]hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrdAljQRuCMccxiMPvzLNbkyFLuIENwGuecpiNNlRsuAtSkwancJM","hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrdAljQRuCMccxiMPvzLNbkyFLuIENwGuecpiNNlRsuAtSkwancJM","91"
"15993",2679938,"2679746",104636,104927,0,2,1,2550,645,"[91]hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrRAljQRuCMccxiMPvzLNbkyFLuIENwGuecpiNNlRsuAtSkwancJM","hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrRAljQRuCMccxiMPvzLNbkyFLuIENwGuecpiNNlRsuAtSkwancJM","91"
"16038",2679746,"2667196",104629,104668,0,1,1,2550,644,"[91]hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrRAljQRuCMccxiMPvzLNbkyFLuIENwGuecpiNNlRsuAtHkwancJM","hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrRAljQRuCMccxiMPvzLNbkyFLuIENwGuecpiNNlRsuAtHkwancJM","91"
"16406",2667196,"2660245",104129,104840,0,12,1,2550,643,"[91]hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrRAljQRuCMccxiMPvzLNbkyPLuIENwGuecpiNNlRsuAtHkwancJM","hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrRAljQRuCMccxiMPvzLNbkyPLuIENwGuecpiNNlRsuAtHkwancJM","91"
"16758",2660245,"2653678",103854,104264,0,7,1,2550,642,"[91]hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrRAljQRuCMccxiMPvzpNbkyPLuIENwGuecpiNNlRsuAtHkwancJM","hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujalRrRAljQRuCMccxiMPvzpNbkyPLuIENwGuecpiNNlRsuAtHkwancJM","91"
"16194",2653678,"2650443",103594,103936,0,5,1,2550,641,"[91]hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujayRrRAljQRuCMccxiMPvzpNbkyPLuIENwGuecpiNNlRsuAtHkwancJM","hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujayRrRAljQRuCMccxiMPvzpNbkyPLuIENwGuecpiNNlRsuAtHkwancJM","91"
"15382",2650443,"2647781",103467,103617,0,2,1,2550,640,"[91]hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujayRrRAljQRuCMHcxiMPvzpNbkyPLuIENwGuecciNNlRsuAtHkwancJM","hxnocQLPcpHcNcJMqOcKBGCPpfJvASJJmBujayRrRAljQRuCMHcxiMPvzpNbkyPLuIENwGuecciNNlRsuAtHkwancJM","91"
"16191",2647781,"2643938",103361,104063,0,12,1,2550,639,"[91]hxnocQLPcpHcNcJMqOcKBGCxpfJvASJJmBujayRrRAljQRuCMHcxiMPvzpNbkyPLuIENwGuecciNNlRsuAtHkwancJM","hxnocQLPcpHcNcJMqOcKBGCxpfJvASJJmBujayRrRAljQRuCMHcxiMPvzpNbkyPLuIENwGuecciNNlRsuAtHkwancJM","91"
"16726",2643938,"2640409",103208,103445,0,3,1,2550,638,"[92]hNxnocQLPcpHcNcJMqOcKBGCxpfJvASJJmBujayRrRAljQRuCMHcxiMPvzpNbkyPLuIENwGuecciNNlRsuAtHkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpfJvASJJmBujayRrRAljQRuCMHcxiMPvzpNbkyPLuIENwGuecciNNlRsuAtHkwancJM","92"
