"depth","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"0","86",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"1","86",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"2","86",100,0,0,0,1,1,1,1,9,9,9,8,8,8,0,0,0,0,0,0,8,8,8,9,9,9,100,"Small","Small"
"3","86",100,0,0,0,1,1,1,1,9,9,9,8,8,8,0,0,0,0,0,0,8,8,8,9,9,9,100,"Small","Small"
"4","86",100,0,0,0,1,1,1,1,8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,8,8,8,100,"Small","Small"
"5","86",100,0,0,0,1,1,1,1,8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,8,8,8,100,"Small","Small"
"6","86",100,0,0,0,1,1,1,1,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,101,"Small","Small"
"7","86",100,0,0,0,1,1,1,1,8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,8,8,8,100,"Small","Small"
"8","86",100,0,0,0,1,1,1,1,8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,8,8,8,100,"Small","Small"
"9","86",100,0,0,0,1,1,1,1,9,9,9,8,8,8,0,0,0,0,0,0,8,8,8,9,9,9,99,"Small","Small"
"10","86",100,0,0,0,1,1,1,1,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,98,"Small","Small"
"11","86",100,0,0,0,1,1,1,1,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,98,"Small","Small"
"12","86",100,0,0,0,1,1,1,1,16,16,16,15,15,15,0,0,0,0,0,0,15,15,15,16,16,16,98,"Small","Small"
"13","86",100,0,0,0,1,1,1,1,15,15,15,14.74,15,14,0,0,0,0,0,0,14.74,15,14,15,15,15,98,"Small","Small"
"14","86",100,0,0,0,1,1,1,1,1,1,1,57,57,57,0,0,0,29,29,29,28,28,28,1,1,1,98,"Small","Small"
"15","86",100,0,0,0,1,1,1,1,1,1,1,83,83,83,0,0,0,56,56,56,27,27,27,1,1,1,99,"Small","Small"
"16","86",100,0,0,0,1,1,1,1,1,1,1,77,77,77,0,0,0,52,52,52,25,25,25,1,1,1,99,"Small","Small"
"17","86",100,0,0,0,1,1,1,1,1,1,1,77,77,77,0,0,0,52,52,52,25,25,25,1,1,1,99,"Small","Small"
"18","86",100,0,0,0,1,1,1,1,1,1,1,77,77,77,0,0,0,52,52,52,25,25,25,1,1,1,99,"Small","Small"
"19","86",100,0,0,0,1,1,1,1,1,1,1,59,59,59,0,0,0,40,40,40,19,19,19,1,1,1,99,"Small","Small"
"20","86",100,0,0,0,1,1,1,1,1,1,1,61.55,62,59,0,0,0,41.7,42,40,19.85,20,19,1,1,1,99,"Small","Small"
"21","86",100,0,0,0,1,1,1,1,1,1,1,61.34,62,59,0,0,0,41.56,42,40,19.78,20,19,1,1,1,99,"Small","Small"
"22","86",100,0,0,0,1,1,1,1,1,1,1,62,62,62,0,0,0,42,42,42,20,20,20,1,1,1,99,"Small","Small"
"23","86",100,0,0,0,1,1,1,1,1,1,1,65,65,65,0,0,0,44,44,44,21,21,21,1,1,1,99,"Small","Small"
"24","86",100,0.14,0.5,0,1,1,1,1,1.28,2,1,24.72,25,24,0.28,1,0,25.72,26,25,0,0,0,0,0,0,99,"Small","Small"
"25","86",100,0,0,0,1,1,1,1,1,1,1,50,50,50,0,0,0,51,51,51,0,0,0,0,0,0,98,"Small","Small"
"26","86",100,0,0,0,1,1,1,1,1,1,1,46,46,46,0,0,0,47,47,47,0,0,0,0,0,0,98,"Small","Small"
"27","86",100,0,0,0,1,1,1,1,1,1,1,46,46,46,0,0,0,47,47,47,0,0,0,0,0,0,98,"Small","Small"
"28","86",100,0,0,0,1,1,1,1,1,1,1,48,48,48,0,0,0,49,49,49,0,0,0,0,0,0,98,"Small","Small"
"29","86",100,0,0,0,1,1,1,1,1,1,1,49,49,49,0,0,0,50,50,50,0,0,0,0,0,0,98,"Small","Small"
"30","86",100,0.38,0.5,0,1,1,1,1,1.76,2,1,73.24,74,73,0.76,1,0,74.24,75,74,0,0,0,0,0,0,98,"Small","Small"
"31","86",100,0.335,0.5,0,1,1,1,1,1.67,2,1,73.33,74,73,0.67,1,0,74.33,75,74,0,0,0,0,0,0,98,"Small","Small"
"32","86",100,0.365,0.5,0,1,1,1,1,1.73,2,1,76.27,77,76,0.73,1,0,77.27,78,77,0,0,0,0,0,0,98,"Small","Small"
"33","86",100,0.365,0.5,0,1,1,1,1,1.73,2,1,76.27,77,76,0.73,1,0,77.27,78,77,0,0,0,0,0,0,98,"Small","Small"
"34","86",100,0.37,0.5,0,1,1,1,1,1.74,2,1,76.26,77,76,0.74,1,0,77.26,78,77,0,0,0,0,0,0,98,"Small","Small"
"35","86",100,0.37,0.5,0,1,1,1,1,1.74,2,1,76.26,77,76,0.74,1,0,77.26,78,77,0,0,0,0,0,0,98,"Small","Small"
"36","86",100,0.4,0.5,0,1,1,1,1,1.8,2,1,76.2,77,76,0.8,1,0,77.2,78,77,0,0,0,0,0,0,98,"Small","Small"
"37","86",100,0,0,0,1,1,1,1,1,1,1,72,72,72,0,0,0,73,73,73,0,0,0,0,0,0,98,"Small","Small"
"38","86",100,0,0,0,1,1,1,1,1,1,1,75,75,75,0,0,0,76,76,76,0,0,0,0,0,0,97,"Small","Small"
"39","86",100,0,0,0,1,1,1,1,1,1,1,72,72,72,0,0,0,73,73,73,0,0,0,0,0,0,97,"Small","Small"
"40","86",100,0,0,0,1,1,1,1,1,1,1,72,72,72,0,0,0,73,73,73,0,0,0,0,0,0,97,"Small","Small"
"41","86",100,0,0,0,1,1,1,1,1,1,1,72,72,72,0,0,0,73,73,73,0,0,0,0,0,0,97,"Small","Small"
"42","86",100,0,0,0,1,1,1,1,1,1,1,72,72,72,0,0,0,73,73,73,0,0,0,0,0,0,97,"Small","Small"
"43","86",100,0,0,0,1,1,1,1,1,1,1,78,78,78,0,0,0,79,79,79,0,0,0,0,0,0,97,"Small","Small"
"44","86",100,0,0,0,1,1,1,1,1,1,1,53,53,53,0,0,0,54,54,54,0,0,0,0,0,0,97,"Small","Small"
"45","86",100,0,0,0,1,1,1,1,1,1,1,51,51,51,0,0,0,52,52,52,0,0,0,0,0,0,97,"Small","Small"
"46","86",100,0,0,0,1,1,1,1,1,1,1,61,61,61,0,0,0,42,42,42,20,20,20,0,0,0,97,"Small","Small"
"47","86",100,0.11,0.5,0,1,1,1,1,16.82,21,2,29.14,58,21,0.22,1,0,24.96,39,21,20.56,21,19,0.22,1,0,97,"Small","Small"
"48","86",100,0.09,0.5,0,1,1,1,1,18.4,22,2,27.66,58,21,0.18,1,0,25.06,39,22,20.64,21,19,0.18,1,0,96,"Small","Small"
"49","86",100,0.21,1,0,1.118125,1.5625,1,1,1,1,1,0,0,0,0.21,1,0,0.79,1,0,0,0,0,0,0,0,96,"Small","Small"
"50","86",100,0.23,1,0,1.129375,1.5625,1,1,1,1,1,0,0,0,0.23,1,0,0.77,1,0,0,0,0,0,0,0,96,"Small","Small"
"51","86",100,0.21,1,0,1.2001552,1.95312,1,1,1.21,2,1,0.79,1,0,0.42,2,0,1.58,2,0,0,0,0,0,0,0,96,"Small","Small"
"52","86",100,0.32,1,0,1.3049984,1.95312,1,1,1.32,2,1,0.68,1,0,0.64,2,0,1.36,2,0,0,0,0,0,0,0,95,"Small","Small"
"53","86",100,0.3,1,0,1.285936,1.95312,1,1,1.3,2,1,0.7,1,0,0.6,2,0,1.4,2,0,0,0,0,0,0,0,95,"Small","Small"
"54","86",100,0.21,1,0,1.2001552,1.95312,1,1,1.21,2,1,0.79,1,0,0.42,2,0,1.58,2,0,0,0,0,0,0,0,96,"Small","Small"
"55","86",100,0.24,1,0,1.2287488,1.95312,1,1,1.24,2,1,0.76,1,0,0.48,2,0,1.52,2,0,0,0,0,0,0,0,96,"Small","Small"
"56","86",100,0.555,1,0,1.5909781,2.44141,1,1,2.11,3,1,0.89,2,0,1.52,3,0,1.48,3,0,0,0,0,0,0,0,96,"Small","Small"
"57","86",100,0.575,1,0,1.6630486,2.44141,1,1,2.15,3,1,0.85,2,0,1.61,3,0,1.39,3,0,0,0,0,0,0,0,96,"Small","Small"
"58","86",100,0.665,1,0,1.7351191,2.44141,1,2.44141,2.33,3,1,0.67,2,0,1.84,3,0,1.16,3,0,0,0,0,0,0,0,96,"Small","Small"
"59","86",100,0.615,1,0,1.6918768,2.44141,1,1,2.23,3,1,0.77,2,0,1.71,3,0,1.29,3,0,0,0,0,0,0,0,96,"Small","Small"
"60","86",100,0.59,1,0,1.720705,2.44141,1,1.720705,2.18,3,1,0.82,2,0,1.68,3,0,1.32,3,0,0,0,0,0,0,0,96,"Small","Small"
"61","86",100,0.655,1,0,1.7351191,2.44141,1,2.44141,2.31,3,1,0.69,2,0,1.82,3,0,1.18,3,0,0,0,0,0,0,0,96,"Small","Small"
"62","86",100,0.615,1,0,1.6486345,2.44141,1,1,2.23,3,1,0.77,2,0,1.68,3,0,1.32,3,0,0,0,0,0,0,0,96,"Small","Small"
"63","86",100,0.745,1,0,1.9225024,2.44141,1,2.44141,2.49,3,1,0.51,2,0,2.13,3,0,0.87,3,0,0,0,0,0,0,0,96,"Small","Small"
"64","86",100,0.595,1,0,1.6486345,2.44141,1,1,2.19,3,1,0.81,2,0,1.64,3,0,1.36,3,0,0,0,0,0,0,0,96,"Small","Small"
"65","86",100,0.595,1,0,1.720705,2.44141,1,1.720705,2.19,3,1,0.81,2,0,1.69,3,0,1.31,3,0,0,0,0,0,0,0,96,"Small","Small"
"66","86",100,0.565,1,0,1.6486345,2.44141,1,1,2.13,3,1,0.87,2,0,1.58,3,0,1.42,3,0,0,0,0,0,0,0,96,"Small","Small"
"67","86",100,0.57,1,0,1.6630486,2.44141,1,1,2.14,3,1,0.86,2,0,1.6,3,0,1.4,3,0,0,0,0,0,0,0,96,"Small","Small"
"68","86",100,0.58,1,0,1.6630486,2.44141,1,1,2.16,3,1,0.84,2,0,1.62,3,0,1.38,3,0,0,0,0,0,0,0,97,"Small","Small"
"69","86",100,0.67,1,0,1.8216037,2.44141,1,2.44141,2.34,3,1,0.66,2,0,1.91,3,0,1.09,3,0,0,0,0,0,0,0,97,"Small","Small"
"70","86",100,0.58,1,0,1.6774627,2.44141,1,1,2.16,3,1,0.84,2,0,1.63,3,0,1.37,3,0,0,0,0,0,0,0,98,"Small","Small"
"71","86",100,0.665,1,0,1.7639473,2.44141,1,2.44141,2.33,3,1,0.67,2,0,1.86,3,0,1.14,3,0,0,0,0,0,0,0,98,"Small","Small"
"72","86",100,0.495,1,0,1.5044935,2.44141,1,1,1.99,3,1,1.01,2,0,1.34,3,0,1.66,3,0,0,0,0,0,0,0,98,"Small","Small"
"73","86",100,0.45000016,0.666667,0,1.12,1.25,1,1,2.22,3,1,1.78,3,1,1.22,2,0,2.78,4,2,0,0,0,0,0,0,98,"Small","Small"
"74","86",100,0.655,1,0,1.7927755,2.44141,1,2.44141,2.31,3,1,0.69,2,0,1.86,3,0,1.14,3,0,0,0,0,0,0,0,97,"Small","Small"
"75","86",100,0.635,1,0,1.7495332,2.44141,1,2.44141,2.27,3,1,0.73,2,0,1.79,3,0,1.21,3,0,0,0,0,0,0,0,97,"Small","Small"
"76","86",100,0.6,1,0,1.7062909,2.44141,1,1,2.2,3,1,0.8,2,0,1.69,3,0,1.31,3,0,0,0,0,0,0,0,97,"Small","Small"
"77","86",100,0.605,1,0,1.7062909,2.44141,1,1,2.21,3,1,0.79,2,0,1.7,3,0,1.3,3,0,0,0,0,0,0,0,97,"Small","Small"
"78","86",100,0.55,1,0,1.5333217,2.44141,1,1,2.1,3,1,0.9,2,0,1.47,3,0,1.53,3,0,0,0,0,0,0,0,97,"Small","Small"
"79","86",100,0.655,1,0,1.7927755,2.44141,1,2.44141,2.31,3,1,0.69,2,0,1.86,3,0,1.14,3,0,0,0,0,0,0,0,97,"Small","Small"
"80","86",100,0.685,1,0,1.8360178,2.44141,1,2.44141,2.37,3,1,0.63,2,0,1.95,3,0,1.05,3,0,0,0,0,0,0,0,98,"Small","Small"
"81","86",100,0.44000016,0.666667,0,1.12,1.25,1,1,2.2,3,1,1.8,3,1,1.2,2,0,2.8,4,2,0,0,0,0,0,0,99,"Small","Small"
"82","86",100,0.68,1,0,1.7783614,2.44141,1,2.44141,2.36,3,1,0.64,2,0,1.9,3,0,1.1,3,0,0,0,0,0,0,0,99,"Small","Small"
"83","86",100,0.63,1,0,1.7351191,2.44141,1,2.44141,2.26,3,1,0.74,2,0,1.77,3,0,1.23,3,0,0,0,0,0,0,0,99,"Small","Small"
"84","86",100,0.625,1,0,1.7351191,2.44141,1,2.44141,2.25,3,1,0.75,2,0,1.76,3,0,1.24,3,0,0,0,0,0,0,0,99,"Small","Small"
"85","86",100,0.605,1,0,1.7351191,2.44141,1,2.44141,2.21,3,1,0.79,2,0,1.72,3,0,1.28,3,0,0,0,0,0,0,0,100,"Small","Small"
"86","86",100,0.635,1,0,1.7062909,2.44141,1,1,2.27,3,1,0.73,2,0,1.76,3,0,1.24,3,0,0,0,0,0,0,0,100,"Small","Small"
"87","86",100,0.58,1,0,1.6918768,2.44141,1,1,2.16,3,1,0.84,2,0,1.64,3,0,1.36,3,0,0,0,0,0,0,0,99,"Small","Small"
"88","86",100,0.605,1,0,1.6918768,2.44141,1,1,2.21,3,1,0.79,2,0,1.69,3,0,1.31,3,0,0,0,0,0,0,0,98,"Small","Small"
"89","86",100,0.58,1,0,1.6198063,2.44141,1,1,2.16,3,1,0.84,2,0,1.59,3,0,1.41,3,0,0,0,0,0,0,0,98,"Small","Small"
"90","86",100,0.62,1,0,1.6774627,2.44141,1,1,2.24,3,1,0.76,2,0,1.71,3,0,1.29,3,0,0,0,0,0,0,0,99,"Small","Small"
"91","86",100,0.615,1,0,1.6918768,2.44141,1,1,2.23,3,1,0.77,2,0,1.71,3,0,1.29,3,0,0,0,0,0,0,0,99,"Small","Small"
"92","86",100,0.66,1,0,1.7927755,2.44141,1,2.44141,2.32,3,1,0.68,2,0,1.87,3,0,1.13,3,0,0,0,0,0,0,0,99,"Small","Small"
"93","86",100,0.635,1,0,1.7783614,2.44141,1,2.44141,2.27,3,1,0.73,2,0,1.81,3,0,1.19,3,0,0,0,0,0,0,0,99,"Small","Small"
"94","86",100,0.64,1,0,1.7927755,2.44141,1,2.44141,2.28,3,1,0.72,2,0,1.83,3,0,1.17,3,0,0,0,0,0,0,0,99,"Small","Small"
"95","86",100,0.62,1,0,1.720705,2.44141,1,1.720705,2.24,3,1,0.76,2,0,1.74,3,0,1.26,3,0,0,0,0,0,0,0,99,"Small","Small"
"96","86",100,0.56,1,0,1.6342204,2.44141,1,1,2.12,3,1,0.88,2,0,1.56,3,0,1.44,3,0,0,0,0,0,0,0,99,"Small","Small"
"97","86",100,0.625,1,0,1.6486345,2.44141,1,1,2.25,3,1,0.75,2,0,1.7,3,0,1.3,3,0,0,0,0,0,0,0,99,"Small","Small"
"98","86",100,0.615,1,0,1.7062909,2.44141,1,1,2.23,3,1,0.77,2,0,1.72,3,0,1.28,3,0,0,0,0,0,0,0,99,"Small","Small"
"99","86",100,0.635,1,0,1.7495332,2.44141,1,2.44141,2.27,3,1,0.73,2,0,1.79,3,0,1.21,3,0,0,0,0,0,0,0,98,"Small","Small"
"100","86",100,0.685,1,0,1.8504319,2.44141,1,2.44141,2.37,3,1,0.63,2,0,1.96,3,0,1.04,3,0,0,0,0,0,0,0,98,"Small","Small"
"101","86",100,0.64,1,0,1.7062909,2.44141,1,1,2.28,3,1,0.72,2,0,1.77,3,0,1.23,3,0,0,0,0,0,0,0,98,"Small","Small"
"102","86",100,0.645,1,0,1.7783614,2.44141,1,2.44141,2.29,3,1,0.71,2,0,1.83,3,0,1.17,3,0,0,0,0,0,0,0,98,"Small","Small"
"103","86",100,0.67,1,0,1.7783614,2.44141,1,2.44141,2.34,3,1,0.66,2,0,1.88,3,0,1.12,3,0,0,0,0,0,0,0,98,"Small","Small"
"104","86",100,0.615,1,0,1.6774627,2.44141,1,1,2.23,3,1,0.77,2,0,1.7,3,0,1.3,3,0,0,0,0,0,0,0,98,"Small","Small"
"105","86",100,0.61,1,0,1.720705,2.44141,1,1.720705,2.22,3,1,0.78,2,0,1.72,3,0,1.28,3,0,0,0,0,0,0,0,98,"Small","Small"
"106","86",100,0.615,1,0,1.7062909,2.44141,1,1,2.23,3,1,0.77,2,0,1.72,3,0,1.28,3,0,0,0,0,0,0,0,98,"Small","Small"
"107","86",100,0.575,1,0,1.6630486,2.44141,1,1,2.15,3,1,0.85,2,0,1.61,3,0,1.39,3,0,0,0,0,0,0,0,98,"Small","Small"
"108","86",100,0.595,1,0,1.6630486,2.44141,1,1,2.19,3,1,0.81,2,0,1.65,3,0,1.35,3,0,0,0,0,0,0,0,98,"Small","Small"
"109","86",100,0.59,1,0,1.9848448,3.05176,1,1,2.66,4,1,1.34,3,0,2.14,4,0,1.86,4,0,0,0,0,0,0,0,98,"Small","Small"
"110","86",100,0.555,1,0,1.8822568,3.05176,1,1,2.54,4,1,1.46,3,0,1.97,4,0,2.03,4,0,0,0,0,0,0,0,98,"Small","Small"
"111","86",100,0.645,1,0,2.0053624,3.05176,1,1,2.78,4,1,1.22,3,0,2.27,4,0,1.73,4,0,0,0,0,0,0,0,98,"Small","Small"
"112","86",100,0.65,1,0,2.0669152,3.05176,1,3.05176,2.82,4,1,1.18,3,0,2.34,4,0,1.66,4,0,0,0,0,0,0,0,98,"Small","Small"
"113","86",100,0.65,1,0,2.0053624,3.05176,1,1,2.79,4,1,1.21,3,0,2.28,4,0,1.72,4,0,0,0,0,0,0,0,98,"Small","Small"
"114","86",100,0.675,1,0,2.1079504,3.05176,1,3.05176,2.89,4,1,1.11,3,0,2.43,4,0,1.57,4,0,0,0,0,0,0,0,98,"Small","Small"
"115","86",100,0.65,1,0,2.1695032,3.05176,1,3.05176,2.87,4,1,1.13,3,0,2.44,4,0,1.56,4,0,0,0,0,0,0,0,98,"Small","Small"
