"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","repro_updates","seed"
"1",0,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",2.36118e+21,0.741935,100,310,80,230,80,80,0,80,80,82,82,148,68,80,80,"True",4584,1
"2",1,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",3.77789e+22,0.77533,100,227,51,176,51,51,0,51,51,62,62,114,63,51,51,"True",3241,1
"3",2,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",2.36118e+21,0.785714,100,196,42,154,42,42,0,42,42,62,62,92,50,42,42,"True",2859,1
"4",3,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",1.18059e+21,0.752809,100,267,66,201,66,66,0,66,66,68,68,133,67,66,66,"True",3902,1
"5",4,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",4.61169e+18,0.751037,100,241,60,181,60,60,0,60,60,60,60,121,61,60,60,"True",3608,1
"6",5,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",1.84467e+19,0.748062,100,258,65,193,65,65,0,65,65,68,68,125,60,65,65,"True",3879,1
"7",6,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",5.6295e+14,0.716049,100,324,92,232,92,92,0,92,92,70,70,163,71,91,91,"False",5000,1
"8",7,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",6.04463e+23,0.772358,100,246,56,190,56,56,0,56,56,70,70,120,64,56,56,"True",3561,1
"9",8,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",68719500000,0.703822,100,314,93,221,93,93,0,93,93,62,62,160,67,92,92,"False",5000,1
"10",9,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",2.2518e+15,0.763006,100,173,41,132,41,41,0,41,41,42,42,90,49,41,41,"True",2541,1
"11",10,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",9.0072e+15,0.753769,100,199,49,150,49,49,0,49,49,59,59,91,42,49,49,"True",2973,1
"12",11,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",7.20576e+16,0.777108,100,166,37,129,37,37,0,37,37,52,52,77,40,37,37,"True",2390,1
"13",12,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",4.8357e+24,0.757576,100,297,72,225,72,72,0,72,72,83,83,142,70,72,72,"True",4457,1
"14",13,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",1.1259e+15,0.792308,100,130,27,103,27,27,0,27,27,38,38,65,38,27,27,"True",1869,1
"15",14,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",4.8357e+24,0.757576,100,297,72,225,72,72,0,72,72,63,63,162,90,72,72,"True",4431,1
"16",15,"[100]CKvsINbDvmLlfzeNfQzNozNJsxHOKQPyNGHlpwPFMqJCmDMBIOGralbMEkzFIpNMmBkKIoyAFRxIrnDORmtcrpuFkDaeFrPwrxdh",3.09485e+26,0.770609,100,279,64,215,64,64,0,64,64,75,75,140,76,64,64,"True",4039,1
