genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[114]HJsGutEGxJGnsdfdpKrtqLxyrCqpJaoHjEsmErrxLlpyiciACoEggtLEsrDdCEwtKLAouoLqbHulKfamrgHbjavdssHyrKtmigoyonyAoEFvwIHBIJ",1.4641,1.21,2554,1,3,0,3,0,0,0,0,0,2,2,0,0,1,1, 1
"[118]LGjKcbueiJIcsguqahxAGaegCIonffqzrnvvdtheDdoCBAbernigozyiDwdLtilfLqIaskgAAAtKdFnLtqslltecnFvibEaucEkkpCCgbbofvGJyADuDHc",1.331,1.21,2534,0.75,4,0,3,0,0,1,2,1,2,1,2,1,2,2, 10
"[142]tLwxkyGDqEGqwBjaeaahxaHiutFtnoAbhmLxkLjLsnulvuszidxueGbHhKuvEdkwomDFHiqAeDlzGgtoEBgeBBDnKzyKszuwpdAEeulJLtbaBnKmaFfeHunduLCuCaeGfsairnhwCfFqmK",1.4641,1,2488,0.8,5,0,4,1,0,0,0,0,0,0,3,0,12,6, 100
"[118]KtfrHkGmLeHJAdgnenJfceEvBytFtiJsamGgrmCsowuBJKpAHcvDCvnybasCFcrvkoxFGFrtAFycvrBDxorJzqusIkkhAjzCFxmzkCbefmLbofpkrhBBFi",1.61051,1,2598,1,4,0,4,0,0,0,0,0,2,2,1,1,1,1, 101
"[102]mjivknKesaetLdKBwGCjnwewnwfwhuvgnzIJpoiCCpqovBFjdBGLqDuqordElbxAonoIIrrBkzuFsqhwauklcgdIvkwKoBtInxKbIo",1.4641,1,2483,1,3,0,3,0,0,0,0,0,0,0,2,2,1,1, 102
"[110]GGtHDhaJGkfanvLbuxdHnGAGFcerHFCaEBKhJLkayBfaiLFLgKFFtLHqDLGbJerCGFqfuHuBJLnqjxgpufhrjonBpbhAqFbqFhEmGgdbvqcxHg",1.331,1,2561,1,2,0,2,0,0,0,0,0,1,1,0,0,1,1, 103
"[91]tHrwFKykyGqFmtnDtEmawEItaflfGAjDtIxmcKDAKuftiKLBzcaewIxFkeiDDgCkrFBnpHosHbgsjvpwoLrKBtmFCKH",1.61051,1,2540,0.833333,6,0,5,1,0,0,0,0,0,0,6,5,0,0, 104
"[110]LsKHsGfcCKGaiDEIsukymlDBFduHFzyzFrbkyukDhmsrDbaHIkDqFIhkwxHjpukCcmHsygfEHmCAJBiwAuIyaxjfynyIvlKiJofsHomCrrhEgf",1.331,1,2500,1,2,0,2,0,0,0,0,0,0,0,2,1,2,1, 105
"[111]BJxJhKktGnChgvJiawyvwtIJerojhIGvHHkendHzhgfFxoxeiblpEaumFxIFibwAnhpvlpDmIClxjIrgFrleyeFiwxtldyljJzwIDrxGFeCIIyB",1.4641,1,2454,1,3,0,3,0,0,0,0,0,2,2,1,1,0,0, 106
"[82]JglsykrxcJseGCxCfvBitHChroBcbIfnsHdIpKlmnyfLbBAthrBfsktLmCkpcjtGanBupGudvDIBcppmoJ",1.331,1,2595,1,2,0,2,0,0,0,0,0,2,2,0,0,0,0, 107
"[90]LGaaFLuwLuGAkCpLLEvvAkIAaiLClonkhujeAfHszqdpHbaIhroxomxpLvcxKhcIAtwaumkHuHGdAFwduDzxhpKgJF",1.4641,1,2540,1,3,0,3,0,0,0,0,0,0,0,0,0,9,5, 108
"[90]JAebLtGjCJGIFbuDynIwgrjawgBgGCtCCrJJyJArAFnIzBIFokuejkuxFusqdsiFfpzDhsEoieFbCfapFmjBCyBqfF",1.331,1,2505,1,2,0,2,0,0,0,0,0,1,1,0,0,1,1, 109
"[89]KKGqwLGbKpnpjIqJAFkzJwfnIiHhwdsiHEhLbgpELuKFgAhdcLBGFLnchacinxLLpBeufxDrfcancHwgbpJsFaafx",1.61051,1,2525,1,4,0,4,0,0,0,0,0,0,0,4,4,0,0, 11
"[104]JGqLvsfGLwiAkCAmBFtcyhecowuKBzfKEzzAkbuEtnzpcvyjExAHtesFsnJEaaaBxLAHApJxHfwqdtHcdbFwlIHfiKAihtCocpugrJLw",1.21,1.21,2532,1,1,0,1,0,0,0,0,0,3,2,0,0,0,0, 110
"[103]LsqmwgEGEsgmBGpuilrkLuzAtBmDIaFhplGbbFLFGbCnzpvrlawDaavKKJsJeGwlmquppzLaHeGArInzyewekEfewDABtIKAcfflIBc",1.61051,1,2491,0.833333,6,0,5,1,0,0,0,0,2,1,2,2,2,2, 111
"[107]KGEDhJecawuFikoeDGafpporwmkGjnCjKHkJnaKJwnlsBAhjDtuHHyEixbIfJCgEEqjDGtuJbHzoeuzxHyKtntHtmcLwpJzCHcoHFdDIlLk",1.331,1.331,2584,1,2,0,2,0,0,0,0,0,1,1,1,1,0,0, 112
"[99]KGflGqAiJqlvwEHFLFcyKgGHBtafsinHIlCfulnxqIgjdAocbAlBadxopgJiApCpGbmILBJepCebuFmkbapmsmdeswHKhbDkipc",1.331,1.1,2553,1,2,0,2,0,0,0,0,0,1,1,1,1,0,0, 113
"[78]JvGwllwJmGBikHDpLEvjKGxoBuaziqzpJsGGJbLoiFJqGfxdhlLLunBngiLtloweggJzoGoKisdyDh",1.61051,1,2558,1,4,0,4,0,0,0,0,0,2,2,1,1,1,1, 114
"[88]JHicgcxdetbhGJhaprJniCgxjdJtEgzEdAvleFhbwqrvEJobrujlbuguCsHeCGExKbEmIvAjtIycqemrdDjuuLAp",1.4641,1,2493,1,3,0,3,0,0,0,0,0,3,3,0,0,0,0, 115
"[58]pCHDFaHroDvacbfbcffadIudbIlEwfcceaecdJHDJlJhuvHfjsgdtnsahx",4.85164e+09,334.93,2786,0.607771,1081,424,657,0,424,424,848,424,657,657,0,0,0,0, 116
"[93]LGqzqJhgBxGrHHHpBrELljbAyBvehBnduxogabJjcgjGojvIKDBdlIlhDupqdbHFHiHIuLyzJsysudwCuFIzvirJAgwsy",1.21,1,2464,1,1,0,1,0,0,0,0,0,0,0,0,0,3,1, 117
"[100]KGvqkkxoBsxxBrugAexLwvgEoCpcaCpetopogJfmxaCzzbbfdchFJtkDzAdddjEbsoDEhDnjzbsFuIloyIpzAyDhEKCyJpzpJqyj",1.4641,1,2564,1,3,0,3,0,0,0,0,0,1,1,1,1,1,1, 118
