"","X","depth","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","frac","lineage_classification"
"4",4,0,"Learning",16,0.995198848125,1.47105942861603e+28,"Learning",0.08,"Small"
"9",9,50,"Learning",2,1,1.99649845911161e+26,"Learning",0.04,"Small"
"14",14,51,"Learning",9,1,1.84978729953702e+28,"Learning",0.18,"Small"
"19",19,52,"Learning",3,1,4.13799114377445e+26,"Learning",0.06,"Small"
"25",25,53,"Learning",3,1,4.48507591199999e+28,"Learning",0.06,"Small"
"31",31,54,"Learning",4,0.9861803,2.19239017729806e+28,"Learning",0.08,"Small"
"36",36,55,"Learning",5,0.999570706,5.02197383549916e+27,"Learning",0.1,"Small"
"42",42,56,"Learning",7,0.991627615714286,7.3992839669735e+26,"Learning",0.14,"Small"
"48",48,57,"Learning",4,1,1.13010562592515e+27,"Learning",0.08,"Small"
"52",52,58,"Learning",5,0.998105038,1.41892349169311e+28,"Learning",0.1,"Small"
"56",56,59,"Learning",5,0.999046548,7.72385345576447e+23,"Learning",0.1,"Small"
"61",61,60,"Learning",11,0.995047766363636,1.52628564070392e+28,"Learning",0.22,"Small"
"66",66,61,"Learning",8,0.9964377575,8.08202010833127e+27,"Learning",0.16,"Small"
"72",72,62,"Learning",9,0.987748254444444,1.51898910897973e+28,"Learning",0.18,"Small"
"76",76,63,"Learning",14,0.996518946428571,8.46055766902497e+27,"Learning",0.28,"Small"
"81",81,64,"Learning",13,0.998468929230769,5.62850617237187e+27,"Learning",0.26,"Small"
"85",85,65,"Learning",8,1,4.76248637297991e+27,"Learning",0.163265306122449,"Small"
"90",90,66,"Learning",4,0.9852772125,1.05768042168995e+28,"Learning",0.08,"Small"
"95",95,67,"Learning",10,0.996500799,2.44751324474689e+28,"Learning",0.2,"Small"
"100",100,68,"Learning",14,0.999221016428571,1.95899575674738e+28,"Learning",0.28,"Small"
"106",106,69,"Learning",9,1,7.95737189656896e+27,"Learning",0.18,"Small"
"111",111,70,"Learning",10,0.993637058,7.34862814209668e+27,"Learning",0.2,"Small"
"117",117,71,"Learning",8,1,3.45698599912434e+22,"Learning",0.16,"Small"
"122",122,72,"Learning",12,0.998866251666667,2.02623631960537e+27,"Learning",0.24,"Small"
"128",128,73,"Learning",16,0.996248503125,3.67107844022225e+28,"Learning",0.326530612244898,"Small"
"134",134,74,"Learning",7,0.999833731428571,2.36243175033132e+27,"Learning",0.14,"Small"
"139",139,75,"Learning",5,1,1.91781664547792e+24,"Learning",0.1,"Small"
"144",144,76,"Learning",12,0.998530490833333,8.50989600807836e+26,"Learning",0.24,"Small"
"149",149,77,"Learning",6,0.998484456666667,1.81548453880705e+28,"Learning",0.12,"Small"
"154",154,78,"Learning",8,0.9986704825,1.35665416687899e+27,"Learning",0.163265306122449,"Small"
"159",159,79,"Learning",12,0.999320426666667,6.77468380967228e+27,"Learning",0.24,"Small"
"164",164,80,"Learning",16,1,7.17041637635217e+27,"Learning",0.32,"Small"
"169",169,81,"Learning",12,0.996265383333333,3.50212889698762e+27,"Learning",0.24,"Small"
"175",175,82,"Learning",9,1,7.07534365244922e+25,"Learning",0.18,"Small"
"181",181,83,"Learning",19,0.99990633631579,3.39867861389908e+27,"Learning",0.38,"Small"
"187",187,84,"Learning",8,0.9990988325,6.59526457115399e+27,"Learning",0.16,"Small"
"192",192,85,"Learning",13,0.999805706153846,4.63420261678816e+27,"Learning",0.26,"Small"
"197",197,86,"Learning",7,0.99765813,2.86217128326409e+27,"Learning",0.14,"Small"
"202",202,87,"Learning",14,1,7.05187977617459e+26,"Learning",0.28,"Small"
"207",207,88,"Learning",14,0.995126305714286,1.07072416642153e+28,"Learning",0.28,"Small"
"212",212,89,"Learning",9,0.999862461111111,5.44087593353521e+25,"Learning",0.18,"Small"
"217",217,90,"Learning",15,1,1.42330322449134e+28,"Learning",0.3,"Small"
"223",223,91,"Learning",17,0.996830974705882,7.26659387815502e+26,"Learning",0.34,"Small"
"229",229,92,"Learning",12,0.999229171666667,9.40359419092038e+26,"Learning",0.24,"Small"
"234",234,93,"Learning",17,0.999019116470588,3.73972656795216e+23,"Learning",0.34,"Small"
"238",238,94,"Learning",20,1,5.86602480716574e+27,"Learning",0.4,"Small"
"243",243,95,"Learning",18,0.999757107777778,4.85067966534595e+27,"Learning",0.36,"Small"
"247",247,96,"Learning",17,0.995161051176471,6.8942539412903e+27,"Learning",0.34,"Small"
