"","depth","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","frac"
"1",0,"Bet-hedged error correction",2,0.7213823025,7.23785685138168e+21,"Bet-hedged error correction",0.01
"2",0,"Bet-hedged learning",15,0.959686290666667,1.29635740268542e+27,"Bet-hedged learning",0.075
"3",0,"Error correction",140,0.809010700642857,1.45131323127566e+27,"Error correction",0.7
"4",0,"Learning",16,0.995198848125,1.47105942861603e+28,"Learning",0.08
"5",0,"Low activity",24,0.924647054583333,12.4387586958333,"Low activity",0.12
"6",0,"Mixed bet hedging",3,0.887812083333333,7.09119182648092e+26,"Mixed bet hedging",0.015
"7",50,"Bet-hedged learning",4,0.9788353,7.12367769929663e+27,"Bet-hedged learning",0.08
"8",50,"Error correction",42,0.814810096190476,3.3459190234069e+24,"Error correction",0.84
"9",50,"Learning",2,1,1.99649845911161e+26,"Learning",0.04
"10",50,"Low activity",2,0.934547995,24.09349615,"Low activity",0.04
"11",51,"Bet-hedged error correction",1,0.80429537,12593055780000.2,"Bet-hedged error correction",0.02
"12",51,"Bet-hedged learning",1,0.98763943,7.04340526112247e+27,"Bet-hedged learning",0.02
"13",51,"Error correction",36,0.814371223055556,6.04556436917885e+25,"Error correction",0.72
"14",51,"Learning",9,1,1.84978729953702e+28,"Learning",0.18
"15",51,"Low activity",3,1,5.7998357,"Low activity",0.06
"16",52,"Bet-hedged error correction",1,0.84171221,2429904937900.33,"Bet-hedged error correction",0.02
"17",52,"Bet-hedged learning",4,0.9623429775,1.483722305354e+22,"Bet-hedged learning",0.08
"18",52,"Error correction",37,0.812361453783784,4.59789042868619e+23,"Error correction",0.74
"19",52,"Learning",3,1,4.13799114377445e+26,"Learning",0.06
"20",52,"Low activity",4,0.9494711375,18.094765825,"Low activity",0.08
"21",52,"Mixed bet hedging",1,0.90698386,1.06906143777431e+24,"Mixed bet hedging",0.02
"22",53,"Bet-hedged error correction",1,0.68655866,15793769000.17,"Bet-hedged error correction",0.02
"23",53,"Bet-hedged learning",3,0.888694203333333,68921755438789926912,"Bet-hedged learning",0.06
"24",53,"Error correction",36,0.805028575,1.60272888624885e+27,"Error correction",0.72
"25",53,"Learning",3,1,4.48507591199999e+28,"Learning",0.06
"26",53,"Low activity",4,0.96972809,5.4149824,"Low activity",0.08
"27",53,"Mixed bet hedging",3,0.938583946666667,3.17180883484687e+28,"Mixed bet hedging",0.06
"28",54,"Bet-hedged error correction",1,0.7863339,3.61392973969563e+24,"Bet-hedged error correction",0.02
"29",54,"Bet-hedged learning",1,0.9629488,1669186.7977164,"Bet-hedged learning",0.02
"30",54,"Error correction",38,0.81675812131579,3.27005208403239e+27,"Error correction",0.76
"31",54,"Learning",4,0.9861803,2.19239017729806e+28,"Learning",0.08
"32",54,"Low activity",4,0.93163477,17.845176675,"Low activity",0.08
"33",54,"Mixed bet hedging",2,0.920376395,1.68076316721013e+25,"Mixed bet hedging",0.04
"34",55,"Bet-hedged learning",2,0.961292225,29729040721001226240,"Bet-hedged learning",0.04
"35",55,"Error correction",40,0.813781283,4.7893607595778e+26,"Error correction",0.8
"36",55,"Learning",5,0.999570706,5.02197383549916e+27,"Learning",0.1
"37",55,"Low activity",2,0.95255094,48.757931,"Low activity",0.04
"38",55,"Mixed bet hedging",1,0.9222667,1396994261909799936,"Mixed bet hedging",0.02
"39",56,"Bet-hedged error correction",3,0.839504186666667,31271829080198700,"Bet-hedged error correction",0.06
"40",56,"Bet-hedged learning",2,0.8345827,9.02156848031015e+21,"Bet-hedged learning",0.04
"41",56,"Error correction",32,0.815942215625,3.89627151035579e+26,"Error correction",0.64
"42",56,"Learning",7,0.991627615714286,7.3992839669735e+26,"Learning",0.14
