genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[103]gzCxbLhqcpqgqApwHcbcvAdibvrGqfmrtnHwsrxeneLeKKtKGCkelharFigsdJrAHHhGoCsvKHEoJdsGdhHpeDgFxoJuLJxysfAboDG",11,6,2632,1,10,0,10,0,0,0,0,0,16,15,5,5,5,5, 121
"[61]nEvHbGhlkyEmfgouzbDaDFykfcsnHBanDzKpAxkpEwhnDvLEGoewrBcGHcocJ",11,0,2766,1,10,0,10,0,0,0,0,0,7,7,1,1,2,2, 122
"[64]piAisBviaHxGriaHcrpnoKqnBJqfLmaCadlIKwHfqDguxEarrhHKsyjHDxBzefEd",27,5,2633,1,26,0,26,0,0,0,0,0,20,20,7,7,3,2, 123
"[53]wxwFcowEjwGyooGgjpbCbEjnuHwGEaBoKoLvJvumGqAftdBFhHCgk",8,1,2670,1,7,0,7,0,0,0,0,0,5,5,1,1,1,1, 124
"[100]arwfqDAmlnateohAosKFjuidsJCJrwABBavCGjIyygepyafhinKnsgHGEoJeqheroAuikiHLvokgliAoDsrsCAibAkvCEjesjpfu",6,6,2596,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 125
"[47]HxlHAFiBJyxhyHcoKopytzoyrzctEAugtkBiHlcioLGhqzd",48,10,2910,1,47,0,47,0,0,0,0,0,29,29,9,9,9,9, 126
"[81]onsngskxioceEnDydpeajrqIqLHoDefrmKHqJqAjnCrxuroCAifAzenlxhpijtBlIjLdcxIrbJIteBbfp",330,89,2719,0.795332,557,114,443,114,114,0,114,114,189,189,254,140,114,114, 127
"[96]eEvjvcrqjsprecfFxCfAywwfFrpGvmlcphmudbymLJwpcugCnrhGdjetBDrEutcvoJHnKHssusFxfoIawjxlxopLmdHgohHG",50,14,2781,0.915254,59,5,54,5,5,0,5,5,35,35,17,12,7,7, 128
"[84]zoerwxiBveuHyzFlmjkzztzJntuppcAetHyHcAoKaxocJsbGAAHkzEueyDexLamyEAyGfFElrpGpHHziDqyB",6,6,2625,1,5,0,5,0,0,0,0,0,24,24,6,6,0,0, 129
"[96]zGHGoJqgnknxkvmdJlKooqfFApvrLpAnLipJerbavpagqgkibEEBlrwjKHkBpdHCqeftiLvaqqwvapKsptnFCglGGLBLLGnv",5,5,2541,1,4,0,4,0,0,0,0,0,7,7,0,0,0,0, 13
"[109]HJcGfHoqyzKGsigHoJGeGHFLtDioduxpKDzCIjGiyJvignCpomdfpDCcctoFdbqyvovAsFJeBCgbIByHGFoddmwnivKColnAfddziGDlidKqf",7,6,2613,1,6,0,6,0,0,0,0,0,4,4,1,1,1,1, 130
"[47]ffoBsHyozsGBvoyGuoKFJotGqCIfIxBwepKDqvzdjfeKwds",6,5,2744,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 131
"[94]vcCKygGlroFlKKhnLDwegCojayjplCIdzGmwfcqtbCGoKpvyyJLgLsomAmazDycqyiehojrkAJcHoCKzmGHoJLJLvGqKmH",9,5,2543,1,8,0,8,0,0,0,0,0,5,5,1,1,2,2, 132
"[77]rjEvbdHEHlfAicoHcocJHnLHAttxftbakeEnEntcfsxunaDeIpfceLKDgwurmaJKnaIGpyoogkkHm",176,57,2794,0.767584,327,76,251,76,76,0,76,76,116,116,76,76,135,59, 133
"[79]DbdGtfGzjGwwiEkpLFdHgdGoJncqKCqBFtqIHlkoIcIGitCwCHlAvJvJCKKidrcGJAvCxmbgFtnrnHd",8,8,2683,1,7,0,7,0,0,0,0,0,5,5,1,1,1,1, 134
"[118]zjtmeoIxoKvywHczoLBHveqDJxcCFykfkgEndpaDkFrkJsrisdGqpLleunFDEBfCiEKBLyhFzCaKxLbAwylbmjrsyyqHiKecyiunovpJasDiFwmanziKgH",218,108,2671,0.777494,391,87,304,87,87,0,87,87,116,116,87,87,188,101, 135
