"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","seed"
"1",0,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.9,0,47,1,0,0,1,0,0,0,0,0,0,1,0,1
"2",1,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",1.9,0.5,47,2,0,1,1,0,0,0,0,0,0,2,1,1
"3",2,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",123,1,47,122,0,122,0,0,0,0,0,52,52,70,70,1
"4",3,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.9,0,47,1,0,0,1,0,0,0,0,0,0,1,0,1
"5",4,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",2.6,0.666667,47,3,1,2,2,0,0,0,0,3,2,1,0,1
"6",5,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",1.6,0.5,47,2,1,1,2,0,0,0,0,2,1,1,0,1
"7",6,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",121,1,47,120,0,120,0,0,0,0,0,63,63,57,57,1
"8",7,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",1.6,0.5,47,2,1,1,2,0,0,0,0,2,1,1,0,1
"9",8,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",191,1,47,190,0,190,0,0,0,0,0,93,93,97,97,1
"10",9,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",152,1,47,151,0,151,0,0,0,0,0,74,74,77,77,1
"11",10,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",194,1,47,193,0,193,0,0,0,0,0,100,100,93,93,1
"12",11,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.9,0,47,1,0,0,1,0,0,0,0,0,0,1,0,1
"13",12,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",2.9,0.666667,47,3,0,2,1,0,0,0,0,0,0,3,2,1
"14",13,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.9,0,47,1,0,0,1,0,0,0,0,0,0,1,0,1
"15",14,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.9,0,47,1,0,0,1,0,0,0,0,0,0,1,0,1
"16",15,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",1.6,0.5,47,2,1,1,2,0,0,0,0,2,1,1,0,1
"17",16,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.9,0,47,1,0,0,1,0,0,0,0,0,0,1,0,1
"18",17,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",151,1,47,150,0,150,0,0,0,0,0,84,84,66,66,1
"19",18,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.6,0,47,1,1,0,2,0,0,0,0,1,0,1,0,1
"20",19,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.6,0,47,1,1,0,2,0,0,0,0,1,0,1,0,1
"21",20,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.9,0,47,1,0,0,1,0,0,0,0,0,0,1,0,1
"22",21,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",151,1,47,150,0,150,0,0,0,0,0,76,76,74,74,1
"23",22,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",122,1,47,121,0,121,0,0,0,0,0,63,63,58,58,1
"24",23,"[47]sHoKlHcGjbbdoJlcqAiAAIJEBxcIFmAoHgrHHGJeaxvqByw",0.9,0,47,1,0,0,1,0,0,0,0,0,0,1,0,1
