genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[91]PdtdOkyntycNccfuLBwwHPcvPzbQaMBeLRKNCRbqPkewOnGaEucaPIdJlJDFuDuDGDsgHQBLhcKucHDbfILmQGyohxO",1.06338e+37,5.1923e+33,103,124,1,3, 124
"[88]xrAbtHMfvBINQMlnLBwHRcLePkaEaeLRcKNCRbqocORcuycExPGPIJlJDtukODBmltQKMtyrdjAwPHHkcFNLMcmu",8.50706e+37,1.03846e+34,315,128,2,1, 125
"[87]qygwwiSOHlbSINSccyLBwwHzcNjnbaiaeLRKNCRbqPkdOoGsEPcxPIJlJDzlbqGQcpHnqqCiKjbOLmoNDHMMxdd",6.64614e+35,1.03846e+34,116,120,1,3, 126
"[87]rOgzSbwuhOIMRccfuLBwHPcSjbLiaeLRKNCRbqPdOwblEspxoGPIAJlJDiguaEOKLjhJqLeSPuKIbyNampJhEdc",5.31691e+36,5.1923e+33,103,124,2,1, 127
"[89]dgzDsHxzutOINScAyuLBwwHPcQgebaiaeLRKNCRbqOpNQONGsEezPIAJnJDufuaGDKgkrgqnbKjueHjBODeMRcldN",4.25353e+37,1.03846e+34,82,126,1,3, 128
"[90]NygzybHutOINScchuLBwwHPcNrebaifrLRKNCRbqPkOwOndsEpcGPIwJlJDmgqaGAKLkQegsbKjuBKawFDmhMEhfdu",1.06338e+37,6.49037e+32,49,124,1,1, 129
"[85]PiShLEHadhGIDchAzjLBsHPwyjrPmPjALOKNCRcqQrwlwPGEwcPIAJJDIfIMmpyxLNjzFIfmeJoAdlvJnyOIb",8.50706e+37,1.03846e+34,339,128,2,1, 13
"[86]qygzSHufvuopkwcOuLBixHPbNjeaiayLRKNCRbqPkcOufdEMPGoIaJJDDJrsADKGGMqQvKjuNebwEDmMShhpdB",4.25353e+37,5.1923e+33,112,126,1,1, 130
"[88]EygzzbHutOINSOcBuLBwwHzcNjebaiaeLRKNCRbqPkOwOoGsExcPIAJlJDuguaGSKLkQhqPbKjueKbFDDmMohxdu",8.30767e+34,6.49037e+32,45,117,1,1, 131
"[89]qygzSbHuROInSccyuLBwwHPcNjebaiaeLRKNCRbqPkOwOccsExccPIAJlJDuquRGzIIJQiqJaKjueDbcNDmMJhxdu",1.32923e+36,1.62259e+32,49,127,7,3, 132
"[89]qygzSEHutOINSdcDuLBwuHPcNjebaiaeLRKNCRbqPkOwOaGsExcLPIAJlJDuguaGDKLoxqJPbDjueKbwNDmMJhxdu",1.03846e+34,2.02824e+31,27,114,1,3, 133
"[92]qykAzjbHPetvINhcFcyuLBwwHPcNjebziaeLRKNCRbqPwOwOaGlEscePIsJlJDnguaGDPLLtqqPbljuejbwNDPMJhxdu",5.31691e+36,3.24519e+32,58,123,1,3, 134
"[90]qxygzSbHuFxIrSoccQLLBwwHPcqjebaieLRKNCRbqPkOROoGsExcPIzJlJDqrPaHDKLkAQqRcbKjueKbwNPmHjnxdM",4.25353e+37,1.03846e+34,59,127,2,3, 135
"[88]yyBSbHPtnOIoqbcauLBOwHPcNjlbaiaLRKNCRbqPbOwdoGsExcmPIAJlJDugLaGDbqmQqjyxFjueKbwcnfmnhxdu",5.31691e+36,1.03846e+34,93,123,1,1, 136
"[91]rygzSvHIBODpAFcGjLBvwHPcpjePaiaeLRKNCRbqPswtaPhFEacPGPIFJyJDtCuyPDKLQQNqPnKjuASmkwNDCxfhKRe",8.50706e+37,1.03846e+34,121,128,2,1, 137
"[85]qdguhfHStclIswxLPuLBgwHPfeiebajaeLRKNCRbqPfGQHEEuoGPIJJDugxvHDnExuoFPEsrqreKGENNvjnOl",1.70141e+38,1.03846e+34,216,128,1,1, 138
"[84]QatywBHHuAjEOQvRuNALBwwHPNcebaiaeLRKNCRbqPbkctEoGPIJltJDuKuMFJKBkQrhbDieGNkwkSMjhndL",5.31691e+36,5.1923e+33,175,127,5,1, 139
