genome,merit,merit_given,gen, seed
"[94]HtzBIAeLupivLqFGdtBypaFcaGwGdsvdAeuEzyharHulrzvkmkavdyvfLBFFfoKCarLostpJvLeCcHJqDLkBdceGGbHgFx",524288,262144,4136, 1
"[117]dscauhgALchijGAnEfnBwtAFcmlsHLdlAuAEyigEdFpadstCdcxcLLBoKbBfgjnGlCjkBsvoysrBBwxwimkyBFpsobslDvdHnekDBvvlnxxEDKjEADBHf",262144,262144,2987, 10
"[100]spxvAwdvwmrmHLcIocHJKocCjcedDtcuBmfHusBgApgtecsythBfcjKoptidHldpLCcsHcpphdbLJexGzhrkwHEGdjecGzsiLiBw",2048,2048,2793, 100
"[65]foGsllbxcyGhdHprLzIoHqBDxAcznuoqHuJGDvzrqdoJiydclvwDLegafFdjhpBGI",32,4,2664, 101
"[95]rHkheLuFBGnIgLcCphjursdwCFEFzvushAwBHqAnuGmmhihjqdsDjcnjkhtFzrcEGDiiapghytGyveLktjFmnkbElljwrLk",32,8,2565, 102
"[86]tjcyypeArtpwiqxzsdvfbcwtDDjoickvwBuDDqAcAdqLDrAzHvuIqHznasiizamjhsGlLzmpKkhejFymuoaKzp",524288,262144,3886, 103
"[43]nLAjDdagcFLAjhkzvzHmpDEyoEbFLcIrvLGqGrvmHmE",32,32,2611, 104
"[58]xEoIDoJrCvFxGoeAIEwndhqLEHDrCBbygHLEacAdyvxHEArdluLBoKGscL",1.80144e+16,1.80144e+16,2918, 105
"[88]pqalgFoJuLHoElddiLyuBcohvoIHpplrarpdkpmHaFdjfvLDbaoHmoaGKDuhiKlFHHHmJfmkLyzALCFfmDlFEapa",65536,2048,4396, 106
"[61]dLoAguzpgniBtasyullhGveiCoklHwvwdkxbeHnofiyEEbBcttuLmjAlnIAsc",32,32,1886, 107
"[74]pffgzGEHyDevxIHroaAkkDkJkjHfxwocHLcloalqayDaerGriGvxfrArpbdxEFgJmKdgmFtvxK",262144,262144,2116, 108
"[86]ahtovrffLvoHubFbaousgIFHqBgKfHEgAGDLkAsuIfzuGlyifbjvDatDwKBDGseJqsdApebvrJDbqHfeHFmHlw",2048,2048,2607, 109
"[48]rwvsndHlebjibdEgFoIoGmdhhgcdEyAAeaupcpfrbkkLBgoK",4.1943e+06,2.09715e+06,4041, 11
"[43]ubEiaubAymGBLlgnryEtAkpvLzHzoaqdGalLcIacHcw",32,16,2486, 110
"[88]dLAHIxLiinzcLyuLvsxceycHnmdGnuLcLsktidBcfxFfhumzdcxALgbratiuuFtekFdpsoeKhdronlqHtAqhDEfJ",262144,524288,1088, 111
"[77]lHdidFLAGoDsgAueatDLpspaydFbjFmIawexwjEwDqorHxLArCLjCIzzwzfKsaEHHyJrrdlxAgFGc",256,32,2903, 112
"[97]HkrcaecbtLyhtyrekemjzdBcoecEtiLdyjxfmyvAikkvnnGwocIxxbCcvdelEGArEvmrccaBFtzemvAyAlfcbHcfLctoKtrpm",131072,0,527, 113
"[99]dnHDBfkmhgymggshkaIhfLcHEHjAHHfKnBoHJmiHglHzKhkHvjbJHHAyEkilFxDdfhwEnwJAkHrKcxGajCednaiEmLrByIuiyxw",4096,4096,4872, 114
"[69]kjAxpesEvmpKFBaalcbpeoHlLholcneKLixbnpJeDvabttdFCsFLaDnCEGvriIJBwDbzJ",3.60288e+16,3.60288e+16,4331, 115
"[76]jjsjLnadxjvzickkmlAryybFEgsEeHFDgCjHoJdxbeEludCxhrJCwDeicoGocpIncBLcoKwyldig",524288,524288,3392, 116
"[85]pFhLLiELoDvwKbjmjnlHFbsogDzLEqpEEpjjCpgKfkuwHBEbqngjJarApnijGxltLbdenhBvkmGnBFzFofuxx",262144,262144,3566, 117
"[76]BHFFALGsklBultaEroIhLowDxEJhbqtsyDLpkfobwnaKerpcvFtoJyiDtvJepCiBizHLGwtpLdlF",6.71089e+07,3.35544e+07,3946, 118
"[56]DmAkrHILGcHxHFHoFpxFrfHtcoEBdzxBKHbzbJfmHHofvGhafcCigoLl",2048,2048,4665, 119
"[105]FqDghgwLDxExtinpfJGDmwvGiBHHyHptxdGuihiDlhadvjnyjfcbDjnakgdtmoxmyyswpiflFLoCoJrsigldKFibryCvJuomDKsIyrKJF",3.35544e+07,8.38861e+06,3512, 12
