genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[121]acjsHlFnKowhGyHhoJmCyplhuHJrmgpyldyvxFBJGqzaFlFDkmeaFJvcDrIaBGHEAkufjelcGnzaEyJAhxudFtbotCJiLhvyrtgLptdvhhAihtpytobEgriHb",86.4976,38.4434,2130,0.923077,13,1,12,2,0,0,0,0,9,9,21,11,0,0, 1
"[105]palFvlniHAeoJcarhfKfnHlzFcovGCaxAprLwzCxfBvclfyGIIuxtcnCAHanvfssBoxcDvmxKhLmIAiCxmGnaoBygwKzpFfBmtdAvDKkz",86.4976,2.25,1334,0.916667,12,0,11,1,0,0,0,0,4,4,15,11,0,0, 10
"[94]GGngerHDkhDloJHoqLlobeogidqheLugbhFGvtjyImGrqqmDtHmJdlEGIFloJxiKwnxlFcleEftzEnqwEtdgfgcpyIHDdf",2216.84,1.5,747,0.95,20,0,19,1,0,0,0,0,12,12,0,0,9,7, 100
"[113]LGdGuqKgmrywABrmaLgupswkDGolCqKcJygFlwHvBBFfvndwIvbvDmCAvmtjyGcBAnwrikFGfwnlFefBBEIvffbqxdFHJfytCApnnjFIJGCBLyuwl",5.0625,1,2483,1,3,0,3,0,0,0,0,0,0,0,1,1,2,2, 101
"[95]lFoJHGHoFoCHKHEhGCrvaaHbDteuGdwrcjdhosnxBgzCGxemGDufrcExDCrFsHtEKAezwIedJhLIiidFwwLkzHeslCmLczL",437.894,3.375,2281,0.9375,16,0,15,1,0,0,0,0,7,7,9,8,0,0, 102
"[108]heHmABmoKqkAdJjFrHqxiEGjmbIeqvcmmazvcghoiBIIjADJtentrqoqKnrztzpdiuugyIwwyAGfdoBurLyAaJCvuFEzzfzsjIkCupdgjynp",2216.84,2.25,1180,0.952381,21,143,20,2,142,0,142,142,8,7,14,13,0,0, 103
"[96]LGgHqxbxnFeJloGIodtrmcppFueJEzayClAesigubjrEfdwCDLsedvoompGogrIJywnJngeduoEuyFdjDrBudtaoaJtbAdEk",2.25,2.25,2522,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1, 104
"[121]KGqnAEntotKexoGIBExBggJqBBsEfAdxbkbmAHoFgegrIBxbudoaAckicloIFtdeymcKwAKAEylqdFHzifhkdgbjwJjkiwIlKdKxbtLxwDakIGHrJvglidEjq",2.25,1,2542,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0, 105
"[88]svgpvlreFgAkdHHoJoCHrKFEGCpFoiprnnHLIwCIlyuElnBtELeIvfjHDfFGuCwFEKzHLLpBgxkulfsnqozqDfGy",38.4434,3.375,2271,1,8,0,8,0,0,0,0,0,7,7,1,1,0,0, 106
"[92]lsHoJhoCnwLFgEGCihkEFrhKGorjlqHtEvvLnHqnErvjLnrsIhKbaiCFJEJrIznBgbwHiFwHdrJdkbzzqIJpDrgKKDgi",57.665,1,2388,1,9,0,9,0,0,0,0,0,7,7,0,0,2,2, 107
"[98]KtfdmKdcsyKcudtpnhDenupIsGCxxeJtxmlLfmameeAjrygGgbDKrrxhuufJmdeihcBDojFxsFcjccvvrCzIDdltiKikuKqhsn",5.0625,1,2474,1,3,0,3,0,0,0,0,0,0,0,9,5,0,0, 108
"[103]KGcDiLzrBkhEAmqvtKnrltIsbAsqwEozwEqiAkLlgAbGsBjqFJKqptfsDcapHklcsELvrmtnFdpFKweuEpBgxJjGcmcyhaaKkHEctLJ",3.375,1,2532,1,2,0,2,0,0,0,0,0,0,0,1,1,1,1, 109
"[93]JGebkiCjxEpkkkLaLmfrxKliLscxIjBqBvwhDlnjxcqAjHGAtFqmzaynEJnsDtlijyBczLlBAEqvqwfosdGeHuwtDCseD",5.0625,2.25,2553,0.8,5,0,4,0,0,1,1,0,1,1,1,1,2,2, 11
"[89]JfAKbswGfrfLvGCoGhnjmecgkaAIsFrxaIfbAofqpJbrksmdwwvjtjdaCbbsAJCxxKbFIBHBIcwKGFLoBGmBjuekc",5.0625,1,2423,1,3,0,3,0,0,0,0,0,2,1,2,1,2,1, 110
"[83]LGGErwsGuFaCtkaHFtEffEAxkLuAyisfwyBsszompncLBHjcHlmmbeptspsAtizltGCJrJwqgoqkGxErmlA",3.375,2.25,2615,1,2,0,2,0,0,0,0,0,0,0,0,0,2,2, 111
"[111]zEHGBoKqJyciHkbBolgAqikqorLELmnfCdLAkdvkFmmrmmwbpBhaniDFlctIBEHuksmyEJEFtpGostEbpjEiomeblAbsaIGxmpLlpzwypAlcycL",437.894,1.5,1135,0.9375,16,0,15,1,0,0,0,0,7,7,9,8,0,0, 112
"[120]gnCdxHoJoCGAsdKCdGhvkwxhvGCKfsJoFsIftLCBqfeqvKznoCfbftrLyoIyvBckADtchoLjwHoisHBshJDnimvpfwGHjBsrbikEnuptEBzJFesszlKnduLe",25.6289,2.25,2398,1,7,0,7,0,0,0,0,0,7,7,3,2,0,0, 113
"[96]HopLhoJienHenGCeEAajymfmmBboHtovKjkLLcaqHIdFbBnthHGDjgfKbwKzeEKtzHxbubLLlequxaupcbohpLoxgHafiBCa",38.4434,1.5,641,0.9,10,0,9,1,0,0,0,0,10,10,0,0,8,5, 114
