genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[86]xHQaOEwcwEtcRKEeDMqJhQdrHrnDulpucObOmHQdLdNcpRDrPGuApQPlAJONlMOQNsHmdRLHmbMyoaaGRqooPI",1.18305e+29,2.53794e+12,915,0.757095,8950,2173,6776,2174,2173,0,2173,2173,2258,2258,2173,2173,4519,2345, 117
"[94]BjjOqdcexaoGCbFaARdcLudgvOptwcuRjwsfdnomHMOfljQfKrvPxrgwHcycMcKeQMHNJaNqdOgxalPIoRcrgfbeRPyxbP",1.18305e+29,1.19851e+10,751,0.819742,7223,1302,5921,1302,1302,0,1326,1326,2101,2101,3289,1963,1984,1984, 118
"[81]NoiiulEMFFcbDNRByEMpvoQQDnePuNJHbSKHPDqRmJCIDkcxCyLHqobjmMhCRiLpAOouFAugFnAGGNNIl",1.18305e+29,3.0124e+19,2552,0.748224,5632,1418,4214,1418,1418,0,1418,1418,1392,1392,2823,1405,1417,1417, 119
"[95]cskNtacwccioqNcKISpDcPLfcujRdtoJtgbgccHfNdceHxNchcvMvoDNJwePGOiQcshfceOdzcvyHOKtkRNpHRhHBtBNzdH",1.18305e+29,1.74406e+11,360,0.772152,553,126,427,126,126,0,126,126,172,172,256,130,125,125, 12
"[107]sgidHwcfcPIRfKHiFaSqPHnkmRcvrJqyeQhaSzkzQkDbObkShFMSoNqMvODDgubbLelbuueEkzLsvQqayBcCgFlAiClwPNpqIoRsOCbLJDu",1.18305e+29,1.87267e+10,780,0.648739,2380,836,1544,836,836,0,836,836,882,551,993,488,505,505, 120
"[84]yOHMdDadjPMagPIyPKRmEHRdLNJSqMfjGsFqmbetvjhDdgAPntFocruOnRovovtNROxwtKvhFpOOJKScPNcp",1.18305e+29,1.1162e+11,1374,0.749609,1917,480,1437,480,480,0,480,480,525,525,480,480,912,432, 121
"[90]ynRitcRpHqMjQgowuzQFByqOImtfmtQHMumNJnLHyyMRnigqrcynkNIQadxHyOKOEnEogBFjEfPgCHFPGaekmcQmMA",1.18305e+29,3.17243e+12,773,0.666949,22468,7482,14985,7483,7482,0,7482,7482,4987,4987,4991,4991,12490,5007, 122
"[96]HEcBrrdzcMENABHnCJkqcxnmFqFHALNuIcyBqcAroPlAkptpjQQsdvswDldPPGOnvlpxOcNkNOlydBgjPFKbwoJkwjRLGhnc",86.7362,14.5519,1663,1,19,0,19,0,0,0,0,0,13,13,2,2,4,4, 123
"[75]BkFvwxHcOcKNcJqEIHLqemfehlalMfopgDPvyGOymGydDxQkGsNvRhcepbibDEMObpxMhKgapgp",1.18305e+29,8.47915e+17,3155,0.755182,4583,1122,3461,1122,1122,0,1122,1122,1197,1197,2264,1142,1122,1122, 124
"[68]SaDIyDwAtGmggOKfahAavdqOuJvObpFJzKBhAIvixGHNdNEeIDafElcRLtDdfbHgQJRK",1.18305e+29,5.3743e+14,3198,0.756303,4641,1130,3510,1131,1130,0,1130,1130,1259,1259,2252,1121,1130,1130, 125
"[76]uRKPCHNJquqKCrhzfwJHCbnzIsGFposORBPMzQGBcxpsIudbpGRrLcOexdpCpiMeHEOPQwpfGNJF",1.18305e+29,2.72509e+11,2866,0.756359,747,181,565,182,181,0,181,181,218,218,348,166,181,181, 126
"[83]JEdECwHbsczPPLriIPaQlpKwyOAJcRjHSLDejvcHbPNqIDeFBiKqzniAGHtEedBhMjcPnohImzIuSRaDqRe",1.18305e+29,3.43955e+14,2515,0.751244,2211,550,1661,550,550,0,550,550,587,587,550,550,1074,524, 127
"[104]twORJbrpushHrzeOkwpcNuoLQIpKczpJhNpaBtwadHvHcsOtFOPhqgrPkyRcOAapRPLbQKErDLegwuApFasxvuxdqSNAysABHxECtMuc",6.5039e+27,3.83922e+25,779,0.787149,498,106,392,106,106,0,106,106,177,177,106,106,215,109, 128
"[102]wHRusRDeJHRFpFRKNJEGkHzMQJyaSFcEgLqRoxgKFPObJkGSLfkhEakRlvhNwbtNAqIjmEjlnpOLvSxgtwEmtBsrohcBLFAzAuLyaL",86.7362,15.5519,1888,1,19,0,19,0,0,0,0,0,22,22,3,3,7,6, 129
"[86]HRDeaMKmiSgpLgMHENDQaqKOEMbDjiPrfAAcleRtNbrdgDBaLxwiDsLrNDmPxDogFgCnHyGbILHODmaiRJcvbz",1.18305e+29,1.74406e+11,1003,0.751237,1415,352,1063,352,352,0,352,352,378,378,686,334,351,351, 13
"[103]jiEQJHpdfeCPIjmcyPNKpEpbcFaAFcNcpHSFALabOhHPISQRESLHjyOcSqMaeCdywppGHenBfudoGiPhyMfxqPNynzKKEwLgmCwiPRa",1.18305e+29,1.87267e+10,1036,0.731865,772,207,565,207,207,0,207,207,212,211,254,177,306,177, 130
"[83]CgnICnnDatFtvKmFxlaRFyCQlFDmhRdKhRfcNJkcabsHNJOKqIRfbnLEHDkdCNxRkiztwnfDPAjKDbLBEjz",1.18305e+29,5.77061e+13,2029,0.774353,811,183,628,183,183,0,183,183,268,268,361,178,182,182, 131
"[61]nNJpHlbwJGdHzRaPINqHbzucKpJBHnpCHNJibbbFaHPSOLEDFFIBphQKEhGRf",1.18305e+29,3.96553e+12,3150,0.815681,727,134,593,134,134,0,134,134,236,236,185,185,306,172, 132
"[89]hbQJHOKFdHPveSKdqpyAtOPExbEnnsnSdKgPbgRkjFeeadGltHtyagOJqhiQaIhtgheKhdOPqfxksIeLHFdSNbkKq",1.18305e+29,4.29944e+14,1600,0.807087,508,98,410,98,98,0,98,98,153,153,257,159,98,98, 133
"[103]SueADpddFqlADvQqIcgLvafbDwvAkltbDjqBcbCFGEHyPGzxeCkcnKxcHPGfRKOmHPCERxNJEMzblHEMMaJlchMubFAlqRuSvcuBcqq",1.18305e+29,1.62428e+12,1198,0.747856,10609,2675,7934,2675,2675,0,2675,2675,2636,2636,5298,2623,2675,2675, 134
"[105]flcHeOnnvbtHNJQpGrMfSBKCGRmasdCreQHOwSebEiFmuMMlQmgPqFRkEeFxkvtPHmNzPejfHDEiPlkpiNoKgaOgEzsJBNRSBAqIQAsvP",11.6415,6.96046,1717,1,10,0,10,0,0,0,0,0,14,14,3,3,0,0, 135
"[101]HEQQhRKsxsypFdFjuwlRgHxQHOwPlcHFQKbNvaEHCCsBvvBsLxKPovswzSttbCPNjuHAfhALCabPrffMPzImRHaAHHPGHRLRHaoJu",1.18305e+29,3.17243e+12,1225,0.751445,96912,24087,72824,24088,24087,0,24087,24087,24504,24504,48321,24233,24087,24087, 136
"[86]viBaaucAOtjdoacEEbMfHioOJaQaRNiyeARnOdFeHPIHmOKROxuoIHArmSSmHQguEcOdMEHRLHnRKlwHmodcOn",1.18305e+29,2.34084e+10,544,0.662023,5814,1965,3849,1965,1965,0,1965,1965,1588,1327,2677,1265,1549,1257, 137
"[58]gHSKHNSOqoaqILqituiFhIxAJqhnouOuxHbPkgCeruweDQyKLOStFjHHzH",1.18305e+29,5.42666e+17,2722,0.773913,690,156,534,156,156,0,156,156,217,217,317,161,156,156, 138
"[85]SmMhpvDLltcHhsylusEENJufafbfcHPNeEeDSkLHMnmPSeDCdrGEHlOtIfLPipJBglHDoRKDjBSwzkxvARJPG",1.18305e+29,1.49814e+10,1083,0.767841,1107,256,850,257,256,0,256,256,333,333,518,261,256,256, 139
"[99]HSELPLOroRpecxpEAuoHoxHhcMRAPIhOLSaoHEDvAbGtfstcgGIOajCrLcAiEhqdrxhbyGpcKSHwbPocMShPouOKiBMxHNRcDJj",1.18305e+29,3.20333e+15,1155,0.750031,1.33036e+07,3.32549e+06,9.97814e+06,3.32549e+06,3.32549e+06,0,3.32554e+06,3.32554e+06,3.32416e+06,3.32416e+06,3.32554e+06,3.32554e+06,6.65418e+06,3.32865e+06, 14
"[104]HROQeajEcNJscwwbcFHoGoInKcHEMOqnyDrktRjzKiHjvJrAaNgLGtaaHeHoDLFMNnMxJFmkErOvgzDjEDFhKNixlFuBBIuHPnNrHRLx",1.18305e+29,8.92959e+10,2055,0.782986,576,125,451,125,125,0,125,125,195,195,256,131,125,125, 140
"[95]dceAbicOuPIpEFRrkPwbNPQaPtzAtHsHcqzibMcKNqBPGdszuMvsNsAsQCHwzPIFfmaRQpqHcnLzJrPPodexkuFlduBHSMh",1.18305e+29,9.58807e+09,671,0.642255,8534,3053,5481,3053,3053,0,3053,3053,3080,1850,3631,1808,1823,1823, 141
"[95]htRjaPckbzbhRLrMbHorgpcJwRFeaNJHGlSRKhBAClvLqpLySpePgGqqNgeCASEMjyeCccjPyqJFNtpOezDSRCQcGriLtup",6.07716e+06,4.05176,740,1,69,0,69,0,0,0,0,0,227,223,53,50,64,63, 142
"[47]utkttBzQNFzSpfEfApDtAHoIvNJHRKHqbRfffxIObgLHqIE",1.18305e+29,2.22276e+17,2000,0.757386,6397,1552,4845,1552,1552,0,1552,1552,1716,1716,3129,1577,1552,1552, 143
"[85]MFdxkaxHAPNfnzgfmOBewxFxEztNJHPDpbaeKSKHSmzPbLKHqjqCEgNILHqNglCCekOQIyqDJRIqMckujbDhs",1.18305e+29,1.64011e+15,1757,0.749865,16635,4160,12474,4161,4160,0,4160,4160,4240,4240,8235,4074,4160,4160, 144
"[97]qvHoJSyoqKzrmNsmbgzwmMpJPwHldbGSbGbeLqBfwGBciHlvCddvSApIKrFsLNgKCGMcuGBcabahBwmJyyfIlqxwhOQAFPQsK",69.3889,5.76837,1207,1,18,0,18,0,0,0,0,0,25,25,3,3,6,4, 145
"[92]nkCRzQHuCDEkPEAwxahEfGPaJvfebccwcHSQaadzQfffbdffaNnKHNJEDKzBEnjrBPuSHiyEHFcczILJShqPOvOplowJ",2.92605e+10,2.01076e+09,3320,0.849673,153,23,130,23,23,0,23,23,84,82,46,25,23,23, 146
"[81]PnyJNzHbHcPdxPINJkbedopKHEacoDybNbxmDIKicjaMHethaRiCjtJHSQaKHLDufwEqfGsozACMChpNb",1.18305e+29,6.19615e+12,1319,0.775791,727,163,564,163,163,0,163,163,199,199,163,163,365,202, 147
"[85]QdtcqRcbbcDIMarLCOCFvPoDzKSlDumOldplABQJkzpHkfaqhqrcplwHNJHNqNdfKHRcPQaCfcMoJHReKkcaH",1.18305e+29,4.61649e+13,1050,0.7494,3332,835,2497,835,835,0,835,835,867,867,1630,795,835,835, 148
"[84]zDRlpvdMNjSRHNibGEzGfkEhbjzxgQJPcqinHSoefBdaptPdgnDInBpfcQKHCaGEbeSKpjepLHqGzqcEPGuN",2.20131e+14,1.19851e+10,1477,0.815451,233,42,190,43,42,0,42,42,103,103,42,42,88,45, 149
"[102]CSOBuAbskRFAOJnpSbNSIBGBHjSlPwCDPztJFjaQvuzzmOOttnohPudtxHBuwHvSHnNMwRHcoLNcJGyqqScEKDvMkOQqFkQGwEBtPG",2.51346e+09,4.05176,1968,1,96,0,96,0,0,0,0,0,64,64,17,17,19,19, 15
