"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","seed"
"1",0,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",2.44141,0.8,74,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"2",1,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",3.8147,0.857143,74,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"3",2,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",2.44141,0.8,74,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"4",3,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",9.31323,0.909091,74,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"5",4,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",9.31323,0.909091,74,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"6",5,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",3.8147,0.857143,74,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"7",6,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",2.44141,0.8,74,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"8",7,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",2.44141,0.8,74,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"9",8,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",4.76837,0.875,74,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"10",9,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",9.31323,0.909091,74,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"11",10,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",2.44141,0.8,74,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"12",11,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",3.8147,0.857143,74,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"13",12,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",2.44141,0.8,74,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"14",13,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",9.31323,0.909091,74,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"15",14,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",4.76837,0.875,74,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"16",15,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",3.8147,0.857143,74,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"17",16,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",9.31323,0.909091,74,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"18",17,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",4.76837,0.875,74,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"19",18,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",9.31323,0.909091,74,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"20",19,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",4.76837,0.875,74,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"21",20,"[74]calpKHtGhGoJgHbcoqKCuLawKoBaEDwifcgsvBbLdxuAKCrAArmhmHfbEfHvdyFmJGgFfBHFdx",3.8147,0.857143,74,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
