"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","seed"
"1",0,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",231,1,28,230,0,230,0,0,0,0,0,109,109,121,121,1
"2",1,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",231,1,28,230,0,230,0,0,0,0,0,113,113,117,117,1
"3",2,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"4",3,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"5",4,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"6",5,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"7",6,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"8",7,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,116,116,113,113,1
"9",8,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"10",9,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"11",10,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"12",11,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"13",12,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"14",13,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,115,115,114,114,1
"15",14,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,117,117,112,112,1
"16",15,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",231,1,28,230,0,230,0,0,0,0,0,108,108,122,122,1
"17",16,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",228,1,28,227,0,227,0,0,0,0,0,130,130,97,97,1
"18",17,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"19",18,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,113,113,116,116,1
"20",19,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",231,1,28,230,0,230,0,0,0,0,0,111,111,119,119,1
"21",20,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"22",21,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"23",22,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,114,114,115,115,1
"24",23,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",229,1,28,228,0,228,0,0,0,0,0,119,119,109,109,1
"25",24,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,116,116,113,113,1
"26",25,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"27",26,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"28",27,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"29",28,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,113,113,116,116,1
"30",29,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"31",30,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",229,1,28,228,0,228,0,0,0,0,0,125,125,103,103,1
"32",31,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"33",32,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,116,116,113,113,1
"34",33,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,118,118,111,111,1
"35",34,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",229,1,28,228,0,228,0,0,0,0,0,122,122,106,106,1
"36",35,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",229,1,28,228,0,228,0,0,0,0,0,121,121,107,107,1
"37",36,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"38",37,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",229,1,28,228,0,228,0,0,0,0,0,119,119,109,109,1
"39",38,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",232,1,28,231,0,231,0,0,0,0,0,106,106,125,125,1
"40",39,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,115,115,114,114,1
"41",40,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"42",41,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",233,1,28,232,0,232,0,0,0,0,0,99,99,133,133,1
"43",42,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"44",43,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"45",44,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",229,1,28,228,0,228,0,0,0,0,0,122,122,106,106,1
"46",45,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"47",46,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",228,1,28,227,0,227,0,0,0,0,0,125,125,102,102,1
"48",47,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,118,118,111,111,1
"49",48,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,118,118,111,111,1
"50",49,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",228,1,28,227,0,227,0,0,0,0,0,129,129,98,98,1
"51",50,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"52",51,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"53",52,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",229,1,28,228,0,228,0,0,0,0,0,119,119,109,109,1
"54",53,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",231,1,28,230,0,230,0,0,0,0,0,109,109,121,121,1
"55",54,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",231,1,28,230,0,230,0,0,0,0,0,111,111,119,119,1
"56",55,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",233,1,28,232,0,232,0,0,0,0,0,100,100,132,132,1
"57",56,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"58",57,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",228,1,28,227,0,227,0,0,0,0,0,128,128,99,99,1
"59",58,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,113,113,116,116,1
"60",59,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",233,1,28,232,0,232,0,0,0,0,0,100,100,132,132,1
"61",60,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",230,1,28,229,0,229,0,0,0,0,0,116,116,113,113,1
"62",61,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",229,1,28,228,0,228,0,0,0,0,0,119,119,109,109,1
"63",62,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",229,1,28,228,0,228,0,0,0,0,0,119,119,109,109,1
"64",63,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",228,1,28,227,0,227,0,0,0,0,0,129,129,98,98,1
"65",64,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"66",65,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
"67",66,"[28]qBvHdpJrFrgGcsHcGjcoKqacJquG",0,0,28,1,247,0,248,0,0,0,0,1,0,247,0,1
