genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2, seed
"[98]uHcesccccJGjHqowrCcHgnClcxDtpcEckcncIccBJGeqtAKovEmblfHjcaBnGAfjscfqlcvocycujGbccjhdDkzIqrkHcDrkwG",512,4,213,1,8,0,8,0,0,0,0,0,10,10,0,0, 1
"[103]xcgcecccoccDcBcycJDccFcAccjdphEccccCczhxccdoKgccccycaccGhrcleccqccccFbmccaBccccccwcoyhccmccvccceccnmckG",128,1,94,1,6,0,6,0,0,0,0,0,5,5,1,1, 10
"[99]aFFxbHcbnAHbfhbcobJpliAGhdqygxEcjEjGvneFfcwncsHsGgechgKcCtokalkJcctfFhFBtGcrlfjJchjtcAckchvqciJtEct",512,2,310,1,8,0,8,0,0,0,0,0,8,8,0,0, 100
"[95]cdiaowrccvqcFDmcccDccaccjccAgcccrccccuctchFcCccsKgccccDkcocducccsccctKcllKEKvccqJdyorgpCcxccfbG",64,64,93,1,5,0,5,0,0,0,0,0,4,1,16,9, 101
"[105]cnErFHcKvtJHpuyglfHGahaqKCsAkcslrAgBaKazcIKpnccinIbHccguoHcxlrswcJIKkiBjFGbGrEcteyptBpdlDEygavGjyJzthFGjp",2048,2,325,1,10,0,10,0,0,0,0,0,5,5,5,5, 102
"[107]cJccmocccfcccKowGcyeqccDczGGcJyFidacKxcmcKCcrAccpfcuccfjsqBnfcccGkcBEccccccCiikccccIccxcdricBplccfmcccciIAG",64,1,95,1,5,0,5,0,0,0,0,0,2,2,3,3, 103
"[106]fEqFcicbJBJsGcgccwcgaCcxcorcJccAlcsccvhvccKecxyccyklHJFgoeCcDcccjagvoFcApvHouccccewzawaAgwccAcfeocwucyErAG",64,1,134,1,5,0,5,0,0,0,0,0,4,4,1,1, 104
"[99]ckccccccAcFccccxKccwcccorcccccwccBccccrcbccbccccGhccacciccqneccwcccxcccccAicccocqCcyzsccccccDKcoCcG",256,1,72,1,7,0,7,0,0,0,0,0,0,0,7,7, 105
"[101]ccKccccncvccccccqccccaccvccccmccncackcccccccuccccccHcFKcccccczBccfcyccccccccsccgccccscccccnpccccccciG",64,1,39,1,5,0,5,0,0,0,0,0,0,0,229,8, 106
"[99]BzBGilcbwaGerhsCfcjnHccfwbcjCfFJcsmccepcmnaglyBzbnKmsdGcGcdecHhcnEccnKqInchucdhjsirwFgicicscehBjccG",4096,6.87195e+10,206,0.657143,35,12,23,12,12,0,3738,3738,3794,1589,5411,1647, 107
"[100]qJsetzezitfHiwFsqtqvbvdlpjEkdswnkccBendFAgvJbcsActboEcKaGdtEhfBpvyEyGcGbmcJooAgbbmGqacwxccHpdCvxvmmG",128,1,286,1,6,0,6,0,0,0,0,0,5,5,1,1, 108
"[101]kcceyccFcgccccqctcccqcuFcjIcEchccHcjcccccccbccucckccxcockwKcDcaccJsclccccycccHccwcccccccBcctcgeccmHcG",2.09715e+06,6.71089e+07,71,1,20,0,20,0,0,0,2,0,59820,30104,11035,7315, 109
"[99]cicackccnjHccccnrccskccgcccHffccccHBDccxpcccpcwcccJchJGybcccccctfccIGCcccCctndccccocrccccvpcfwcccIC",256,1,77,0.652174,23,7,15,1,7,7,60,53,64,15,0,0, 11
"[104]kedngFzcHmcjbvcctnbrcnuvixcjCchtejcAiJckckyEcfbEcccGxachsHguiGbsbaBfFychEcqbIznrmEmnjbcHDcsccKwdupyzxEkG",524288,1.04858e+06,221,0.714286,42,12,30,12,12,0,598,598,1203,586,598,598, 110
"[98]cAccccuccccqAcmzcmwcjcCccccccicccyvwGovohzccKFHccccccKeccccxHbcactwcchccjlcochcbccjvGcccicmcckcmuy",128,1,72,1,6,0,6,0,0,0,0,0,0,0,6,6, 111
"[102]cwJGcccbAJcJcccxchecHccccccBccmccchcgcccccccbcDccclccccvcbKcxgcKccKccAccnHcGcDcuczAfdGrrrccckcDcyEnqcG",128,1,84,1,6,0,6,0,0,0,0,0,6,6,6,5, 112
"[97]cccJcccccccnpcJcccFctcHccccvccccolBcccccrccGcjccGgcccccuccjvcpcccKjcckDKgccjcccycdccchccccfccqzIG",128,4,58,1,6,0,6,0,0,0,0,0,6,6,0,0, 113
"[95]BpBaiKDbaaHovDemaqDvEAclmcfIqFrGKcqipmHFnbwpexdFvqkvmdEczvzfsGimmsohknGEiIukqhIciAHjrwzzcfzHEDa",8192,2,406,0.928571,14,0,13,1,0,0,0,0,0,0,14,13, 114
"[81]GAcFkilldEnyyvzHBuwKdvJcfHhgGqgqddtFefdqsrbnqCEDliczfxBzgdzkIcAIrveaAeChlocxvubtv",128,2,608,1,6,0,6,0,0,0,0,0,3,3,3,3, 115
"[92]HEsqbuFnshvlntwAzkaJubikAudcjGHBipfAeFochwzHmibcbtepnwkfxghkcAjecuFiBhenqHjvjsAzouIKEHAhEcbt",2.09715e+06,2.09715e+06,435,0.8125,32,6,26,6,6,0,368,368,840,452,368,368, 116
"[101]ecKcHclcHqttGyCkbtpqnIcEBdcccyiqDgzCzqiccubvhactDfimuGrqofcdkGccccbufcFbffzarnnqucoccHbhtxcDazujqpecr",512,1,217,0.9,10,0,9,1,0,0,0,0,0,0,10,9, 117
"[90]xtvAHcuqBEzHcxffqpcCccGnarBBnGcktcJlbzJHrGquecpnictzvCeclcxlhDthHcrxKIyphHuBCzGzGeHnkjvhuc",512,1,266,1,8,0,8,0,0,0,0,0,8,8,0,0, 118
"[98]DcsjcodtvrJHwcckjscsgeEusahmatnAGcBzdFCCDKecfceqHeGwcvxgcgngrczoucezFcHqbixzAvujoiauCdhBctApcmEzxG",2048,1,211,1,10,0,10,0,0,0,0,0,53,10,0,0, 119
"[99]CjbfzcmccceCcccjcjHcnceGuJccxtcccudAArrccccGccccAcnccJHHdlkGncKcCpyHcckCcpcrAcfEHcegrfmcAcslKgixIHG",512,1,120,1,8,0,8,0,0,0,0,0,2,2,8,8, 12
"[103]yAAxisenEnxpyiceplofhzBKHowEzAfcGCGJAIksavgnlfagbAhFmxJDtwApyfgagefpCcDbnKBqchjsubhEqmmkwGxdIdccHypkBED",256,1,347,1,7,0,7,0,0,0,0,0,0,0,9,7, 120
"[98]HAcccGzjBGcCccoxrmhlocorchKfHccntHrycclccaKtckcGotccilJcccbcccccdhcccGcABqGCcncahFcEcoccuFccfcqcEo",64,1,88,1,5,0,5,0,0,0,0,0,3,3,2,2, 121
"[97]tgJnsccciKcckcccxCccHcccBcvcccccccechodccgKwjcclzzccccczvHccgcfcwxAcchcorcccccccDccGcoCIccgfccxcG",64,1,85,0.777778,9,2,7,2,2,0,48,48,51,3,102,4, 122
"[102]cdcccecDccExwcbcwoJcctDcEcvcHcccivGkilccocccqcccclcccwcccBcccczcccccscHcfAcficwGrccccpcccccdcccCGcncGG",512,1,63,1,8,0,8,0,0,0,0,0,9,8,0,0, 123
"[103]cBcccccccccccacdGccgcqcnccvHcccGKcccGczcmccycdcqccccfccccArcccJaccwmcccchcbmccscfqctJcmccAcccucccpnBsyG",128,1,73,1,6,0,6,0,0,0,0,0,4,4,2,2, 124
"[99]BccnccjcbcccycsgcczcprchccAcEcccccqfecccwdxcrccvfhHcncjcgcczccckcccccccddccccrzzcqcccccccoKHDcfvmmG",128,1,95,1,6,0,6,0,0,0,0,0,0,0,6,6, 125
"[96]qsAohcegpiiyccEcBBjgtrccnslHAGrfHnKxwAcbcqccgccpcccdpyrfcfcxGoGzocvjiboczvccxycsbcixvkabmmovdmHG",256,8,270,1,7,0,7,0,0,0,0,0,0,0,9,8, 126
