"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","seed"
"1",0,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",64,1,98,5,0,5,0,0,0,0,0,5,5,0,0,1
"2",1,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",16,1,98,3,0,3,0,0,0,0,0,3,3,0,0,1
"3",2,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",16,1,98,3,0,3,0,0,0,0,0,3,3,0,0,1
"4",3,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",16,1,98,3,0,3,0,0,0,0,0,3,3,0,0,1
"5",4,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",4,1,98,1,0,1,0,0,0,0,0,1,1,0,0,1
"6",5,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",64,1,98,5,0,5,0,0,0,0,0,5,5,0,0,1
"7",6,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",8,1,98,2,0,2,0,0,0,0,0,2,2,0,0,1
"8",7,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",8,1,98,2,0,2,0,0,0,0,0,2,2,0,0,1
"9",8,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"10",9,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"11",10,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"12",11,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",4,1,98,1,0,1,0,0,0,0,0,1,1,0,0,1
"13",12,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"14",13,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",4,1,98,1,0,1,0,0,0,0,0,1,1,0,0,1
"15",14,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"16",15,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",8,1,98,2,0,2,0,0,0,0,0,2,2,0,0,1
"17",16,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",8,1,98,2,0,2,0,0,0,0,0,2,2,0,0,1
"18",17,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"19",18,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"20",19,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",64,1,98,5,0,5,0,0,0,0,0,5,5,0,0,1
"21",20,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"22",21,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"23",22,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"24",23,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",4,1,98,1,0,1,0,0,0,0,0,1,1,0,0,1
"25",24,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",8,1,98,2,0,2,0,0,0,0,0,2,2,0,0,1
"26",25,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"27",26,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"28",27,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",4,1,98,1,0,1,0,0,0,0,0,1,1,0,0,1
"29",28,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
"30",29,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",4,1,98,1,0,1,0,0,0,0,0,1,1,0,0,1
"31",30,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",4,1,98,1,0,1,0,0,0,0,0,1,1,0,0,1
"32",31,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",4,1,98,1,0,1,0,0,0,0,0,1,1,0,0,1
"33",32,"[98]uHcescctcJGjHqowrCIHgnilcxDiocEcrlucIccFKleqtAIovEnblFhEcaBncFflscfqlcvoFycujGbpcgydHIJIcrkHcDrkwG",1,0,98,1,0,0,1,0,0,0,0,1,0,0,0,1
