"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","repro_updates","seed"
"1",0,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",2.5353e+30,0.774725,96,182,41,141,41,41,0,41,41,48,48,93,52,41,41,"True",1543,2
"2",0,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1543,2
"3",1,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",4.95176e+27,0.76,96,175,42,133,42,42,0,42,42,42,42,91,49,42,42,"True",1504,2
"4",1,"[96]HDoxjbOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBIHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1504,2
"5",2,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",9.90352e+27,0.764368,96,174,41,133,41,41,0,41,41,40,40,93,52,41,41,"True",1507,2
"6",2,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1507,2
"7",3,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",4.95176e+27,0.76,96,175,42,133,42,42,0,42,42,44,44,89,47,42,42,"True",1510,2
"8",3,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1510,2
"9",4,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",9.44473e+21,0.711765,96,170,49,121,49,49,0,49,49,34,34,87,38,49,49,"True",1514,2
"10",4,"[96]HDoxjcOPoNaxlFEDgRztjDwaGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1514,2
"11",5,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",3.09485e+26,0.748571,96,175,44,131,44,44,0,44,44,55,55,76,32,44,44,"True",1507,2
"12",5,"[95]HDoxjcOPoNaxlFEDgRztjDwspQtSESKHqaSOIrsdDeePnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1507,2
"13",6,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",1.03846e+34,0.804348,96,184,36,148,36,36,0,36,36,58,58,90,54,36,36,"True",1521,2
"14",6,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwANkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunxBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1521,2
"15",7,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",6.1897e+26,0.75,96,176,44,132,44,44,0,44,44,41,41,91,47,44,44,"True",1509,2
"16",7,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1509,2
"17",8,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",1.93428e+25,0.737143,96,175,46,129,46,46,0,46,46,48,48,81,35,46,46,"True",1510,2
"18",8,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1510,2
"19",9,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",1.54743e+26,0.741573,96,178,46,132,46,46,0,46,46,42,42,90,44,46,46,"True",1554,2
"20",9,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1554,2
"21",10,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",6.1897e+26,0.755814,96,172,42,130,42,42,0,42,42,44,44,86,44,42,42,"True",1503,2
"22",10,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxuJoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1503,2
"23",11,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",1.9807e+28,0.765714,96,175,41,134,41,41,0,41,41,43,43,91,50,41,41,"True",1505,2
"24",11,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1505,2
"25",12,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",9.44473e+21,0.709302,96,172,50,122,50,50,0,50,50,35,35,87,37,50,50,"True",1507,2
"26",12,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1507,2
"27",13,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",4.8357e+24,0.731429,96,175,47,128,47,47,0,47,47,36,36,92,45,47,47,"True",1541,2
"28",13,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1541,2
"29",14,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",3.96141e+28,0.758242,96,182,44,138,44,44,0,44,44,57,57,81,37,44,44,"True",1521,2
"30",14,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1521,2
"31",15,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",7.92282e+28,0.762431,96,181,43,138,43,43,0,43,43,58,58,80,37,43,43,"True",1513,2
"32",15,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",0.01,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",1513,2
"33",16,"[96]HDoxjcOPoNaxlFEDgRztjDwsGpQtSESKHqaSOIrsdDemPnwAOkcBMPrFBcwtbkPJPDGDEIKhhMlipictPFSxunoBuHrGwIIL",6.33825e+29,0.769231,96,182,42,140,42,42,0,42,42,52,52,88,46,42,42,"True",1527,2
