"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","seed"
"1",0,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"2",1,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"3",2,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"4",3,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"5",4,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"6",5,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",3.8147,0.857143,113,7,0,6,1,0,0,0,0,4,4,2,1,1,1,"True",1
"7",6,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"8",7,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",2.44141,0.8,113,5,0,4,1,0,0,0,0,2,2,2,1,1,1,"True",1
"9",8,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"10",9,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"11",10,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"12",11,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"13",12,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"14",13,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",2.44141,0.8,113,5,0,4,1,0,0,0,0,2,2,2,1,1,1,"True",1
"15",14,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"16",15,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",5.96046,1,113,7,0,7,0,0,0,0,0,4,4,2,2,1,1,"True",1
"17",16,"[113]plfCbFdcsibaHoJoqDizlbgzsjvddmweAeFEKqAEgtFnGijChqiiLEJvKAmivGzqmGckzwBBLAwtqwBjGgzCchltuIxswDvqzvEKLlCcGqmlAvjqf",3.8147,0.857143,113,7,0,6,1,0,0,0,0,4,4,2,1,1,1,"True",1
